PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa,Experimental
1yqj,-12.79263,-11.29,-13,-164.273,-9.87035677405,-11.49450478,-12.07475623,-10.5964966,-11.3839807,-107.533922,-11.24582559
1g54,-6.33416,-5.81,-4.76,-86.769,-9.8263237914,-7.474191212,-8.054442655,-7.322220596,-7.612346317,-50.83985526,-12.18528031
1g53,-5.40103,-7.11,-6.26,-81.833,-9.05221909054,-7.460375701,-8.330752866,-7.349851617,-7.709054891,-62.1873842,-12.48922154
1g52,-6.81746,-7.02,-5.75,-86.739,-10.2314162053,-7.93010306,-8.620878588,-7.736685912,-8.095889187,-59.90367409,-13.17999707
1yqy,-8.67673,-6.15,-5.48,-139.991,-8.71250484208,-9.118236968,-9.090605947,-9.132052479,-9.118236968,-41.60018399,-10.52741905
1kc7,-2.9348,-6.47,-5.16,-40.323,-5.03128090271,-6.424212409,-7.087356916,-6.43802792,-6.645260578,12.79998816,-7.626161828
1d7i,-1.96391,-5.93,-3.43,-29.32,-7.74409350583,-5.761067903,-5.830145455,-5.553835244,-5.719621371,-51.71532953,-4.973583801
1ogg,-8.72729,-11.69,-19.71,-155.012,-8.7899220308,-9.297838606,-9.394547179,-9.297838606,-9.325469627,-149.6346552,-7.17024998
1pgp,-5.14307,-7.93,-15.74,-67.059,-6.2346390742,-6.783415684,-7.073541406,-6.562367515,-6.811046705,-40.92329139,-7.874841018
1yc1,-10.13021,-14.13,-15.37,-118.394,-8.73358011046,-9.366916158,-9.726119433,-9.145867989,-9.422178201,-111.1555625,-8.524170014
1hii,-9.93635,-15.09,-14.88,-223.657,-9.52770115889,-11.41161172,-12.62737665,-11.71555295,-11.92278561,-163.1967596,-10.05769169
1yc4,-8.18498,-11,-10.41,-100.11,-9.65915387512,-8.468907972,-8.814295736,-8.206413271,-8.496538993,-87.90264317,-9.049159416
1hn2,-9.67598,-7.87,-6.82,-91.673,-8.36565379343,-9.380731669,-9.491255753,-8.579432056,-9.145867989,-58.75110476,-8.289306335
2er6,-8.7427,-14.59,-20.2,-260.504,-11.0947871587,-12.0333097,-12.8207938,-11.20437906,-12.01949419,-180.7392703,-9.974798623
2aoc,-8.35272,-18.5,-23.56,-271.209,-9.43638901464,-11.52213581,-12.18528031,-11.50832029,-11.74318397,-266.7825476,-6.755784663
2hu6,-8.77224,-10.78,-11.86,-147.244,-9.39528025479,-8.869557778,-8.607063078,-8.67614063,-8.717587162,-71.01299813,-5.263709523
2aog,-8.27135,-18,-24.48,-266.194,-8.97558214992,-11.21819457,-12.18528031,-11.21819457,-11.53595132,-270.2408087,-8.67614063
1j14,-5.51091,-8.81,-7.51,-75.831,-6.32208401076,-6.963017321,-7.004463853,-7.266958553,-7.073541406,-33.49463095,-6.203164241
1ik4,-5.38887,-7.77,-11.96,-78.808,-7.32719657589,-6.880124258,-7.446560191,-6.838677726,-7.059725895,-28.87550851,-10.23729332
2ca8,-5.74425,-10.45,-15.04,-105.15,-8.84578918106,-7.142618958,-7.543268765,-7.239327532,-7.308405085,-77.59293308,-6.43802792
1str,-7.01654,-12.72,-14.79,-155.439,-9.56996327318,-9.021528394,-9.214945542,-8.579432056,-8.938635331,-137.2070472,-6.589998536
1sts,-6.44771,-12.77,-16.05,-161.191,-9.57909884532,-8.800480225,-9.698488412,-8.275490824,-8.92481982,-142.6654161,-6.907755279
1qhc,-8.41624,-12.41,-16.5,-197.978,-8.69278529012,-9.062974926,-9.118236968,-8.759033694,-8.980081863,-97.79051194,-10.45834149
1f9g,-4.04938,-4.67,-7.67,-24.166,-5.2716289508,-6.065009135,-6.272241793,-5.885407498,-6.065009135,-34.00088027,-1.768385351
1w4o,-6.26304,-11.03,-14.19,-103.812,-5.7031645772,-7.460375701,-7.888656529,-7.43274468,-7.598530807,-72.2326317,-7.211696511
1v2r,-7.12139,-9.16,-8.99,-128.952,-9.2810232213,-8.344568377,-8.040627145,-8.551801035,-8.316937356,-79.66686703,-4.904506248
1vyf,-5.55712,-8.87,-12.97,-119.189,-9.68342247175,-8.482723483,-8.938635331,-7.91628755,-8.441276951,-115.0050022,-11.121486
1vyg,-6.39163,-11.46,-13.85,-134.878,-9.71017098104,-8.980081863,-9.712303922,-8.496538993,-9.062974926,-134.3352769,-11.05240845
1upf,-5.07534,-9.25,-10.14,-47.788,-6.86639415019,-6.286057304,-6.631445068,-6.203164241,-6.368950367,-47.44109731,-6.355134857
1o36,-0.57809,-7.77,-10.01,-124.665,-10.17816371,-8.634694099,-9.049159415,-8.759033694,-8.814295736,-20.88994482,-8.234044293
1i9m,-6.35541,-6.24,-5.5,-85.756,-10.2878175666,-7.66760836,-8.67614063,-7.391298149,-7.91628755,-46.651789,-11.71555295
1i9l,-6.01328,-5.89,-5.16,-76.172,-9.63838011861,-7.612346317,-8.634694099,-7.446560191,-7.902472039,-61.99619914,-11.71555295
1i9o,-5.59025,-7.36,-6.55,-81.953,-9.50057144743,-7.280774064,-8.247859803,-7.197881001,-7.570899786,-51.31293803,-11.63265989
1i9n,-5.58963,-6.8,-5.9,-77.107,-9.40666511958,-7.43274468,-8.579432056,-7.336036106,-7.791947955,-54.96953637,-11.96423214
1i9q,-5.52484,-6.46,-5.77,-76.581,-9.96608287776,-7.363667127,-8.261675314,-7.253143043,-7.626161828,-67.17964129,-11.61884438
1i9p,-4.80244,-6.61,-6.03,-73.647,-8.87688104544,-7.101172427,-8.040627145,-7.18406549,-7.446560191,-41.71181496,-11.61884438
1wm1,-6.83418,-6.51,-5.84,-89.967,-9.26980487065,-7.805763465,-8.648509609,-8.303121845,-8.261675314,-55.42584937,-8.703771652
1hnn,-8.70496,-8.74,-7.52,-74.173,-9.31214364566,-8.068258166,-8.206413271,-7.488006722,-7.91628755,-46.97303352,-8.620878588
1hi5,-5.03337,-8.42,-12.97,-71.104,-7.47890368251,-6.769600173,-6.976832832,-6.520920983,-6.755784663,-55.93589004,-5.581466265
1a94,-8.60524,-16.2,-16.34,-283.968,-9.26473773771,-11.63265989,-12.87605584,-11.59121336,-12.0333097,-188.2364488,-10.84517579
1ikt,-7.53971,-8.19,-7.53,-153.833,-9.66662741059,-9.449809222,-9.878090049,-8.759033694,-9.366916158,-128.6760736,-4.69727359
2mas,-8.87831,-7.66,-8.41,-92.598,-8.93071768899,-8.372199398,-9.118236968,-8.303121845,-8.593247567,-44.28132617,-10.38926394
2h4n,-4.9816,-5.27,-3.93,-46.581,-10.452635226,-6.769600173,-7.225512022,-6.824862216,-6.9353863,-52.2476604,-12.01949419
1oe8,-5.18466,-8.31,-10.02,-89.177,-9.17247028319,-6.769600173,-7.087356916,-6.811046705,-6.893939768,-80.4247155,-7.626161828
1mq5,-9.69528,-7.44,-7.99,-167.045,-9.56973844518,-9.795196986,-10.29255537,-10.22347781,-10.11295373,-85.72109786,-12.4339595
1m5w,-5.81551,-8.24,-8.46,-55.332,-7.11043856796,-6.92157079,-7.253143043,-6.990648342,-7.059725895,-37.89061641,-5.899223008
1wvj,-9.50427,-9.58,-8.76,-110.757,-9.47994795555,-8.67614063,-8.772849204,-8.510354504,-8.66232512,-102.9643739,-9.297838606
1gah,-8.85783,-10.18,-25.02,-189.928,-8.0922036912,-9.698488412,-10.32018639,-9.380731669,-9.795196986,-169.5173587,-16.57861267
1t32,-10.7673,-12.88,-12.97,-184.389,-10.3945718587,-11.06622396,-12.86224033,-10.80372926,-11.57739785,-87.31907308,-10.25110883
1ui0,-5.62634,-10.52,-11.63,-60.492,-6.82965152684,-6.631445068,-6.907755279,-6.617629557,-6.728153642,-50.96280402,-9.753750454
1t31,-9.98554,-12.51,-14.08,-160.897,-10.4500017923,-10.38926394,-12.15764929,-10.52741905,-11.02477743,-102.128465,-11.93660112
1tng,-3.94103,-7.04,-5.55,-69.04,-5.69258831996,-6.603814047,-6.617629557,-6.990648342,-6.741969152,-25.6862022,-4.047944594
1tnl,-4.0892,-6.35,-5.18,-72.419,-6.14137717452,-6.714338131,-6.797231195,-7.087356916,-6.866308747,-20.32798493,-2.597315985
1tnk,-3.74417,-6.38,-6.21,-69.946,-6.47282197634,-6.700522621,-6.589998536,-7.045910385,-6.769600173,-12.28617212,-2.058511073
1igj,-9.64407,-7.6,-8.79,-140.235,-8.83954624325,-9.947167602,-11.19056355,-9.477440243,-10.2096623,-106.3141292,-13.81551056
1c87,-7.29086,-11.73,-15.9,-98.61,-7.39608507279,-7.750501423,-8.192597761,-7.460375701,-7.805763465,-73.68086185,-5.802514434
1gu1,-7.53579,-9.18,-10.31,-82.398,-5.57623270971,-7.488006722,-8.303121845,-7.584715296,-7.791947955,-68.33519295,-6.244610772
1utn,-3.97837,-8.06,-5.95,-64.643,-5.77386773167,-6.714338131,-6.714338131,-7.045910385,-6.824862216,-4.640685153,-4.821613185
1gi8,-6.64921,-10.51,-9.97,-94.931,-7.21842490214,-7.377482638,-7.557084275,-7.529453254,-7.488006722,-25.89943098,-6.976832832
2cht,-8.25254,-10.92,-11.74,-98.074,-6.62032072205,-7.999180613,-8.42746144,-7.874841018,-8.095889187,-84.74747817,-7.626161828
2f35,-6.84726,-9.67,-9.65,-96.148,-9.17456660174,-7.474191212,-8.510354504,-7.557084275,-7.847209997,-86.39330574,-7.460375701
1utl,-3.88053,-6.15,-4.77,-57.371,-6.46460683318,-6.396581388,-6.230795262,-6.741969152,-6.451843431,-7.732095745,-3.412431108
1utm,-4.09289,-7.1,-4.52,-55.993,-6.18479531113,-6.43802792,-6.465658941,-6.617629557,-6.507105473,-3.011975375,-4.158468678
1fm9,-12.83645,-15.99,-14.05,-217.877,-10.6046001624,-13.64972443,-14.29905343,-12.77934727,-13.58064688,-151.0921303,-12.4339595
5abp,-6.4297,-7.18,-10.57,-59.569,-6.51021598253,-7.059725895,-7.570899786,-7.018279363,-7.211696511,-84.12266681,-9.173499011
1qan,-9.02083,-11.18,-8.91,-174.152,-9.09478111504,-9.035343905,-9.187314521,-8.883373289,-9.035343905,-110.7560084,-6.18934873
1qft,-4.12009,-7.12,-6.72,-58.342,-7.48081110192,-6.534736494,-6.479474452,-6.286057304,-6.43802792,-36.96129929,-12.11620276
1o2h,-8.13138,-9.26,-11.18,-126.789,-7.35734089447,-8.634694099,-8.759033694,-8.993897373,-8.786664715,-27.36126363,-9.90572107
1sqt,-8.09182,-9.94,-9.53,-129.081,-9.36131108007,-8.289306335,-8.095889187,-8.289306335,-8.220228782,-68.07916412,-8.565616546
2fw6,-5.62419,-10.1,-13.82,-81.522,-5.314997907,-7.087356916,-7.474191212,-7.087356916,-7.211696511,-56.013906,-4.034129083
1ws5,-5.17891,-7.29,-11.17,-66.276,-6.17696393908,-6.451843431,-6.741969152,-6.299872814,-6.493289962,-71.33734455,-4.186099699
1ele,-8.24458,-9.2,-8.44,-145.993,-9.46673060068,-8.717587162,-10.01624515,-8.814295736,-9.187314521,-79.86008363,-9.463624732
5yas,-4.96257,-7.03,-8.68,-47.95,-5.75138257189,-6.396581388,-6.631445068,-6.258426283,-6.424212409,-44.5410949,-4.503856442
1ws4,-4.7919,-7.39,-10,-71.176,-5.98497416377,-6.382765878,-6.672891599,-6.230795262,-6.43802792,-66.35632865,-4.144653167
2dw7,-4.68811,-5.66,-6.18,-50.259,-5.76700571412,-6.576183026,-7.114987937,-6.507105473,-6.728153642,59.67064495,-6.493289962
1tx7,-6.05932,-9.85,-8.42,-83.052,-6.6410802091,-7.266958553,-7.446560191,-7.349851617,-7.349851617,-59.28747012,-6.355134857
1sqo,-8.45803,-8.85,-9.6,-125.771,-10.0865066083,-8.441276951,-8.42746144,-8.814295736,-8.565616546,-39.89184433,-10.30637088
1elr,-5.8106,-13.91,-22.18,-144.464,-8.22907672836,-8.054442655,-8.192597761,-8.012996124,-8.082073676,-162.258877,-6.852493237
2fpz,-6.26265,-8.66,-6.28,-68.044,-6.85619763565,-6.9353863,-6.963017321,-7.211696511,-7.045910385,-0.851680071,-5.470942181
1n3i,-9.39304,-13.63,-15.36,-119.44,-9.57148783969,-8.275490824,-8.607063078,-7.957734081,-8.275490824,-109.6565484,-12.28198889
1hmr,-5.64836,-8.4,-11.6,-118.711,-9.85346974878,-8.717587162,-8.980081863,-8.054442655,-8.579432056,-118.2980264,-9.049159416
1hms,-5.71404,-8.4,-11.14,-123.818,-9.73670775197,-8.620878588,-8.966266352,-8.123520208,-8.565616546,-109.8285644,-8.800480225
1hmt,-5.50885,-7.64,-11.06,-112.316,-9.82064254668,-8.717587162,-9.118236968,-7.971549592,-8.607063078,-116.7711073,-7.999180613
1g1d,-5.89241,-6.33,-5.62,-78.558,-9.36355760768,-7.764316934,-8.67614063,-7.612346317,-8.012996124,-62.68447249,-13.04184197
1fjs,-9.02024,-10.96,-14.57,-161.99,-11.0460734326,-9.435993711,-9.380731669,-9.007712884,-9.270207584,-66.21632377,-13.76024852
1ppc,-8.00441,-11.14,-14.51,-145.007,-10.3026814441,-9.007712884,-10.22347781,-8.869557778,-9.366916158,-85.95018777,-8.510354504
1v1j,-8.18839,-10.2,-11.42,-93.601,-5.60026673867,-7.598530807,-8.247859803,-7.639977339,-7.819578976,-70.62212143,-6.659076089
1o3d,-8.43648,-10.34,-11.56,-118.826,-8.68821290603,-8.386014909,-8.537985525,-8.786664715,-8.565616546,-44.44017667,-9.850459028
1l83,-5.41438,-5.77,-5.08,-44.991,-5.23720082226,-7.266958553,-7.225512022,-6.852493237,-7.114987937,-39.66259734,-4.69727359
1tsl,-7.6972,-6.09,-4.64,-85.756,-9.03839601434,-7.985365103,-10.29255537,-8.206413271,-8.828111247,-63.89662909,-8.496538993
1o3j,-7.44915,-8.68,-9.58,-92.917,-7.22213195848,-7.861025507,-8.386014909,-8.137335719,-8.123520208,-33.89992207,-9.353100648
2byr,-9.82389,-11.37,-12.13,-178.293,-9.75316283421,-10.87280681,-11.27345662,-10.37544843,-10.84517579,-105.6402012,-11.81226153
1okl,-5.27417,-7.53,-4.88,-71.001,-9.24164197688,-7.68142387,-8.303121845,-7.626161828,-7.874841018,-45.80839706,-8.330752867
2c97,-7.17058,-12.98,-17.41,-100.549,-6.9298728201,-7.764316934,-8.358383888,-7.695239381,-7.943918571,-76.64143195,-8.482723483
2c94,-8.38199,-13.09,-18.66,-177.39,-8.22589636494,-9.228761053,-9.574148817,-9.007712884,-9.270207584,-137.9602612,-9.422178201
2c92,-8.1701,-12.65,-19.11,-150.194,-7.87185640724,-8.980081863,-9.449809222,-8.814295736,-9.076790437,-116.5320898,-7.847209997
1fcy,-16.38526,-17.39,-19.25,-174.321,-12.0253050988,-13.67735545,-14.27142241,-11.9089701,-13.29052116,-160.1404284,-11.770815
1f5l,-7.6545,-8.14,-7.75,-67.199,-6.11608647222,-7.349851617,-8.16496674,-7.474191212,-7.66760836,-59.07266601,-7.294589575
1yid,-8.11258,-8.73,-15.05,-134.565,-7.59452193367,-8.565616546,-9.242576563,-8.468907972,-8.759033694,-50.30690732,-6.907755279
1o30,-6.78132,-8.52,-9.96,-107.111,-9.26217075183,-8.372199398,-8.579432056,-8.579432056,-8.510354504,-24.62628858,-9.353100648
1o33,-7.27951,-10.13,-10.77,-92.018,-7.07153461699,-7.750501423,-7.902472039,-7.971549592,-7.874841018,-42.8036376,-7.93010306
1m2x,-4.03475,-7.19,-6.21,-73.454,-6.85613837275,-6.548552004,-6.741969152,-6.783415684,-6.68670711,-15.147708,-5.733436882
1owh,-7.15187,-11.26,-11.76,-121.207,-9.08966394604,-8.358383888,-8.537985525,-8.717587162,-8.537985525,-52.01430262,-10.22347781
1i5r,-12.55036,-20.65,-26.91,-273.557,-10.1220111966,-13.62209341,-14.27142241,-12.58593012,-13.4839383,-242.6000293,-11.770815
1owe,-7.57091,-9.9,-9.93,-115.301,-8.1643761207,-8.192597761,-8.330752866,-8.772849204,-8.441276951,-47.56986253,-8.565616546
1o38,-7.61496,-10.5,-13.46,-121.087,-9.2823234466,-8.524170014,-8.620878588,-8.772849204,-8.634694099,-53.49481478,-9.422178201
1m2p,-10.42163,-10.77,-11.71,-82.697,-8.48466846863,-8.980081863,-9.270207584,-8.289306335,-8.841926757,-83.61484478,-8.441276951
1m2r,-9.21609,-7.88,-8.02,-81.423,-8.88040096977,-8.828111247,-9.132052479,-8.012996124,-8.66232512,-68.68096185,-8.92481982
1fj4,-6.85626,-8.01,-6.77,-69.671,-7.51411849789,-7.833394486,-8.040627145,-8.496538993,-8.123520208,-86.22755496,-6.341319346
1njc,-7.30337,-9.41,-11.22,-97.816,-7.51573312491,-7.778132444,-8.372199398,-7.833394486,-7.999180613,-72.28646826,-7.66760836
6tim,-4.66701,-6.64,-9.1,-60.359,-5.65118438053,-6.520920983,-6.866308747,-6.382765878,-6.589998536,-33.66367638,-4.434778889
1pot,-4.89964,-8.21,-16.11,-78.937,-7.66324357937,-7.446560191,-7.239327532,-6.852493237,-7.18406549,-91.10065948,-7.584715296
1grp,-2.85673,-8.19,-9.06,-34.754,-6.12294642872,-6.520920983,-7.045910385,-6.507105473,-6.700522621,8.803600579,-5.139369928
1njd,-8.01427,-10.41,-12.72,-88.603,-6.83996943525,-7.861025507,-8.510354504,-7.91628755,-8.095889187,-72.84384389,-7.695239381
1ceb,-5.72482,-8.99,-10.75,-71.391,-5.50068279764,-7.405113659,-7.653792849,-6.893939768,-7.322220596,-63.24079993,-8.289306335
1cea,-3.94249,-7.12,-11.89,-54.604,-5.51528098976,-6.68670711,-6.755784663,-6.203164241,-6.548552004,-50.33728692,-6.852493237
1utj,-3.82901,-7.7,-5.62,-63.909,-6.1279709337,-6.507105473,-6.534736494,-6.755784663,-6.603814047,-2.647840007,-5.305156054
4er1,-10.67991,-13.21,-12.32,-251.569,-11.5123258587,-13.06947299,-14.60299466,-12.54448359,-13.40104524,-119.737004,-9.145867989
2f7p,-7.81682,-7.11,-8.53,-103.56,-8.15040001231,-7.819578976,-7.985365103,-7.888656529,-7.902472039,6.488983076,-9.118236968
1jfh,-4.90181,-7.14,-12.3,-92.206,-7.59096564262,-6.92157079,-7.018279363,-6.548552004,-6.824862216,-77.64469731,-2.832179664
1adl,-6.34529,-9.52,-11.28,-123.481,-10.0896115908,-8.441276951,-9.339285137,-8.040627145,-8.607063078,-93.53891126,-7.405113659
1izh,-9.94529,-15.86,-16.91,-234.423,-11.3934011137,-11.92278561,-13.23525911,-12.00567867,-12.39251297,-175.1485115,-10.63794313
1r6n,-8.61327,-7.98,-4.23,-121.814,-9.66521477193,-8.883373289,-11.01096191,-8.772849204,-9.560333306,-84.27794535,-10.22347781
2bza,-3.90734,-6.89,-5.12,-61.438,-5.56798085754,-6.562367515,-6.520920983,-6.769600173,-6.617629557,1.526668714,-3.868342956
