PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1yqj,-11.69099308,2.418983206,-0.280916955,-52.23518806,-2.042985394,24.20938711,-67.91220881,4.699478015,-11.24582559
1g54,5.122065038,1.178818352,-1.775155232,-15.41493385,-0.578143781,-10.27751884,-29.09498696,4.414810557,-12.18528031
1g53,-17.93108935,1.509453093,-2.610097914,-16.91318771,-0.003526846,2.306127322,-28.54506278,3.807968653,-12.48922154
1g52,4.10778971,0.31085552,-1.952689685,-20.92420984,-0.548980208,-10.85413365,-30.04230593,3.384874546,-13.17999707
1yqy,15.56003113,9.53052101,-2.150830753,-31.97845479,-0.837880139,16.66381977,-48.38739021,11.12664285,-10.52741905
1kc7,95.63422177,1.737077559,-9.498224319,-3.77489518,0,-55.6469716,-15.65122002,2.697424261,-7.626161828
1d7i,-23.91955211,0.127850032,-0.482901786,-17.46317151,0,8.442771371,-18.42032553,0.046689085,-4.973583801
1ogg,-86.78923685,4.774408038,-3.189314913,-53.08201042,0,51.45745941,-62.80596047,6.882391201,-7.17024998
1pgp,-221.5316601,2.7064475,-13.39097673,-4.211066082,0,215.2763263,-19.77236234,14.47023261,-7.874841018
1yc1,-22.73816591,1.904554788,-8.605152591,-34.46882049,-1.655487633,3.850683332,-49.44317405,3.05013314,-8.524170014
1a9m,-21.1789848,4.88605828,-5.777295517,-71.46178314,0,26.77858653,-88.61875081,12.57370172,-9.560333306
1hii,-64.57248478,4.470802595,-3.172997614,-74.89987914,0,60.43819699,-85.46039761,15.13570881,-10.05769169
1yc4,-37.86474754,2.571928275,-2.391811309,-30.23062035,-0.347071657,22.9348671,-42.5751877,4.197435934,-9.049159416
1hn2,-4.870821914,2.063822891,0,-28.97734504,-6.739175457,17.64953043,-37.87711568,1.442995363,-8.289306335
2er6,-170.5444353,7.233736613,-13.48309672,-67.97774976,-0.167315947,154.2379817,-90.0383909,25.98286886,-9.974798623
1ez9,-111.8464523,1.364072927,-7.608528146,-39.69838295,0,61.1416839,-51.43849436,35.91524654,-7.045910385
2aoc,-103.5487462,3.482719139,-13.27014266,-78.49281538,0,25.75461408,-100.7081766,22.02986524,-6.755784663
2hu6,-46.09096889,3.862759902,-1.907560987,-31.30670161,-1.356789999,51.9101266,-46.12386314,6.240927688,-5.263709523
2aog,-126.3683401,1.659675597,-13.53975736,-72.83177318,0,30.17433915,-89.33495275,21.07162733,-8.67614063
1j14,-309.9419531,1.268664015,-7.38832482,-11.87808649,-0.19227592,319.0375222,-24.4001768,1.833040281,-6.203164241
1ik4,-89.21710433,3.866253931,-14.21588566,-4.38507079,0,79.95368627,-4.877387915,4.405381383,-10.23729332
2ca8,-81.44999563,2.380419363,-8.13819335,-14.66542521,0,48.08359641,-23.80333462,6.06311544,-6.43802792
1str,-91.21352303,3.693638571,-4.678315779,-31.08682938,-0.46660437,43.31259043,-56.76800362,25.3501553,-6.589998536
1sts,-96.77999583,-3.454623241,-4.857579042,-30.01393351,-0.526962942,37.87606866,-44.90839016,33.68226471,-6.907755279
1qhc,-193.7686358,13.03037399,-18.76430614,-11.12937242,-3.157445536,164.7115588,-48.71268468,25.52185803,-10.45834149
1f9g,-19.64005396,-0.646752424,-2.292111546,-10.67138368,0,16.17373893,-16.9243175,0.754854909,-1.768385351
1w4o,-114.7768192,-0.155743718,-13.07206144,-6.790163772,-8.19E-07,93.99177163,-31.42961445,4.207216416,-7.211696511
1v2r,-277.9399096,4.623952506,-8.351911604,-30.39352228,-2.185454485,277.8023049,-43.22232659,10.61109454,-4.904506248
1vyf,-71.5590283,0.371478497,-6.151366957,-55.9041841,0,64.82514816,-46.58704947,9.559824765,-11.121486
1vyg,-74.59913098,0.166349854,-6.296448522,-66.18811071,0,61.18561937,-48.60355592,9.115232282,-11.05240845
1upf,-25.27732074,0.456902804,-1.20413551,-7.53487208,-2.453837258,8.832640733,-20.26047532,0.72428355,-6.355134857
1caq,103.2434045,6.662499277,-1.831874708,-51.47247442,-2.427803669,-34.89284506,-68.12182677,11.77703814,-10.66557415
1o36,-47.8188744,5.494038395,-3.861653364,-23.58243476,-1.916814487,91.08123095,-40.28543706,9.503079534,-8.234044293
1i9m,3.188527025,3.526375824,-1.81642026,-19.70309712,-0.907087625,0.631641149,-31.57172801,6.682935033,-11.71555295
1i9l,-2.143643223,-1.022362217,-2.445591036,-19.46574803,-0.735164647,-7.299252593,-28.88443738,2.246286032,-11.71555295
1i9o,-12.8946521,2.942980235,-2.41394388,-17.40514426,-0.000957228,1.776200514,-23.3174213,9.792117548,-11.63265989
1i9n,-11.0905371,1.782373605,-2.180712246,-17.35910581,-0.000410652,-1.655570488,-24.46557364,5.050472107,-11.96423214
1i9q,-14.64660948,0.278297569,-2.496646472,-18.49238023,-0.625846626,-2.25886087,-28.93759517,2.707665567,-11.61884438
1i9p,-8.953484674,4.1786968,-2.448516111,-13.12455126,-0.07188836,3.227679319,-24.51975068,5.923050331,-11.61884438
1wm1,-15.86049324,2.314274468,-0.646053956,-26.89984639,-1.146546048,27.04925729,-40.23644149,2.181270162,-8.703771652
1hnn,17.01134471,1.154120706,-1.765094871,-24.35481536,-4.452273749,1.34685812,-35.91317308,1.036047788,-8.620878588
1hi5,-146.8440954,2.834112845,-15.30445518,-3.433897413,-0.756091078,135.7419504,-28.17341419,11.23084471,-5.581466265
1a94,-92.53661994,8.912016888,-9.696775587,-70.11311748,0,74.09758916,-98.89954187,25.94437979,-10.84517579
1ikt,-10.79514973,2.513758815,-0.247909382,-71.84867593,-0.110300833,12.17341328,-60.36120978,4.27790225,-4.69727359
1c70,-48.75788876,0.420528672,-3.226662633,-78.61689512,-0.691154262,60.60692676,-90.91328855,20.09042533,-14.22997587
2mas,-119.6491991,5.344693186,-2.626145804,-25.19905604,-0.564654722,132.4071015,-33.99406519,10.94635735,-10.38926394
2h4n,-12.70037128,0.369352859,-2.24660714,-11.00378204,-1.95153856,4.687344703,-29.40205892,0.006436959,-12.01949419
1oe8,-80.28903319,2.551515871,-8.712825227,-13.57359783,0,47.16110611,-27.56188117,4.151037392,-7.626161828
1mq5,-47.44387973,4.104477603,-0.313862881,-66.09877978,-2.504434447,96.48070856,-69.94532721,4.279561839,-12.4339595
1m5w,-56.29098663,4.407755449,-15.41840076,-13.70806041,0,65.79972878,-22.68065287,5.332005475,-5.899223008
1wvj,-56.01455413,1.086630716,-4.925564274,-33.48044532,-4.00E-11,28.14670085,-37.77714185,2.206817713,-9.297838606
1gah,-233.9488804,7.8503005,-8.643936127,-49.67710827,0,167.3616708,-52.45940522,22.24433754,-16.57861267
1t32,-251.624906,0.548433493,-5.498167915,-36.43366896,-4.336290402,274.1529544,-64.1274277,3.455522751,-10.25110883
1ui0,-28.9088417,1.569127689,-1.571254358,-6.44982335,-0.859377968,5.53811748,-20.28075181,1.898561871,-9.753750454
1t31,-176.0480532,1.269368069,-10.56750682,-34.14036105,-6.118410607,181.4211503,-57.94465168,2.765061558,-11.93660112
1tng,-98.90732537,0.7883337,-1.422123157,-25.09572619,0,120.3786255,-21.42798656,0.74578314,-4.047944594
1tnl,-102.1984102,0.593675621,-1.787794439,-20.33828323,-2.00E-10,126.6096923,-23.206865,0.72278362,-2.597315985
1tnk,-97.79901263,4.085460517,-1.012559227,-21.55000102,-2.59E-06,128.4187127,-24.42876986,4.866460628,-2.058511073
1igj,-16.153683,4.72392594,-0.452484388,-69.8158969,0,27.5941495,-52.21014032,5.743818973,-13.81551056
1c87,-142.5729488,3.732205915,-11.21561887,-21.52683545,-0.971328855,134.7589632,-35.88529899,2.65554524,-5.802514434
1gu1,-23.79736518,-0.377032331,-6.422122504,-20.63091988,0,7.345019281,-24.45277221,4.443941618,-6.244610772
1utn,-72.66765498,0.439308059,-1.409455582,-15.46011676,-0.21384729,102.7387601,-18.06767875,0.61301,-4.821613185
