PDB,VINA,GlideSP,DSX,RFScore,HMS,Experimental
1yqj,-12.79263,-11.29,-164.273,-9.870356774,-12.07475623,-11.24582559
1g54,-6.33416,-5.81,-86.769,-9.826323791,-8.054442655,-12.18528031
1g53,-5.40103,-7.11,-81.833,-9.052219091,-8.330752866,-12.48922154
1g52,-6.81746,-7.02,-86.739,-10.23141621,-8.620878588,-13.17999707
1yqy,-8.67673,-6.15,-139.991,-8.712504842,-9.090605947,-10.52741905
1kc7,-2.9348,-6.47,-40.323,-5.031280903,-7.087356916,-7.626161828
1d7i,-1.96391,-5.93,-29.32,-7.744093506,-5.830145455,-4.973583801
1ogg,-8.72729,-11.69,-155.012,-8.789922031,-9.394547179,-7.17024998
1pgp,-5.14307,-7.93,-67.059,-6.234639074,-7.073541406,-7.874841018
1yc1,-10.13021,-14.13,-118.394,-8.733580111,-9.726119433,-8.524170014
1hii,-9.93635,-15.09,-223.657,-9.527701159,-12.62737665,-10.05769169
1yc4,-8.18498,-11,-100.11,-9.659153875,-8.814295736,-9.049159416
1hn2,-9.67598,-7.87,-91.673,-8.365653793,-9.491255753,-8.289306335
2er6,-8.7427,-14.59,-260.504,-11.09478716,-12.8207938,-9.974798623
2aoc,-8.35272,-18.5,-271.209,-9.436389015,-12.18528031,-6.755784663
2hu6,-8.77224,-10.78,-147.244,-9.395280255,-8.607063078,-5.263709523
2aog,-8.27135,-18,-266.194,-8.97558215,-12.18528031,-8.67614063
1j14,-5.51091,-8.81,-75.831,-6.322084011,-7.004463853,-6.203164241
1ik4,-5.38887,-7.77,-78.808,-7.327196576,-7.446560191,-10.23729332
2ca8,-5.74425,-10.45,-105.15,-8.845789181,-7.543268765,-6.43802792
1str,-7.01654,-12.72,-155.439,-9.569963273,-9.214945542,-6.589998536
1sts,-6.44771,-12.77,-161.191,-9.579098845,-9.698488412,-6.907755279
1qhc,-8.41624,-12.41,-197.978,-8.69278529,-9.118236968,-10.45834149
1f9g,-4.04938,-4.67,-24.166,-5.271628951,-6.272241793,-1.768385351
1w4o,-6.26304,-11.03,-103.812,-5.703164577,-7.888656529,-7.211696511
1v2r,-7.12139,-9.16,-128.952,-9.281023221,-8.040627145,-4.904506248
1vyf,-5.55712,-8.87,-119.189,-9.683422472,-8.938635331,-11.121486
1vyg,-6.39163,-11.46,-134.878,-9.710170981,-9.712303922,-11.05240845
1upf,-5.07534,-9.25,-47.788,-6.86639415,-6.631445068,-6.355134857
1o36,-0.57809,-7.77,-124.665,-10.17816371,-9.049159415,-8.234044293
1i9m,-6.35541,-6.24,-85.756,-10.28781757,-8.67614063,-11.71555295
1i9l,-6.01328,-5.89,-76.172,-9.638380119,-8.634694099,-11.71555295
1i9o,-5.59025,-7.36,-81.953,-9.500571447,-8.247859803,-11.63265989
1i9n,-5.58963,-6.8,-77.107,-9.40666512,-8.579432056,-11.96423214
1i9q,-5.52484,-6.46,-76.581,-9.966082878,-8.261675314,-11.61884438
1i9p,-4.80244,-6.61,-73.647,-8.876881045,-8.040627145,-11.61884438
1wm1,-6.83418,-6.51,-89.967,-9.269804871,-8.648509609,-8.703771652
1hnn,-8.70496,-8.74,-74.173,-9.312143646,-8.206413271,-8.620878588
1hi5,-5.03337,-8.42,-71.104,-7.478903683,-6.976832832,-5.581466265
1a94,-8.60524,-16.2,-283.968,-9.264737738,-12.87605584,-10.84517579
1ikt,-7.53971,-8.19,-153.833,-9.666627411,-9.878090049,-4.69727359
2mas,-8.87831,-7.66,-92.598,-8.930717689,-9.118236968,-10.38926394
2h4n,-4.9816,-5.27,-46.581,-10.45263523,-7.225512022,-12.01949419
1oe8,-5.18466,-8.31,-89.177,-9.172470283,-7.087356916,-7.626161828
1mq5,-9.69528,-7.44,-167.045,-9.569738445,-10.29255537,-12.4339595
1m5w,-5.81551,-8.24,-55.332,-7.110438568,-7.253143043,-5.899223008
1wvj,-9.50427,-9.58,-110.757,-9.479947956,-8.772849204,-9.297838606
1gah,-8.85783,-10.18,-189.928,-8.092203691,-10.32018639,-16.57861267
1t32,-10.7673,-12.88,-184.389,-10.39457186,-12.86224033,-10.25110883
1ui0,-5.62634,-10.52,-60.492,-6.829651527,-6.907755279,-9.753750454
1t31,-9.98554,-12.51,-160.897,-10.45000179,-12.15764929,-11.93660112
1tng,-3.94103,-7.04,-69.04,-5.69258832,-6.617629557,-4.047944594
1tnl,-4.0892,-6.35,-72.419,-6.141377175,-6.797231195,-2.597315985
1tnk,-3.74417,-6.38,-69.946,-6.472821976,-6.589998536,-2.058511073
1igj,-9.64407,-7.6,-140.235,-8.839546243,-11.19056355,-13.81551056
1c87,-7.29086,-11.73,-98.61,-7.396085073,-8.192597761,-5.802514434
1gu1,-7.53579,-9.18,-82.398,-5.57623271,-8.303121845,-6.244610772
1utn,-3.97837,-8.06,-64.643,-5.773867732,-6.714338131,-4.821613185
1gi8,-6.64921,-10.51,-94.931,-7.218424902,-7.557084275,-6.976832832
2cht,-8.25254,-10.92,-98.074,-6.620320722,-8.42746144,-7.626161828
2f35,-6.84726,-9.67,-96.148,-9.174566602,-8.510354504,-7.460375701
1utl,-3.88053,-6.15,-57.371,-6.464606833,-6.230795262,-3.412431108
1utm,-4.09289,-7.1,-55.993,-6.184795311,-6.465658941,-4.158468678
1fm9,-12.83645,-15.99,-217.877,-10.60460016,-14.29905343,-12.4339595
5abp,-6.4297,-7.18,-59.569,-6.510215983,-7.570899786,-9.173499011
1qan,-9.02083,-11.18,-174.152,-9.094781115,-9.187314521,-6.18934873
1qft,-4.12009,-7.12,-58.342,-7.480811102,-6.479474452,-12.11620276
1o2h,-8.13138,-9.26,-126.789,-7.357340895,-8.759033694,-9.90572107
1sqt,-8.09182,-9.94,-129.081,-9.36131108,-8.095889187,-8.565616546
