PDB,VINA,GlideSP,DSX,RFScore,HMS,Experimental
1yqj,-12.79263,-11.29,-164.273,-9.87035677405,-12.07475623,-11.24582559
1g54,-6.33416,-5.81,-86.769,-9.8263237914,-8.054442655,-12.18528031
1g53,-5.40103,-7.11,-81.833,-9.05221909054,-8.330752866,-12.48922154
1g52,-6.81746,-7.02,-86.739,-10.2314162053,-8.620878588,-13.17999707
1yqy,-8.67673,-6.15,-139.991,-8.71250484208,-9.090605947,-10.52741905
1kc7,-2.9348,-6.47,-40.323,-5.03128090271,-7.087356916,-7.626161828
1d7i,-1.96391,-5.93,-29.32,-7.74409350583,-5.830145455,-4.973583801
1ogg,-8.72729,-11.69,-155.012,-8.7899220308,-9.394547179,-7.17024998
1pgp,-5.14307,-7.93,-67.059,-6.2346390742,-7.073541406,-7.874841018
1yc1,-10.13021,-14.13,-118.394,-8.73358011046,-9.726119433,-8.524170014
1hii,-9.93635,-15.09,-223.657,-9.52770115889,-12.62737665,-10.05769169
1yc4,-8.18498,-11,-100.11,-9.65915387512,-8.814295736,-9.049159416
1hn2,-9.67598,-7.87,-91.673,-8.36565379343,-9.491255753,-8.289306335
2er6,-8.7427,-14.59,-260.504,-11.0947871587,-12.8207938,-9.974798623
2aoc,-8.35272,-18.5,-271.209,-9.43638901464,-12.18528031,-6.755784663
2hu6,-8.77224,-10.78,-147.244,-9.39528025479,-8.607063078,-5.263709523
2aog,-8.27135,-18,-266.194,-8.97558214992,-12.18528031,-8.67614063
1j14,-5.51091,-8.81,-75.831,-6.32208401076,-7.004463853,-6.203164241
1ik4,-5.38887,-7.77,-78.808,-7.32719657589,-7.446560191,-10.23729332
2ca8,-5.74425,-10.45,-105.15,-8.84578918106,-7.543268765,-6.43802792
1str,-7.01654,-12.72,-155.439,-9.56996327318,-9.214945542,-6.589998536
1sts,-6.44771,-12.77,-161.191,-9.57909884532,-9.698488412,-6.907755279
1qhc,-8.41624,-12.41,-197.978,-8.69278529012,-9.118236968,-10.45834149
1f9g,-4.04938,-4.67,-24.166,-5.2716289508,-6.272241793,-1.768385351
1w4o,-6.26304,-11.03,-103.812,-5.7031645772,-7.888656529,-7.211696511
1v2r,-7.12139,-9.16,-128.952,-9.2810232213,-8.040627145,-4.904506248
1vyf,-5.55712,-8.87,-119.189,-9.68342247175,-8.938635331,-11.121486
1vyg,-6.39163,-11.46,-134.878,-9.71017098104,-9.712303922,-11.05240845
1upf,-5.07534,-9.25,-47.788,-6.86639415019,-6.631445068,-6.355134857
1o36,-0.57809,-7.77,-124.665,-10.17816371,-9.049159415,-8.234044293
1i9m,-6.35541,-6.24,-85.756,-10.2878175666,-8.67614063,-11.71555295
1i9l,-6.01328,-5.89,-76.172,-9.63838011861,-8.634694099,-11.71555295
1i9o,-5.59025,-7.36,-81.953,-9.50057144743,-8.247859803,-11.63265989
1i9n,-5.58963,-6.8,-77.107,-9.40666511958,-8.579432056,-11.96423214
1i9q,-5.52484,-6.46,-76.581,-9.96608287776,-8.261675314,-11.61884438
1i9p,-4.80244,-6.61,-73.647,-8.87688104544,-8.040627145,-11.61884438
1wm1,-6.83418,-6.51,-89.967,-9.26980487065,-8.648509609,-8.703771652
1hnn,-8.70496,-8.74,-74.173,-9.31214364566,-8.206413271,-8.620878588
1hi5,-5.03337,-8.42,-71.104,-7.47890368251,-6.976832832,-5.581466265
1a94,-8.60524,-16.2,-283.968,-9.26473773771,-12.87605584,-10.84517579
