PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa,Experimental
1ajp,-6.09585,-9.42,-5.44,-74.291,-10.70081882,-7.474191212,-7.156434469,-7.114987937,-7.253143043,-70.16663952,-3.08
1ajq,-4.90595,-4.49,-3.24,-55.985,-11.66344051,-6.92157079,-6.976832832,-6.755784663,-6.880124258,-61.81586505,-5.95
2g5u,-3.48327,-4.42,-2.33,-37.744,-12.73763785,-6.327503836,-8.510354504,-6.424212409,-7.087356916,-46.39938368,-11.73
1ndy,-7.3392,-10.57,-11.43,-90.193,-19.28914123,-8.634694099,-9.435993711,-8.109704698,-8.731402673,-81.0076837,-8.52
1ha2,-9.23019,-4.26,-2.71,-101.777,-16.77735037,-9.228761053,-9.767565964,-8.772849204,-9.256392074,-73.3884364,-7.65
1ndz,-9.3261,-13.99,-15.94,-158.192,-20.18629467,-9.684672901,-10.2096623,-9.449809222,-9.781381475,-136.9123156,-11.2
1ndw,-7.00315,-7.81,-7.91,-80.754,-16.95495151,-8.206413271,-8.42746144,-7.570899786,-8.068258166,-42.81279857,-7.23
2f80,-9.11143,-13.61,-14.02,-194.674,-24.11438861,-10.23729332,-11.17674804,-10.01624515,-10.472157,-163.9479,-11.3
1.00E+66,-12.28367,-4.65,-2.89,-118.017,-18.75990358,-10.14058475,-9.89190556,-9.988614133,-10.00242964,-69.05547168,-13.66
1sl3,-10.29659,-14.93,-15.08,-183.991,-21.56044911,-9.822828007,-10.19584679,-9.947167602,-9.988614133,-137.5348347,-16.37
2f01,-6.90885,-13.03,-15.23,-109.033,-16.47453899,-8.082073676,-8.358383888,-7.819578976,-8.095889187,-110.1054136,-17.96
4tln,-4.25545,-3.15,-5.55,-52.747,-14.31301993,-6.68670711,-7.17024998,-6.880124258,-6.92157079,-12.17685967,-5.14
1d7j,-3.09728,-5.13,-5.85,-41.061,-8.33418803,-6.065009135,-5.95448505,-5.995931582,-6.009747093,-43.43650802,-4.56
1zoe,-5.18652,-6.45,-6.28,-55.757,-16.0778181,-7.18406549,-8.689956141,-7.639977339,-7.847209997,-88.02224796,-10.22
1sv3,-4.62945,-7.3,-5.71,-54.735,-11.4890719,-6.645260578,-7.239327532,-6.520920983,-6.811046705,-22.78716989,-6.55
6rnt,-5.22329,-7.4,-8.26,-79.392,-13.10082738,-6.838677726,-7.17024998,-6.68670711,-6.893939768,-53.58016155,-3.27
2i0d,-8.63029,-13.74,-12.34,-198.418,-25.71605326,-10.11295373,-11.121486,-10.00242964,-10.41689496,-151.2171558,-16.72
2aov,-9.9126,-10.4,-11.72,-73.719,-14.96446917,-8.66232512,-9.435993711,-8.579432057,-8.897188799,-77.17842272,-9.73
2aou,-9.66399,-10.31,-8.3,-122.102,-20.46829602,-9.90572107,-10.77609824,-9.739934943,-10.14058475,-67.3029,-10.68
1g7q,-8.70712,-4.2,-2.49,-190.712,-17.87701968,-10.2096623,-10.84517579,-10.58268109,-10.54123456,-178.0445212,-8.37
2er9,-9.06465,-16.8,-18.69,-273.803,-20.46916454,-11.13530151,-13.35959871,-11.37016519,-11.95041663,-167.1862791,-10.22
1u2y,-4.95917,-6.58,-10.49,-35.157,-13.98775427,-6.092640156,-6.396581388,-5.968300561,-6.147902198,-61.08606081,-2.4
2j78,-6.15862,-7.75,-9.3,-74.587,-14.44509144,-7.114987937,-7.68142387,-7.101172427,-7.294589575,-69.24565509,-8.87
1slg,-5.12159,-3.82,-2.36,-107.697,-16.91557495,-7.612346317,-8.537985525,-6.907755279,-7.68142387,-93.128587,-5.39
1ai5,-6.70166,-11.77,-11.6,-68.939,-12.3082446,-7.722870402,-7.847209997,-7.280774064,-7.612346317,-65.9635757,-5.14
2g8r,-4.95231,-8.02,-7.62,-75.632,-13.98523768,-6.866308747,-6.990648342,-6.741969152,-6.866308747,-57.03524991,-5.51
1b9j,-8.117,-11.2,-15.99,-180.199,-17.2515841,-9.767565964,-10.22347781,-9.670857391,-9.89190556,-72.61261704,-8.23
1a1b,-4.68699,-8.63,-12.92,-128.595,-16.38156706,-7.736685912,-8.772849204,-7.653792849,-8.054442655,-87.75052677,-8.84
8cpa,-6.84991,-4.16,-8.71,-133.336,-22.75707541,-9.118236968,-10.37544843,-8.993897373,-9.491255753,-12.76568618,-12.64
1a69,-8.01951,-9.26,-9.78,-101.953,-15.00203957,-7.529453254,-7.791947955,-7.377482638,-7.570899786,-83.66353556,-7.32
2qwb,-5.77522,-7.69,-8.83,-58.702,-11.52952334,-6.907755279,-7.032094874,-7.142618958,-7.032094874,-47.71603622,-3.79
2b7d,-8.22152,-10.23,-13.55,-158.113,-19.84351543,-9.256392074,-10.00242964,-9.187314521,-9.491255753,-36.62833447,-12.02
1tmn,-7.1456,-4.64,-8.28,-125.875,-19.36809792,-9.007712884,-10.51360353,-8.855742268,-9.463624732,-18.39621548,-10.09
2brm,-8.05572,-11.99,-12.38,-115.854,-16.88792582,-8.648509609,-9.615595348,-8.441276951,-8.897188799,-85.9451555,-8.14
3pcj,-5.53514,-9.04,-8.11,-47.895,-15.92067292,-6.866308747,-7.211696511,-6.617629557,-6.893939768,-30.43120079,-9.97
2qwd,-6.16643,-8.56,-12.31,-79.155,-15.2153551,-6.949201811,-7.225512022,-7.101172427,-7.087356916,-44.62669059,-6.7
2qwe,-6.38787,-7.54,-13.22,-71.839,-16.01405401,-6.990648342,-7.128803448,-6.824862216,-6.976832832,-35.28249739,-10.33
1ttm,-6.1892,-7.19,-5.78,-62.194,-19.07707253,-7.43274468,-8.510354504,-7.41892917,-7.791947955,-67.45887834,-10.15
2brb,-7.94424,-9.06,-9.1,-113.955,-16.9038054,-8.66232512,-9.864274538,-8.330752866,-8.952450842,-84.48649182,-6.71
3std,-12.65377,-11.4,-9.55,-136.09,-21.26045173,-12.13001827,-12.37869746,-10.76228272,-11.75699948,-104.1758337,-15.35
1hfs,-10.06475,-16.24,-13.71,-297.154,-22.08513852,-12.64119216,-13.85695709,-12.15764929,-12.88987135,-92.25933072,-12.02
2fai,-9.81689,-9.77,-10.24,-121.45,-17.88551783,-9.574148817,-9.65704188,-8.952450842,-9.394547179,-109.1197229,-8.62
1nny,-9.93468,-13.61,-18.77,-213.837,-21.57813461,-10.92806885,-11.9089701,-11.01096191,-11.28727213,-132.9386835,-10.58
1hi4,-6.40453,-8.41,-10.63,-82.058,-13.7595057,-7.336036106,-7.695239381,-7.17024998,-7.405113659,-69.05297452,-6.2
1df8,-6.67547,-11.13,-9.57,-103.073,-16.53739937,-7.971549592,-8.17878225,-7.68142387,-7.943918571,-90.4919164,-13.4
1s39,-7.5201,-8.98,-7.92,-73.513,-14.669354,-7.43274468,-7.971549592,-7.280774064,-7.557084275,-49.45355032,-10.64
1nc1,-9.66699,-13.48,-15.65,-125.002,-18.99595615,-8.952450842,-9.035343905,-8.648509609,-8.883373289,-113.7503724,-8.46
1loq,-7.19066,-10.02,-12.98,-96.257,-14.81797717,-8.054442655,-8.717587162,-8.040627145,-8.275490824,-50.74011678,-5.11
2d3z,-8.49507,-4.58,-2.58,-113.285,-16.22878542,-8.841926757,-9.601779838,-8.42746144,-8.952450842,-103.560118,-9.17
1tyr,-4.54842,-3.16,-1.21,-64.602,-10.80693204,-7.239327532,-8.123520208,-7.474191212,-7.612346317,-52.27306824,-9.67
1mq6,-9.00475,-9.57,-8.52,-188.224,-21.41558416,-9.753750454,-10.32018639,-9.974798623,-10.01624515,-91.9572165,-15.4
1u1b,-8.32418,-11.13,-11.96,-187.608,-17.3333195,-9.380731669,-9.739934943,-9.132052479,-9.422178201,-83.90747432,-10.78
2d3u,-8.69604,-4.76,-3.17,-114.554,-18.44838266,-9.145867989,-9.684672901,-8.468907972,-9.104421458,-109.5030697,-9.56
1g7f,-6.24422,-9.26,-13.87,-154.799,-15.78969775,-8.358383888,-8.703771652,-8.220228782,-8.42746144,-92.18901782,-7.56
1fki,-11.40826,-7.76,-7.44,-115.546,-18.1811352,-9.214945542,-10.66557415,-9.104421458,-9.670857391,-93.29467644,-9.67
1ftm,-7.08025,-8.09,-9.16,-96.729,-13.11848631,-7.750501423,-8.095889187,-7.736685912,-7.861025507,-93.21666033,-10.51
1flr,-11.64875,-12.63,-12.46,-125.257,-16.87566241,-10.16821577,-11.20437906,-9.684672901,-10.34781741,-94.76405849,-13.82
1u33,-7.83184,-7.57,-14.22,-130.019,-17.87199791,-8.441276951,-8.482723483,-8.054442655,-8.330752866,-84.1655965,-6.36
2d1o,-7.2459,-13.39,-18.16,-189.386,-19.36030564,-9.629410859,-9.615595348,-9.104421458,-9.449809222,-106.2084532,-10.64
1uwt,-5.79955,-7.56,-11.38,-74.747,-15.14322783,-6.714338131,-7.059725895,-6.603814047,-6.797231195,-69.27277942,-8.25
1b7h,-7.9995,-10.29,-14.65,-209.712,-17.48800136,-10.16821577,-10.48597251,-10.18203128,-10.27873986,-72.15374524,-11.08
1apw,-8.51701,-12.24,-13.98,-178.945,-21.64789727,-8.883373289,-10.51360353,-9.546517796,-9.643226369,-134.8164475,-11.05
