PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa
2ymd,-6.70275,-11.24,-12.62,-88.328,-7.24572703037,-8.399830419,-8.634694099,-7.91628755,-8.316937356,-43.719957
3u9q,-5.25516,-3.15,-5.48,-83.264,-7.53929437215,-7.819578976,-7.791947955,-7.336036106,-7.653792849,-76.58760093
2zx6,-9.21933,-9.3,-13.2,-122.45,-9.78113477961,-8.703771652,-8.841926757,-8.828111247,-8.786664715,-103.5466763
3f3e,-6.22648,-5.56,-4.41,-81.063,-8.09858566894,-7.612346317,-8.109704698,-7.570899786,-7.764316934,-25.39421434
3myg,-8.2631,-9.8,-11.7,-136.521,-9.79184559858,-8.441276951,-9.546517796,-8.786664715,-8.92481982,-104.4611858
2w66,-8.32003,-8.87,-10.7,-90.842,-7.02704903176,-7.902472039,-8.330752866,-8.095889187,-8.109704698,-58.68412395
2fvd,-10.39629,-14.2,-13.87,-131.94,-10.1852732223,-9.021528394,-9.104421458,-8.731402673,-8.952450842,-110.6320033
1jyq,-0.53556,-3.64,-2.24,-230.407,-8.51509246726,-10.94188436,-11.54976683,-10.61031211,-11.03859294,-148.2169509
1f8d,-8.01413,-8.6,-11.28,-74.317,-6.64863778415,-7.253143043,-7.543268765,-7.43274468,-7.405113659,-59.02711197
3nw9,-12.51553,-9.72,-13.43,-201.537,-10.7659579575,-10.69320517,-11.3839807,-10.472157,-10.84517579,-115.8216389
2xb8,-10.85491,-11,-8.91,-127.407,-7.72067251518,-9.505071264,-9.739934943,-8.966266352,-9.40836269,-102.5793526
1xd0,-9.67113,-9.84,-17.64,-210.794,-7.66725263995,-10.22347781,-10.36163292,-9.726119433,-10.09913822,-103.6941993
2d3u,-10.49043,-10.97,-12.31,-117.467,-9.51315817298,-9.394547179,-9.960983112,-8.703771652,-9.353100648,-106.7861565
3uex,-6.2402,-3.35,-7.82,-96.843,-8.97183253269,-9.284023095,-8.648509609,-7.764316934,-8.565616546,-112.4539988
2wbg,-8.4983,-9.36,-12.76,-103.691,-8.51727129879,-7.957734081,-8.883373289,-7.957734081,-8.261675314,-79.971357
1os0,-8.63415,-9.51,-10.04,-126.214,-9.6857463663,-9.353100648,-10.52741905,-8.869557778,-9.574148817,-62.6233965
2iwx,-11.51881,-11.9,-11.36,-102.32,-9.56832242873,-8.537985525,-8.883373289,-8.67614063,-8.703771652,-111.4571143
3bpc,-6.94281,-6.66,-12.83,-88.268,-6.94025876559,-6.631445068,-6.617629557,-6.700522621,-6.645260578,-78.3590918
1o5b,-5.83374,-7.28,-6.58,-81.624,-6.7673054171,-7.294589575,-8.012996124,-7.722870402,-7.68142387,-56.96593481
2qmj,-9.13859,-6.32,-16.2,-113.719,-7.87773356648,-8.316937356,-8.482723483,-7.764316934,-8.192597761,-128.3748086
2x8z,-5.58573,-9.42,-9.79,-69.425,-9.49366622499,-7.018279363,-7.570899786,-7.142618958,-7.239327532,4.062751523
3zsx,-7.88872,-9.24,-5.02,-138.704,-9.13141993389,-8.828111247,-9.89190556,-8.759033694,-9.1596835,-81.95407017
3b3s,-4.24001,-4.44,-2.36,-31.349,-6.77141546596,-6.617629557,-6.769600173,-6.548552004,-6.645260578,2.080930799
2pq9,-10.34186,-11.69,-20.66,-139.472,-8.3452604889,-9.919536581,-11.01096191,-9.89190556,-10.27873986,-72.11437555
1w3l,-9.30703,-6.57,-19.55,-108.703,-8.14370142346,-7.570899786,-7.791947955,-7.294589575,-7.557084275,-129.2643042
3cyx,-12.56917,-15.67,-13.18,-232.443,-11.5506315206,-11.75699948,-13.17999707,-12.01949419,-12.32343542,-183.7259704
3jvs,-9.34472,-5.3,-5.84,-124.024,-8.28060363767,-8.91100431,-10.05769169,-8.993897373,-9.325469627,-85.22395554
3f80,-5.63077,-5.56,-6.73,-48.819,-6.77579123303,-6.465658941,-6.465658941,-6.382765878,-6.43802792,26.56489348
3gcs,-13.25397,-12.53,-12.32,-170.953,-11.4220636151,-10.58268109,-11.31490315,-10.38926394,-10.76228272,-119.4313211
1lor,-8.01287,-10.05,-12.11,-100.43,-6.8821832079,-7.847209997,-8.524170014,-7.847209997,-8.068258166,-33.10005518
2jdu,-6.2977,-5.41,-3.94,-54.246,-7.5078000628,-6.534736494,-7.391298149,-6.741969152,-6.893939768,-7.263220805
2zcr,-9.27994,-11.11,-14.46,-120.711,-9.17604724303,-10.30637088,-10.91425334,-9.698488412,-10.30637088,-16.27610902
2y5h,-9.14706,-12.98,-16.53,-155.903,-11.0090060989,-8.620878588,-8.745218183,-8.855742268,-8.745218183,-85.96934363
3d4z,-8.05779,-7.57,-8.91,-85.6,-7.53292477503,-7.18406549,-7.709054891,-7.156434469,-7.349851617,-80.87609498
3udh,-9.0246,-9.68,-9.04,-82.304,-7.25092700713,-7.66760836,-7.91628755,-7.391298149,-7.653792849,-69.10082967
1sln,-7.45021,-10.11,-13.02,-192.021,-9.70652281956,-9.518886774,-10.19584679,-9.339285137,-9.684672901,-81.80630719
3i3b,-6.99277,-7.13,-10.64,-54.425,-5.14014494255,-7.101172427,-7.570899786,-7.045910385,-7.239327532,-12.03157254
3imc,-6.34425,-7.33,-5.92,-76.299,-6.29933335642,-7.156434469,-7.156434469,-7.18406549,-7.156434469,-50.12143794
2vl4,-7.63166,-8.73,-10.52,-87.134,-7.37812406633,-7.377482638,-7.805763465,-7.211696511,-7.460375701,-86.09953356
3su3,-14.10455,-14.56,-13.45,-202.902,-9.46565522949,-10.472157,-11.54976683,-11.3839807,-11.13530151,-164.9430769
3gy4,-6.63728,-10.12,-9.42,-78.228,-6.68904761105,-7.045910385,-7.225512022,-7.239327532,-7.17024998,-37.89661374
2cbj,-10.51568,-10.46,-13.46,-144.592,-7.87957722672,-9.187314521,-9.781381475,-9.574148817,-9.518886774,-86.11841923
2obf,-11.48313,-14.14,-16.36,-128.86,-10.7521453635,-9.933352091,-10.44452598,-9.394547179,-9.919536581,-109.5158676
2yki,-16.52673,-18.18,-19.89,-178.175,-10.0641585957,-12.40632848,-12.91750237,-11.05240845,-12.13001827,-146.1679309
2v7a,-10.70432,-13.84,-15.01,-165.315,-10.8263641061,-9.698488412,-10.22347781,-9.546517796,-9.822828007,-118.1298692
3nox,-8.56531,-7.88,-9.63,-94.251,-10.5701873594,-8.565616546,-9.546517796,-8.897188799,-9.007712884,-89.79338961
1w4o,-7.39542,-10.45,-15.15,-97.692,-5.35604872314,-7.391298149,-7.778132444,-7.349851617,-7.501822233,-80.43669327
2xy9,-9.03224,-12.99,-15.56,-166.751,-8.93888489435,-9.643226369,-10.44452598,-9.698488412,-9.933352091,13.61614061
3g2z,-5.93603,-7.45,-4.39,-40.034,-5.72056802745,-6.355134857,-6.631445068,-6.479474452,-6.493289962,-44.71991744
2zjw,-11.82279,-10.12,-14.26,-80.904,-7.61616056776,-8.565616546,-8.938635331,-7.805763465,-8.441276951,-93.02793475
3ehy,-6.30073,-5.72,-4.52,-103.111,-7.13476254828,-7.294589575,-7.363667127,-7.377482638,-7.349851617,1.280095003
1q8u,-10.04732,-9.58,-10.72,-105.722,-10.1179604695,-9.104421458,-9.532702285,-8.745218183,-9.132052479,-80.28020053
3g0w,-11.54377,-11.5,-11.95,-134.7,-10.7514992581,-9.919536581,-10.2096623,-9.546517796,-9.89190556,-121.8463016
3ge7,-10.35258,-11.84,-13.56,-142.811,-10.0630080259,-9.574148817,-9.615595348,-9.380731669,-9.518886774,-115.717433
1oyt,-12.39781,-12.53,-13.48,-165.381,-10.7793083974,-9.781381475,-9.781381475,-9.836643517,-9.795196986,-83.26557492
2weg,-5.39216,-5.9,-4.78,-66.54,-8.81789832519,-6.907755279,-7.626161828,-6.949201811,-7.156434469,-46.40598451
1lbk,-6.87921,-9.84,-10.54,-99.411,-7.43546915538,-7.032094874,-7.349851617,-7.17024998,-7.18406549,-78.49868682
3bfu,-7.62997,-11.66,-14.03,-88.185,-8.5242817943,-7.336036106,-7.764316934,-7.280774064,-7.460375701,-88.25007391
1igj,-9.30175,-7.69,-8.96,-134.523,-9.11045407825,-9.878090049,-11.05240845,-9.242576563,-10.05769169,-107.6733815
3ebp,-11.29443,-8.94,-9.96,-109.566,-8.48464110582,-9.601779838,-10.22347781,-8.91100431,-9.587964327,-96.60528512
