PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
2ymd,12,243,0,20,25,0,90,120,5,1,27,4,0,1,0,4,-4.37
3u9q,5,136,2,0,2,116,0,21,0,4,21,0,0,0,2,8,-9.16
2zx6,15,329,0,1,5,14,114,210,4,3,30,1,0,0,2,7,-14.64
3f3e,9,169,51,0,17,87,0,23,4,2,12,0,0,0,0,4,-10.64
3myg,9,324,0,17,21,2,183,110,1,4,27,0,0,0,0,9,-14.78
2w66,13,263,0,0,14,20,68,174,5,2,23,0,0,0,2,6,-5.6
2fvd,12,407,0,22,17,20,246,114,1,3,27,0,0,0,0,7,-9.44
1jyq,38,592,0,35,32,73,194,296,5,27,34,2,0,0,4,20,-12.02
1f8d,23,322,0,0,1,0,177,167,4,9,15,0,0,0,4,9,-4.7
3nw9,18,430,0,4,33,21,37,353,4,5,36,0,0,4,0,10,-12.43
2xb8,15,299,0,4,46,0,50,214,4,6,41,0,1,0,0,7,-10.49
1xd0,31,451,0,0,30,0,71,381,6,7,16,0,0,0,0,28,-9.84
2d3u,8,304,3,0,15,226,0,68,0,7,35,0,2,0,0,5,-9.56
3uex,4,190,0,0,2,0,172,20,0,1,38,0,0,0,2,16,-9.56
2wbg,18,272,0,0,0,33,72,185,1,5,26,0,0,0,0,11,-6.15
1os0,16,271,0,6,0,63,64,154,2,8,29,1,0,1,4,13,-8.33
2iwx,10,290,6,5,0,111,86,92,2,4,14,0,0,0,0,2,-9.23
3bpc,30,292,0,0,16,0,108,198,4,15,5,0,0,0,1,15,-6.63
1o5b,11,200,0,9,40,0,20,142,4,0,6,0,0,0,0,2,-7.97
2qmj,35,443,0,0,2,75,135,266,7,8,13,0,0,0,3,22,-5.82
2x8z,11,165,0,1,0,108,1,66,0,6,14,0,0,0,3,3,-11
3zsx,11,212,10,0,35,102,6,70,1,4,24,0,0,0,1,10,-4.53
3b3s,7,127,0,0,6,0,7,121,2,1,13,0,0,0,0,4,-3.52
2pq9,42,507,18,0,6,294,0,231,1,28,23,0,0,0,11,10,-11.2
1w3l,49,472,0,0,18,1,83,419,10,13,18,1,0,0,2,20,-8.68
3cyx,12,462,0,37,34,0,170,233,6,5,43,0,0,0,2,14,-11.05
3jvs,5,263,0,0,55,4,0,209,1,2,39,0,1,0,0,5,-9.04
3f80,12,215,0,0,7,7,17,196,3,4,13,0,0,0,3,7,-5.83
3gcs,5,408,0,15,15,88,172,123,3,1,39,1,0,0,0,6,-10.02
1lor,23,318,0,12,11,6,120,192,3,11,6,0,0,0,1,7,-15.28
2jdu,8,132,0,4,21,0,3,112,1,3,6,0,0,0,0,4,-9.28
2zcr,17,309,4,0,0,196,0,126,0,11,29,0,0,0,7,10,-9.49
2y5h,5,264,0,29,14,0,58,168,1,3,32,2,0,0,0,6,-8
3d4z,17,227,0,0,11,6,10,217,5,2,11,0,0,0,0,5,-6.76
3udh,9,170,0,0,14,0,67,98,3,2,20,1,1,0,2,0,-3.94
1sln,13,299,6,15,43,65,67,116,5,4,31,0,1,1,5,14,-9.17
3i3b,15,225,0,0,0,0,93,147,4,4,16,0,0,0,0,5,-3.08
3imc,3,159,9,2,20,22,13,96,0,1,19,1,0,1,0,1,-4.09
2vl4,15,190,0,0,0,17,90,98,6,2,20,2,0,0,2,5,-8.3
3su3,16,462,0,18,40,0,153,267,2,7,38,0,0,0,0,7,-12.61
3gy4,11,201,0,8,51,0,21,132,6,0,13,0,0,0,0,3,-7.05
2cbj,13,273,7,0,17,21,82,159,6,3,21,0,0,0,0,8,-11.43
2obf,11,303,11,0,5,101,72,125,4,0,50,1,1,0,2,5,-12.23
2yki,9,411,36,0,0,196,137,51,2,4,47,0,3,1,0,3,-13.07
2v7a,6,325,0,32,21,3,198,77,2,5,33,0,0,0,1,6,-11.47
3nox,6,245,2,0,0,69,14,166,3,1,19,2,1,1,3,4,-11.96
1w4o,18,264,0,32,0,48,133,69,2,12,7,0,0,0,4,6,-7.21
2xy9,27,388,4,12,0,175,55,169,5,7,29,0,0,0,9,16,-12.7
3g2z,6,146,0,19,0,16,36,81,1,7,2,0,0,0,0,1,-3.26
2zjw,19,316,0,0,7,2,200,126,4,4,23,0,0,0,0,4,-10.64
3ehy,8,214,2,8,23,55,27,107,1,4,18,0,0,0,5,5,-8.08
1q8u,3,211,0,14,4,5,128,63,1,1,26,0,0,0,1,2,-8.28
3g0w,4,266,15,0,1,217,0,37,1,0,18,0,0,1,0,3,-13.15
3ge7,12,373,0,7,21,91,186,80,7,2,39,0,2,0,2,7,-12.02
1oyt,13,367,0,38,31,0,64,247,5,1,40,0,0,0,0,5,-10
2weg,10,174,0,0,18,8,51,107,2,1,10,0,0,0,0,2,-8.98
1lbk,29,313,0,16,9,40,30,247,4,12,8,0,0,0,4,11,-4.39
3bfu,16,261,3,19,2,66,87,100,3,10,14,1,0,0,2,4,-8.66
1igj,3,206,0,0,15,0,115,79,1,0,26,0,0,0,0,7,-13.82
3ebp,10,274,5,0,9,56,0,214,3,3,55,0,4,0,0,5,-8.16
3cft,3,123,0,10,0,0,105,11,0,1,16,0,0,0,1,2,-5.79
3fv1,24,364,9,24,5,96,164,90,5,9,26,0,0,0,4,7,-12.85
2pww,18,501,0,4,44,0,137,334,7,6,41,0,0,1,2,14,-10.11
2hb1,12,204,9,0,5,45,5,152,0,10,16,0,0,0,3,4,-5.25
