PDB,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
11gs,11,332,5,17,17,104,52,148,3,5,40,0,1,0,3,19,-23.02057702,0.957255788,-5.317052784,-51.06421889,-0.975161372,-1.018286931,-52.56923842,9.067960221,-8.040627145
1a4r,21,350,25,2,29,185,8,122,3,10,13,0,0,2,1,10,-3.559029667,4.667760131,-11.98093585,-10.23608521,-1.132885365,21.95545431,-46.71176829,5.551765043,-9.201130032
1a94,17,447,0,46,54,0,157,207,8,5,29,0,0,0,2,29,-92.53661994,8.912016888,-9.696775587,-70.11311748,0,74.09758916,-98.89954187,25.94437979,-10.84517579
1abf,11,193,0,0,1,61,4,138,3,4,13,0,0,0,0,4,-52.02787718,1.474952924,-5.033021105,-18.22023523,0,21.63909994,-19.41903178,2.530377892,-7.488006722
1add,8,250,0,6,6,87,42,117,3,2,26,1,1,1,0,6,-28.12722679,2.494998654,-6.881974859,-22.94043958,-1.213195768,71.01933132,-41.99916807,7.435433494,-9.311654116
1adl,4,173,4,0,5,52,84,32,0,2,22,0,0,0,1,14,-61.99936262,3.38519844,-4.253599002,-47.42587022,0,62.33547369,-45.58075155,17.8513729,-7.405113659
1ado,6,101,0,2,24,5,8,68,0,6,3,0,0,0,0,5,-77.44191537,-1.733249475,-8.832390668,-3.61124489,0,94.03855958,-15.77527835,-0.633835812,-8.289306335
1af6,16,208,0,0,0,0,116,108,4,6,13,0,0,0,0,13,-68.88624648,3.172091178,-9.659078318,-20.58276118,0,32.80084743,-22.12286175,8.837148832,-2.514422922
1afk,18,285,1,9,4,92,106,91,2,6,15,1,1,0,7,10,-224.9591551,8.146091035,-22.79577695,-8.62033962,-3.587076933,190.653987,-25.21465211,8.655841014,-9.145867989
1ajx,3,327,0,6,32,0,115,177,2,2,47,0,0,0,0,12,-22.02109978,-2.04550028,-2.544424659,-57.63175847,-1.205914734,40.71741451,-73.63176026,7.579088849,-10.92806885
1awi,8,243,1,0,8,188,9,45,1,7,45,0,0,0,0,10,-26.91605003,8.983441502,-2.004894738,-75.56340971,0,11.09645183,-79.12704734,14.6445078,-5.595281776
1b05,27,409,1,47,38,87,158,105,8,5,30,0,0,0,1,18,-126.6714374,6.744636442,-6.478566869,-8.00038207,0,134.7903652,-57.86043766,13.14979505,-9.836643517
1b32,29,395,2,42,27,91,170,92,8,5,27,1,0,0,1,19,-146.9119517,4.693342313,-6.494186823,-21.93339132,0,153.8822074,-63.67073755,8.997366615,-9.809012496
1b3f,24,462,3,41,38,99,167,138,7,6,42,0,0,1,2,18,-128.4712142,1.758371922,-8.68537858,-11.44201771,-1.589954991,143.0411879,-61.25995132,5.417380085,-9.518886774
1b3g,26,376,1,39,31,79,153,99,7,5,27,0,0,0,1,18,-144.7566879,5.053514427,-5.935516604,-17.96013632,0,153.0153745,-58.6918069,9.753965462,-9.256392074
1b3h,25,455,3,46,35,107,174,115,8,5,42,1,0,2,1,18,-122.0560799,8.145564044,-6.587325546,-19.19528799,-1.241955611,147.5843718,-68.50300828,13.0347852,-8.579432057
1b3l,23,353,2,33,38,64,138,101,9,4,23,1,0,0,1,16,-177.7698926,1.508743518,-7.699698445,-3.90267218,0,164.3492035,-53.42383729,3.330451933,-8.137335719
1b40,26,453,3,43,30,105,188,110,7,4,44,0,0,2,1,18,-180.2362522,2.225917064,-8.478997582,-18.84963381,-1.282746111,162.0509206,-65.81105054,8.366999601,-10.05769169
1b46,25,371,1,53,15,72,161,94,6,5,29,0,0,0,1,15,-169.7420615,5.030812345,-8.526301863,-14.56534326,0,145.3371038,-58.81108643,7.209087939,-7.294589575
1b51,25,390,2,36,33,93,142,109,7,5,22,0,0,0,1,18,-185.0229024,1.58493564,-9.295638197,-7.71691114,0,165.879042,-54.82716833,6.443445338,-10.18203128
1b58,27,468,2,46,37,103,177,130,9,5,41,0,0,2,1,19,-161.9602729,4.127024667,-6.479261055,-18.37037064,-1.538379961,154.3297231,-64.3901027,7.67176885,-9.104421458
1b5i,28,454,2,43,40,105,170,122,7,5,25,0,0,0,1,18,-221.8223643,8.548751139,-7.861357525,-7.56596288,-1.859442816,188.7083531,-58.47131533,14.42713544,-9.739934943
