PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy
1ajp,6,156,0,16,0,8,88,50,0,4,19,0,1,0,0,2,-22.87042439,0.931506393,-4.480487821,-26.74878495,0,11.62199503,-28.62044369,1.210097476
1ajq,4,131,0,20,0,6,75,34,0,3,19,0,0,0,0,2,-35.22057282,0.658078666,-4.775323012,-26.07282813,-0.309965718,29.33275595,-25.42800997,1.023621106
2g5u,4,107,0,10,0,0,91,10,1,0,9,0,0,0,0,3,-14.27464168,0.366277748,-0.38668461,-23.28971679,0,7.25591165,-16.07052999,0.947747171
1ndy,10,294,0,11,2,103,55,133,3,2,37,1,1,0,0,7,-45.77250379,7.037500696,-4.267553075,-34.58564253,-2.180412417,46.49986893,-47.73894142,9.908186773
1ha2,1,213,15,0,0,199,0,0,0,0,33,0,0,1,0,5,-23.38512037,1.56811164,-0.90964778,-37.48435698,-0.59014466,35.01353704,-47.60081415,1.758247797
1ndz,17,433,8,0,15,206,38,183,3,9,52,1,2,0,0,11,-70.18542218,-1.537500034,-4.689340454,-38.47085901,-2.029192388,41.94537654,-61.94537801,15.63097435
1ndw,11,285,1,4,0,110,35,146,3,2,29,1,1,2,0,7,-38.17955632,8.606560377,-3.726107489,-27.94621455,-2.126894015,53.73489783,-33.17548432,11.6446176
2f80,22,394,0,25,40,3,152,196,4,7,27,0,0,0,0,14,-35.01909424,5.024573605,-4.336628432,-57.92092892,-0.00363496,0.325097972,-72.01728503,6.355688217
1e66,0,222,0,0,8,82,0,132,0,0,58,0,5,0,1,2,-4.544793639,2.045737017,-0.999642357,-56.7248257,-9.565809183,57.63462528,-56.90076317,1.777370349
1sl3,12,423,0,48,28,0,69,290,3,5,31,0,0,0,0,10,-144.9064189,1.521668466,-2.317179911,-51.123905,-1.767326837,127.5053917,-66.4470642,7.228563408
2f01,12,245,0,0,7,0,165,85,2,8,26,0,0,0,0,5,-67.36406488,0.341848758,-5.391172246,-43.16263723,0,39.87311455,-34.40250255,0.977139076
4tln,12,153,0,13,0,74,21,57,3,1,8,0,0,0,3,5,-28.98356735,10.91519585,-1.42268795,-16.11769077,0,44.63270055,-21.20080999,11.29299612
1d7j,6,89,0,0,3,12,28,52,1,3,13,0,0,0,0,3,-20.86097859,1.620357824,-1.537793033,-13.68545131,0,3.651080254,-12.62372315,1.767228228
1zoe,3,168,0,6,2,1,79,83,1,0,13,0,0,0,0,1,-6.994128794,2.025058243,-0.264210527,-48.86365165,-0.168975585,6.848066948,-40.60440657,2.248620884
1sv3,7,151,0,0,19,31,0,108,0,5,17,0,0,0,1,2,124.5003796,-0.482232975,-2.863023075,-14.14006975,-0.110529353,-107.1838984,-22.50779595,0.44954061
6rnt,20,262,0,0,15,0,77,190,1,11,8,1,2,0,3,7,-58.04598675,2.541008019,-14.07873456,-4.448963247,-5.588397106,33.29576098,-7.254848809,4.820801148
2i0d,15,377,0,13,32,0,97,250,2,5,23,1,0,0,0,15,-20.00636235,4.672160165,-2.680277397,-53.8100504,-0.332693409,2.247861726,-81.30779414,4.48382241
2aov,7,202,2,0,4,103,3,97,3,1,25,0,1,1,0,3,-18.27663377,-0.260193148,-4.3764238,-34.47764912,-2.776416754,24.31410987,-41.32521594,0.925855276
2aou,6,252,2,0,6,137,12,101,1,0,56,2,4,2,0,7,-12.19019658,3.762313,-0.844198816,-47.72517144,-6.802891232,52.24726301,-55.75001797,6.906818739
1g7q,36,632,8,0,0,455,142,63,8,16,27,0,0,0,2,24,-115.1151116,8.663915623,-11.91259711,-45.38046975,-0.166222948,70.63547702,-83.87569004,13.07648297
2er9,28,535,0,11,52,0,142,358,6,7,40,0,0,0,0,34,-107.1292238,6.054373635,-6.0884327,-60.52253044,-0.000587107,91.27145092,-90.77132946,52.22761068
1u2y,22,188,0,0,16,16,19,159,5,7,2,0,0,0,0,6,-59.06568949,1.694012707,-3.509564684,-10.61755107,0,26.64563722,-16.23290544,3.994496998
2j78,22,268,0,0,0,0,114,176,6,7,9,0,0,0,0,6,-54.70110579,0.374746517,-4.44120515,-16.0196194,0,29.8068492,-24.26532028,5.325683719
1slg,16,310,0,5,0,0,253,68,3,6,21,1,0,1,0,26,-75.68498436,1.752062158,-2.380483739,-25.08673134,0.037791343,45.87927113,-39.39333378,13.94056164
1ai5,3,145,0,14,0,5,74,55,0,2,18,0,1,0,0,3,-26.00744588,1.925799053,-5.775963678,-18.79399051,-0.647334569,6.028749482,-22.69338953,1.09256924
2g8r,15,270,0,13,4,53,109,106,1,6,10,0,0,0,2,6,-5.554566394,3.368906726,-4.677928652,-10.34938665,-0.005646559,-5.478264901,-34.3383634,2.768349472
1b9j,27,377,2,46,23,88,167,78,7,5,31,0,0,0,1,18,-131.81029,3.440459007,-7.366594222,-18.11358651,0,136.853179,-55.61578427,8.895283219
1a1b,15,284,0,16,14,56,127,86,1,14,22,2,0,0,3,19,-220.1882467,3.149471942,-14.3122601,-22.64679257,-0.35821987,198.6811577,-32.07563717,3.940067067
8cpa,19,295,0,8,0,5,47,254,1,9,27,0,2,0,9,12,-23.20553133,4.018605542,-10.84490171,-30.14334076,-1.510813351,93.57591914,-44.65562376,7.193261518
1a69,10,263,0,28,4,37,89,115,3,3,9,0,0,0,0,5,-63.34728437,4.355254139,-3.667223514,-24.48809692,-0.309405151,38.50214981,-34.70892946,4.060331561
2qwb,16,229,0,1,0,0,122,122,3,7,4,0,0,0,3,10,38.85268733,5.514059206,-12.86661815,-12.62405435,0,-38.52723127,-28.0648791,3.411238447
2b7d,27,458,0,14,76,0,22,373,7,6,22,0,0,0,1,12,-94.19741774,3.115861332,-11.7310467,-20.40294222,-0.313585905,134.0782454,-47.17744865,10.22874981
1tmn,13,249,0,10,8,75,74,95,3,2,23,0,0,0,7,19,-30.15031506,-0.185716495,-3.345087685,-35.0679015,0,92.65127818,-42.2984729,31.40703211
2brm,12,308,0,25,5,15,212,63,3,2,27,0,0,0,0,6,-52.71020805,3.401998652,-2.565767405,-28.57795553,-9.64E-09,31.60215667,-37.09537988,7.665103854
3pcj,8,169,0,3,0,1,86,87,0,6,15,0,0,0,0,2,-84.12309266,3.1077333,-3.854519139,-11.30194089,-1.462290244,90.04411675,-22.84120798,3.639252708
2qwd,29,305,0,0,2,0,163,169,5,9,7,0,0,0,5,9,66.90642586,6.381450171,-16.36300865,-14.12377278,0,-61.30767019,-26.12011591,10.83775079
2qwe,24,371,0,15,9,0,187,184,5,7,6,0,0,0,11,13,-90.69063795,8.58510652,-7.298898018,-13.1056958,0,99.52800885,-32.30038142,11.86433223
1ttm,6,185,0,0,6,14,75,96,2,2,8,0,0,0,1,3,-6.868348647,1.271207156,-2.087123748,-18.20511417,-0.749432655,-9.859891879,-30.96017437,1.437904372
2brb,5,243,0,18,1,9,179,41,1,2,20,0,0,0,0,6,-32.33537765,0.984614785,-1.755336835,-32.12750563,-3.75E-09,21.65585897,-40.90874541,3.991526302
3std,9,322,7,0,0,76,125,123,2,2,50,1,1,2,0,6,-34.62547115,10.82030734,-0.758836804,-58.64703152,-3.68807688,42.22489813,-59.50162284,12.48665072
1hfs,13,435,3,8,47,72,72,246,2,6,50,0,2,4,4,18,64.76526157,-0.495577726,-2.983040459,-65.97688327,-6.49162416,0.849429902,-81.92689659,16.87483254
2fai,4,181,10,0,0,151,0,24,2,1,21,0,0,1,0,4,-17.17323899,1.609563728,-1.973734077,-62.40662709,-0.600968475,18.49270103,-47.06741904,1.315021461
1nny,34,470,14,0,33,127,11,319,3,16,31,0,0,0,3,17,-163.4582112,-4.969229599,-17.83366139,-33.19237877,-0.445583806,142.0436831,-55.08330183,23.29014219
1hi4,17,305,0,9,4,53,118,138,1,12,18,2,2,0,3,8,-236.721793,5.455717423,-16.07636515,-8.87677476,-3.756924105,218.7487702,-27.82560515,5.278883769
1df8,10,227,0,0,10,0,135,92,2,5,26,0,0,0,0,5,-45.47704299,0.716666608,-4.657246608,-41.98046572,0,38.01257939,-37.10640708,1.397091098
1s39,6,198,2,8,5,49,94,46,3,1,27,0,2,0,0,1,-21.11876056,0.312970236,-5.68400454,-15.10392354,-1.226693965,24.96087905,-31.59401705,0.492749848
1nc1,13,317,0,19,24,43,79,165,4,4,34,0,2,0,0,6,-40.39079784,6.630508456,-5.734922867,-45.96138638,-1.506086405,27.20349993,-53.99118733,6.615011292
