PDB,VINA,GlideSP,DSX,RFScore,HMS,Experimental
2ymd,-6.70275,-11.24,-88.328,-8.050974655,-8.634694099,-4.37
3u9q,-5.25516,-3.15,-83.264,-7.660483514,-7.791947955,-9.16
2zx6,-9.21933,-9.3,-122.45,-9.658887534,-8.841926757,-14.64
3f3e,-6.22648,-5.56,-81.063,-7.974796963,-8.109704698,-10.64
3myg,-8.2631,-9.8,-136.521,-9.593316588,-9.546517796,-14.78
2w66,-8.32003,-8.87,-90.842,-7.341777198,-8.330752866,-5.6
2fvd,-10.39629,-14.2,-131.94,-10.47179964,-9.104421458,-9.44
1jyq,-0.53556,-3.64,-230.407,-10.23450789,-11.54976683,-12.02
1f8d,-8.01413,-8.6,-74.317,-7.254907053,-7.543268765,-4.7
3nw9,-12.51553,-9.72,-201.537,-10.43220227,-11.3839807,-12.43
2xb8,-10.85491,-11,-127.407,-7.698746606,-9.739934943,-10.49
1xd0,-9.67113,-9.84,-210.794,-7.208668118,-10.36163292,-9.84
2d3u,-10.49043,-10.97,-117.467,-9.313664592,-9.960983112,-9.56
3uex,-6.2402,-3.35,-96.843,-9.039761577,-8.648509609,-9.56
2wbg,-8.4983,-9.36,-103.691,-8.556493728,-8.883373289,-6.15
1os0,-8.63415,-9.51,-126.214,-10.89516978,-10.52741905,-8.33
2iwx,-11.51881,-11.9,-102.32,-10.22301108,-8.883373289,-9.23
3bpc,-6.94281,-6.66,-88.268,-6.653143128,-6.617629557,-6.63
1o5b,-5.83374,-7.28,-81.624,-8.309764803,-8.012996124,-7.97
2qmj,-9.13859,-6.32,-113.719,-7.399576633,-8.482723483,-5.82
2x8z,-5.58573,-9.42,-69.425,-9.539545107,-7.570899786,-11
3zsx,-7.88872,-9.24,-138.704,-8.753038806,-9.89190556,-4.53
3b3s,-4.24001,-4.44,-31.349,-6.507618535,-6.769600173,-3.52
2pq9,-10.34186,-11.69,-139.472,-9.207470904,-11.01096191,-11.2
1w3l,-9.30703,-6.57,-108.703,-7.962587565,-7.791947955,-8.68
3cyx,-12.56917,-15.67,-232.443,-11.07779427,-13.17999707,-11.05
3jvs,-9.34472,-5.3,-124.024,-8.310095006,-10.05769169,-9.04
3f80,-5.63077,-5.56,-48.819,-7.177219455,-6.465658941,-5.83
3gcs,-13.25397,-12.53,-170.953,-11.39863021,-11.31490315,-10.02
1lor,-8.01287,-10.05,-100.43,-7.332356141,-8.524170014,-15.28
2jdu,-6.2977,-5.41,-54.246,-7.831179763,-7.391298149,-9.28
2zcr,-9.27994,-11.11,-120.711,-9.484794194,-10.91425334,-9.49
2y5h,-9.14706,-12.98,-155.903,-10.8776404,-8.745218183,-8
3d4z,-8.05779,-7.57,-85.6,-7.819406336,-7.709054891,-6.76
3udh,-9.0246,-9.68,-82.304,-7.323935605,-7.91628755,-3.94
1sln,-7.45021,-10.11,-192.021,-9.659848289,-10.19584679,-9.17
3i3b,-6.99277,-7.13,-54.425,-5.422203566,-7.570899786,-3.08
3imc,-6.34425,-7.33,-76.299,-6.162118273,-7.156434469,-4.09
2vl4,-7.63166,-8.73,-87.134,-7.848718332,-7.805763465,-8.3
3su3,-14.10455,-14.56,-202.902,-9.700869991,-11.54976683,-12.61
3gy4,-6.63728,-10.12,-78.228,-5.879931653,-7.225512022,-7.05
2cbj,-10.51568,-10.46,-144.592,-8.513428159,-9.781381475,-11.43
2obf,-11.48313,-14.14,-128.86,-10.90559371,-10.44452598,-12.23
2yki,-16.52673,-18.18,-178.175,-10.45768314,-12.91750237,-13.07
2v7a,-10.70432,-13.84,-165.315,-10.60010464,-10.22347781,-11.47
3nox,-8.56531,-7.88,-94.251,-10.64653346,-9.546517796,-11.96
1w4o,-7.39542,-10.45,-97.692,-6.291728049,-7.778132444,-7.21
2xy9,-9.03224,-12.99,-166.751,-9.597921807,-10.44452598,-12.7
3g2z,-5.93603,-7.45,-40.034,-6.56440062,-6.631445068,-3.26
2zjw,-11.82279,-10.12,-80.904,-7.571503394,-8.938635331,-10.64
3ehy,-6.30073,-5.72,-103.111,-6.416688793,-7.363667127,-8.08
1q8u,-10.04732,-9.58,-105.722,-9.652290913,-9.532702285,-8.28
3g0w,-11.54377,-11.5,-134.7,-10.8160748,-10.2096623,-13.15
3ge7,-10.35258,-11.84,-142.811,-9.92380801,-9.615595348,-12.02
1oyt,-12.39781,-12.53,-165.381,-10.66633986,-9.781381475,-10
2weg,-5.39216,-5.9,-66.54,-9.124845513,-7.626161828,-8.98
1lbk,-6.87921,-9.84,-99.411,-7.263057053,-7.349851617,-4.39
3bfu,-7.62997,-11.66,-88.185,-8.491634026,-7.764316934,-8.66
1igj,-9.30175,-7.69,-134.523,-9.408178642,-11.05240845,-13.82
3ebp,-11.29443,-8.94,-109.566,-9.262643556,-10.22347781,-8.16
3cft,-4.13661,-5.47,-34.429,-6.532337173,-7.377482638,-5.79
3fv1,-10.05169,-9.74,-134.214,-10.02696324,-9.311654116,-12.85
2pww,-12.85645,-13.46,-216.372,-11.22965315,-13.01421095,-10.11
2hb1,-6.28239,-8.05,-85.95,-6.979645472,-7.515637744,-5.25
