"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","Experimental"
"11gs",11,184,4,14,9,71,22,75,3,6,33,0,1,0,3,0,-8.040627145
"1a0q",9,124,0,3,15,0,94,21,1,2,35,0,0,0,3,10,-10.45834149
"1a1c",10,144,0,15,9,52,58,20,1,10,18,2,0,0,3,15,-8.841926757
"1a1e",9,142,0,17,6,52,58,18,1,10,18,1,0,0,2,14,-8.289306335
"1a42",8,98,0,0,3,7,41,55,1,1,10,1,0,1,0,8,-13.66353994
"1a4k",1,87,0,14,14,0,33,27,0,1,29,0,0,0,1,6,-11.05240845
"1a4r",12,192,23,2,30,51,6,92,2,8,15,0,0,2,1,10,-9.201130032
"1a4w",7,146,0,36,28,0,13,76,3,2,23,0,0,0,1,13,-8.17878225
"1a7x",5,157,0,0,37,8,52,65,2,3,40,0,0,0,0,14,-13.40104524
"1a94",11,215,0,37,39,0,66,84,7,4,29,0,0,0,2,29,-10.84517579
"1a99",8,110,0,7,10,16,64,21,3,0,20,3,0,0,2,5,-7.874841018
"1a9m",8,172,0,20,29,0,63,68,5,3,16,0,0,0,0,20,-9.560333306
"1aaq",11,154,0,27,35,0,43,60,7,4,19,0,0,0,2,19,-11.60502887
"1abf",13,128,0,0,1,46,3,91,3,5,6,0,0,0,0,4,-7.488006722
"1add",5,133,0,7,7,29,9,86,4,2,24,3,1,0,0,6,-9.311654116
"1adl",3,57,5,0,2,9,38,6,0,3,16,0,0,0,1,14,-7.405113659
"1ado",4,74,0,15,10,5,29,19,0,4,3,0,0,0,1,5,-8.289306335
"1af2",7,150,3,13,10,21,83,27,1,3,18,1,0,1,0,5,-4.282808273
"1af6",18,163,0,0,0,0,93,88,4,5,16,0,0,0,0,13,-2.514422922
"1afk",14,171,1,9,0,68,46,61,2,7,11,0,1,0,6,10,-9.145867989
"1afl",9,166,0,9,0,47,53,66,2,7,14,0,2,0,4,10,-8.67614063
"1agm",13,213,0,0,44,44,19,119,10,3,27,0,0,0,1,22,-16.57861267
"1ai4",2,74,0,18,0,4,32,22,0,2,15,0,1,0,0,4,-3.453877639
"1ai7",0,45,0,8,0,12,18,7,0,0,20,0,0,1,0,1,-5.650543818
"1aid",1,41,0,5,1,0,25,11,0,0,23,0,0,0,0,7,-6.659076089
"1aj7",7,125,0,1,12,0,99,20,0,7,25,1,1,0,3,8,-5.346602586
"1ajn",1,55,0,12,0,2,28,14,0,1,12,0,1,0,0,3,-3.633479277
"1ajv",4,169,0,14,46,0,57,56,2,2,44,0,0,0,0,12,-10.66557415
"1ajx",4,152,0,10,32,0,51,63,2,2,46,0,0,0,0,12,-10.92806885
"1alw",1,32,0,0,0,33,0,0,0,1,11,0,0,0,1,4,-9.007712884
"1amw",4,100,15,0,11,24,24,30,1,3,6,0,0,0,2,9,-6.272241793
"1apb",13,130,0,0,0,49,1,93,3,5,8,0,0,0,0,4,-8.040627145
"1apv",10,164,0,3,48,0,44,79,4,2,11,0,0,0,0,16,-12.4339595
"1atl",4,89,1,7,25,31,13,16,1,2,16,1,1,0,3,10,-8.67614063
"1ax0",6,88,0,4,12,0,17,61,2,3,9,0,0,0,0,6,-4.324254805
"1axz",6,76,0,4,10,0,16,52,2,2,8,0,0,0,0,6,-4.420963379
"1b8n",8,181,2,41,0,20,63,63,6,2,14,0,0,1,0,6,-14.53391711
"1b8y",3,104,2,10,29,30,14,22,0,2,27,3,1,0,4,6,-10.84517579
"1bai",10,186,0,17,50,0,52,77,4,4,20,0,0,0,1,29,-10.63794313
"1bap",13,120,0,0,1,41,4,87,3,5,6,0,0,0,0,4,-9.463624732
"1bcd",4,71,0,0,8,0,33,34,1,2,1,0,0,0,0,2,-12.01949419
"1bdq",6,138,0,17,40,0,24,63,3,1,38,0,0,0,0,15,-8.759033694
"1bgq",1,75,9,0,0,29,32,6,1,0,21,0,0,0,0,2,-11.83989255
"1bhf",9,147,0,15,6,53,53,29,1,6,24,2,0,0,4,20,-6.051193624
"1bhx",6,143,0,37,39,0,17,56,5,1,27,0,0,2,1,9,-9.449809222
"1bn1",6,87,0,0,4,4,39,46,0,1,12,0,0,1,1,6,-12.90368686
"1bn3",6,91,0,0,6,6,38,47,0,1,13,0,0,1,1,4,-13.66353994
"1bn4",7,80,0,0,3,4,39,41,1,2,10,1,0,1,0,7,-12.86224033
"1bnn",8,85,0,0,4,8,40,41,1,1,10,0,0,1,0,4,-13.81551056
"1bnq",7,94,0,0,3,7,40,51,1,1,9,1,0,1,0,7,-13.11091952
"1bnt",7,84,0,0,3,4,45,39,1,2,4,1,0,2,0,5,-13.53920035
"1bnu",7,86,0,0,3,4,42,44,1,1,5,1,0,2,0,5,-13.40104524
"1bnv",8,107,0,0,7,3,54,51,2,2,4,1,0,1,0,5,-12.11620276
"1bnw",6,94,0,0,3,7,48,42,1,2,5,0,0,1,1,6,-12.54448359
"1bp0",15,137,2,8,0,17,69,56,2,9,2,0,0,0,3,5,-7.460375701
"1bq4",8,157,2,0,0,96,31,36,0,9,2,0,0,0,11,6,-7.211696511
"1br6",10,165,4,19,16,77,49,10,3,4,24,0,1,0,0,6,-4.4485944
"1bv7",10,215,0,36,42,0,87,60,4,6,51,0,0,0,0,14,-12.84842482
"1bv9",10,222,0,43,36,0,85,68,4,6,47,0,0,0,0,14,-12.37869746
"1bwa",10,203,0,32,45,0,81,55,4,6,34,0,0,0,0,14,-10.49978802
"1bwb",12,242,0,42,45,0,113,54,5,6,47,0,0,0,0,14,-11.63265989
"1bxq",7,178,0,3,39,0,37,106,4,2,25,0,0,0,0,19,-10.19584679
"1bxr",18,250,0,12,35,35,116,70,5,12,19,0,0,0,7,11,-4.69727359
"1byk",16,194,5,7,6,77,29,86,6,9,5,0,0,0,1,13,-6.907755279
"1bzc",11,171,13,1,15,36,10,107,1,8,37,0,2,0,1,8,-6.797231195
"1bzh",10,179,9,1,20,34,9,116,2,7,29,0,0,0,2,16,-9.353100648
"1bzy",18,226,12,7,41,24,58,102,6,8,20,1,2,0,0,7,-11.52213581
"1c1r",5,119,0,8,46,0,4,66,3,1,13,0,0,0,0,4,-10.54123456
"1c1u",6,138,0,26,25,0,8,85,3,0,18,1,0,0,0,4,-11.39779621
"1c1v",11,152,0,38,24,0,8,93,5,0,18,0,1,0,0,7,-10.55505007
"1c4u",6,161,0,10,63,0,3,91,3,1,32,0,0,0,0,9,-14.32668445
"1c4v",7,166,0,10,60,0,4,99,4,1,59,0,0,0,0,9,-14.9207514
"1c5c",7,105,0,0,5,0,46,61,0,6,32,0,2,1,3,3,-9.615595348
"1c5n",4,88,0,18,30,0,8,36,3,0,6,0,0,0,0,2,-6.493289962
"1c5o",3,81,0,18,26,0,7,33,3,0,9,0,0,0,0,2,-4.821613185
"1c5p",3,90,0,4,45,0,5,39,3,0,12,0,0,0,0,2,-6.465658941
"1c5q",5,94,0,5,48,0,4,42,3,0,10,0,0,0,0,2,-8.786664715
"1c5s",6,106,0,5,56,0,6,45,3,0,13,0,0,0,0,2,-8.289306335
"1c5t",4,88,0,16,28,0,5,43,3,0,8,0,0,0,0,2,-5.664359329
"1c5x",6,110,0,9,56,0,2,49,4,0,14,0,0,0,0,2,-9.228761053
"1c5y",6,102,0,8,54,0,2,44,4,0,15,0,0,0,0,2,-5.802514434
"1c5z",5,89,0,6,48,0,3,37,3,0,11,0,0,0,0,2,-5.540019734
"1c70",5,173,0,14,48,0,37,79,3,1,51,0,0,0,2,14,-14.22997587
"1c83",10,139,8,0,3,32,11,95,0,10,25,0,0,0,2,3,-6.700522621
"1c84",8,125,7,0,1,30,10,85,1,7,31,0,0,0,2,3,-6.907755279
"1c86",8,144,8,1,4,35,12,92,0,7,16,0,0,0,2,3,-6.493289962
"1c87",9,141,10,1,5,34,13,87,0,10,16,0,1,0,2,3,-5.802514434
"1c88",11,156,9,1,5,34,11,107,1,9,23,0,1,0,3,3,-7.308405085
"1caq",5,106,4,14,25,32,18,18,0,2,30,4,1,2,4,8,-10.66557415
"1cbx",8,109,0,2,0,5,21,89,0,6,12,0,1,0,7,5,-8.772849204
"1ce5",3,97,0,4,44,0,6,46,3,0,13,0,0,0,0,2,-6.548552004
"1cea",7,81,0,0,1,0,54,33,1,4,19,1,0,0,3,6,-6.852493237
"1ceb",6,78,0,0,1,0,32,51,1,2,16,0,0,0,4,3,-8.289306335
"1cet",1,57,2,5,0,23,6,22,0,0,24,0,0,0,1,8,-3.992682551
"1cgl",8,143,0,11,31,23,38,48,4,4,26,0,1,0,5,19,-9.491255753
"1ch8",14,206,23,13,45,62,51,26,2,10,17,0,0,0,4,7,-9.670857391
"1cil",7,92,0,0,5,5,41,48,1,1,5,0,0,0,1,4,-13.02802646
"1cim",9,96,0,0,8,4,40,53,0,2,3,0,0,0,0,3,-12.18528031
"1cin",10,92,0,0,6,4,42,50,0,2,4,0,0,0,1,3,-12.06094072
"1ciz",5,98,4,9,26,24,12,28,0,2,28,4,1,0,4,8,-10.27873986
"1cnw",7,85,0,1,5,6,38,42,2,1,15,0,0,0,0,14,-10.66557415
"1cnx",6,93,2,1,7,6,41,42,3,3,14,0,0,0,0,12,-10.18203128
"1cny",6,94,0,1,7,9,39,44,2,2,13,0,0,0,0,16,-10.84517579
"1ct8",7,161,0,3,25,0,80,60,0,6,45,1,2,1,0,13,-9.007712884
"1ctt",7,125,2,11,10,15,72,22,3,2,16,0,0,0,0,5,-6.244610772
"1ctu",9,161,4,13,11,22,88,32,1,3,19,0,0,0,0,5,-16.46808859
"1d2e",16,212,34,0,28,87,18,61,2,12,15,0,0,0,1,9,-8.289306335
"1d4y",6,146,0,16,20,0,35,81,1,4,22,0,0,0,0,13,-15.33521672
"1d6v",2,121,0,6,0,0,87,30,1,2,65,1,2,1,0,8,-8.524170014
"1d6w",4,150,0,14,63,0,2,75,1,1,35,0,0,0,0,8,-8.234044293
"1d7i",1,38,0,0,4,8,15,12,0,1,9,0,0,0,0,2,-4.973583801
"1d9i",4,131,0,32,33,0,11,59,3,1,37,0,0,0,1,8,-12.58593012
"1dfo",12,168,0,0,29,0,57,94,5,3,26,0,1,0,1,11,-9.256392074
"1dhj",7,140,2,37,0,43,45,20,1,4,21,0,0,0,3,11,-9.049159415
"1dif",7,232,0,18,53,0,52,116,6,2,46,2,0,0,0,21,-14.72733425
"1dl7",1,95,0,0,22,0,25,49,0,3,33,3,0,0,1,7,-8.966266352
"1dqn",15,173,7,14,30,19,44,74,2,7,17,0,3,0,0,7,-11.05240845
"1dqx",16,215,0,7,9,15,76,124,3,7,16,0,0,0,1,7,-15.26613917
"1drj",17,154,0,1,0,55,31,84,4,7,18,0,0,0,0,4,-10.22347781
"1drk",17,151,0,1,0,54,33,80,4,6,20,0,0,0,0,4,-9.422178201
