Complex,VINA,GlideSP,HMS,DSX,RFScore,Experimental
10gs,-7.5601,-9.69,-9.781381475,-120.368,-9.44132495181,-8.841926757
1a08,-5.6455,-8.64,-8.234044293,-111.606,-8.85643492068,-7.764316934
1a1b,-5.4375,-8.76,-8.192597761,-113.197,-8.13966248088,-8.841926757
1a30,-5.9125,-8.73,-7.819578976,-106.796,-8.51726143663,-5.94066954
1a69,-8.8953,-8.55,-7.778132444,-94.364,-7.49255831912,-7.322220596
1ai5,-5.5525,-8.41,-7.626161828,-53.877,-7.56250755104,-5.139369928
1ajp,5.29522,-7.42,-6.659076089,20.972,-6.91732971974,-3.080858854
1ajq,-4.6815,-8.05,-6.92157079,-52.733,-8.56501377149,-5.95448505
1apw,-8.6432,-11.52,-10.30637088,-170.49,-10.3564770139,-11.05240845
1avn,-1.32,-4.8,-5.44331116,0.353,-7.7789625754,-5.388049118
1b39,-7.8907,-8.36,-8.745218183,-113.549,-7.55700019543,-9.560333306
1b7h,-7.4008,-10.26,-9.836643517,-177.528,-9.84019116058,-11.08003947
1b8o,-10.034,-11.41,-8.855742268,-102.623,-9.66743830755,-14.69970323
1b9j,-7.8631,-10.3,-10.09913822,-182.84,-9.90064300801,-8.234044293
1bcu,-7.0792,-5.65,-7.142618958,-81.658,-7.06318944362,-4.531487463
1bma,-5.0718,-6.95,-10.26492434,-159.268,-10.8029451375,-6.341319346
1bra,-5.1518,-7.32,-6.755784663,-63.035,-6.42450102373,-2.514422922
1bxo,-14.184,-16.78,-11.66029091,-188.715,-9.24459019165,-13.81551056
1d09,-7.242,-7.93,-6.976832832,-94.382,-7.69319167016,-10.45834149
1d7j,-3.0211,-3.26,-5.816329945,-29.545,-5.92410377189,-4.559118484
1det,-6.2361,-8.85,-7.280774064,-70.28,-7.68774372534,-5.94066954
1dhi,-9.1618,-10.89,-8.993897373,-112.074,-9.62721676784,-10.03006067
1e1v,-5.4224,-8.36,-7.584715296,-101.743,-8.36718390728,-6.797231195
1e5a,-2.3612,-2.41,-7.294589575,-16.911,-4.84572049631,-10.55505007
1e66,-11.693,-8.13,-9.767565964,-111.754,-9.31105901295,-13.66353994
1ela,-7.3863,-7.91,-9.560333306,-142.541,-9.19330875226,-8.786664715
1f4e,-6.8124,-6.2,-8.068258166,-60.747,-7.47690902408,-4.089391125
1f4f,-7.4786,-8.94,-8.372199398,-83.122,-8.35334015168,-6.382765878
1f4g,-10.895,-10.62,-9.049159415,-124.238,-8.30364402835,-8.952450842
