Complex,VINA,GlideSP,HMS,DSX,RFScore,Experimental
11gs,-7.2385,-11.89,-9.463624732,-141.087,-8.89966,-8.040627145
1a0q,-7.76656,-9.57,-9.132052479,-110.475,-8.7755,-10.45834149
1a1c,-6.02728,-9.71,-8.67614063,-121.725,-8.66932,-8.841926757
1a1e,-6.19781,-9.41,-8.828111247,-124.795,-8.60754,-8.289306335
1a42,-5.17747,-6.46,-7.612346317,-93.326,-10.5889,-13.66353994
1a4k,-8.80477,-6.19,-9.007712884,-116.801,-9.66595,-11.05240845
1a4r,-8.44383,-9.95,-8.151151229,-120.487,-6.85265,-9.201130032
1a4w,-8.64756,-10.83,-10.15440026,-162.399,-10.6593,-8.17878225
1a7x,-11.9765,-13.92,-13.40104524,-226.323,-11.4632,-13.40104524
1a94,-8.29262,-14.93,-12.15764929,-260.658,-10.0053,-10.84517579
1a99,-4.27739,-7.11,-6.728153642,-50.207,-8.79499,-7.874841018
1a9m,-8.08736,-11.84,-10.09913822,-193.686,-9.89034,-9.560333306
1aaq,-8.40496,-12.82,-11.41161172,-208.81,-10.1733,-11.60502887
1abf,-6.80225,-7.89,-7.971549592,-55.888,-6.22477,-7.488006722
1add,-7.85427,-8.15,-8.275490824,-96.712,-10.1168,-9.311654116
1adl,-5.83504,-8.56,-9.104421458,-106.442,-9.82409,-7.405113659
1ado,-4.11135,-6.43,-6.203164241,-20.052,-5.69871,-8.289306335
1af2,-9.59984,-8.32,-8.247859803,-106.72,-7.84701,-4.282808273
1af6,-6.71589,-6.11,-7.695239381,-75.855,-7.546,-2.514422922
1afk,-6.63552,-9.07,-7.791947955,-90.318,-7.4097,-9.145867989
1afl,-6.04371,-9.72,-7.66760836,-95.635,-7.85029,-8.67614063
1agm,-9.01636,-10.89,-10.19584679,-180.844,-8.32378,-16.57861267
1ai4,-5.28394,-8.09,-7.377482638,-56.003,-7.22942,-3.453877639
1ai7,-5.14534,-5.75,-7.197881001,-47.764,-5.97686,-5.650543818
1aid,-6.69403,-6.12,-9.933352091,-92.03,-9.15861,-6.659076089
1aj7,-7.10807,-8.39,-7.971549592,-86.458,-7.43317,-5.346602586
1ajn,-5.42685,-8.11,-7.570899786,-54.212,-7.63563,-3.633479277
1ajv,-11.4712,-11.33,-12.84842482,-246.718,-13.2051,-10.66557415
1ajx,-11.5654,-11.04,-12.65500767,-228.807,-12.256,-10.92806885
1alw,-4.18768,-6.63,-7.004463853,-44.304,-6.54295,-9.007712884
1amw,-6.34877,-10.5,-7.460375701,-78.024,-6.7777,-6.272241793
1apb,-6.98638,-7.92,-7.805763465,-57.02,-6.12429,-8.040627145
1apv,-8.53634,-10.52,-10.40307945,-161.476,-10.2005,-12.4339595
1atl,-5.66419,-5.32,-8.137335719,-132.949,-8.52172,-8.67614063
1ax0,-5.25142,-7.48,-6.949201811,-78.382,-5.51262,-4.324254805
1axz,-4.55562,-7.11,-6.617629557,-63.309,-6.51695,-4.420963379
1b8n,-9.6298,-12.03,-8.841926757,-116.81,-9.09265,-14.53391711
1b8y,-9.73126,-8.18,-10.26492434,-178.68,-9.99191,-10.84517579
1bai,-7.85392,-14.16,-11.99186316,-239.278,-10.5902,-10.63794313
1bap,-6.33636,-7.69,-7.529453254,-50.647,-6.06851,-9.463624732
1bcd,-3.80589,-4.51,-6.327503836,-41.09,-8.39241,-12.01949419
1bdq,-9.20803,-9.07,-11.99186316,-197.852,-10.4516,-8.759033694
1bgq,-8.65399,-9.23,-8.966266352,-89.421,-9.23747,-11.83989255
1bhf,-5.91937,-13.92,-7.957734081,-137.804,-8.10086,-6.051193624
1bhx,-8.94956,-12.01,-9.629410859,-154.561,-9.95201,-9.449809222
1bn1,-5.18587,-5.55,-8.220228782,-69.583,-10.9346,-12.90368686
1bn3,-6.39592,-5.84,-8.234044293,-79.843,-10.703,-13.66353994
1bn4,-4.24516,-5.86,-7.791947955,-73.118,-10.822,-12.86224033
1bnn,-5.63643,-5.88,-8.275490824,-82.781,-10.7247,-13.81551056
1bnq,-5.85992,-6.22,-7.336036106,-88.482,-10.6445,-13.11091952
1bnt,-6.39086,-6.88,-8.303121845,-85.357,-10.3578,-13.53920035
1bnu,-5.76581,-7.08,-7.943918571,-85.371,-10.4259,-13.40104524
1bnv,-5.32548,-6.61,-8.386014909,-87.748,-10.3902,-12.11620276
1bnw,-4.62724,-6.13,-7.308405085,-68.947,-10.865,-12.54448359
1bp0,-7.20039,-9.56,-7.93010306,-85.737,-6.80828,-7.460375701
1bq4,-6.57376,-7.5,-7.736685912,-13.993,-6.9281,-7.211696511
1br6,-7.97904,-6.11,-9.035343905,-90.893,-9.10862,-4.4485944
1bv7,-13.9787,-16.89,-15.51481836,-280.371,-11.4295,-12.84842482
1bv9,-13.5444,-16.85,-15.48718734,-285.923,-11.3829,-12.37869746
1bwa,-13.14,-17.38,-14.69970323,-286.899,-11.3881,-10.49978802
1bwb,-14.4298,-16.3,-15.66678897,-306.031,-10.7888,-11.63265989
1bxq,-8.68249,-13.76,-11.121486,-184.646,-9.00902,-10.19584679
1bxr,-11.6317,-11.08,-10.65175864,-165.678,-7.57438,-4.69727359
1byk,-9.48877,-8.26,-9.463624732,-129.672,-7.42097,-6.907755279
