"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy"
"10gs",18,325,4,13,11,58,48,209,4,9,21,0,0,0,2,14,-59.11801925,2.562390847,-4.35386064,-30.00416264,-1.440105497,52.59434027,-50.02749905,8.503744806
"1a08",17,260,0,17,4,43,123,90,2,10,17,1,0,0,2,19,-220.816725,1.979754568,-12.45550945,-20.94996842,-0.145194398,208.1126085,-40.57699319,3.300778043
"1a1b",12,233,0,16,4,50,105,70,1,9,15,1,0,0,2,19,-186.7003415,2.620250097,-12.31351345,-20.63794306,-0.605640225,179.0571407,-43.18796614,3.554819164
"1a30",12,225,0,13,27,0,84,113,4,4,10,0,0,0,1,14,-57.40392777,10.46421224,-3.041919967,-29.54229284,0,63.267071,-49.86817297,17.26833743
"1a69",16,281,0,32,6,21,91,147,4,3,14,0,0,0,0,5,-57.07282821,4.126258419,-3.214567636,-24.08516693,-0.19724341,39.84214048,-35.10844187,5.72669569
"1ai5",4,127,0,15,0,9,67,40,0,2,13,0,1,0,0,3,3.350868887,1.84210857,-3.58093228,-16.84657429,-0.567241679,7.142225901,-31.8899956,1.512948939
"1ajp",9,173,0,23,0,3,85,71,0,2,36,0,1,1,0,2,-10.42303,7.657078206,-3.13454144,-27.86102937,0,19.76558402,-13.64390711,7.304197715
"1ajq",5,109,0,17,0,15,61,21,0,2,15,0,1,1,0,2,-23.30501339,0.372090575,-4.040833703,-24.93428313,-0.333936993,31.01242689,-24.03169824,0.53362109
"1apw",18,316,0,2,44,0,81,207,4,4,16,0,0,0,0,15,-44.75345999,2.63497698,-3.619085999,-45.44227795,0,40.0496277,-63.82036647,12.02035896
"1avn",4,54,0,0,0,0,23,35,0,2,1,0,0,0,0,3,-15.22041713,-2.530826233,-0.282909845,-2.18360728,-0.99213178,22.66902225,-10.93905731,-2.382883891
"1b39",21,408,0,16,24,2,176,211,3,10,13,0,0,0,7,11,-125.293779,1.85800318,-15.02488038,-14.52211268,-0.093218291,154.0468584,-43.31832614,8.07070322
"1b7h",23,353,10,40,13,100,150,63,8,3,20,1,0,0,3,19,-119.1232058,-0.40273143,-9.650280247,-48.33808538,0,197.6325212,-57.55199004,10.39815799
"1b8o",22,324,1,34,0,56,113,142,6,4,15,0,0,1,1,5,-135.256479,3.735409568,-5.306686969,-26.25897429,-0.679309125,106.9671796,-38.70414526,11.39433668
"1b9j",25,342,3,42,21,86,133,82,6,5,19,0,0,0,1,18,-114.1772778,1.346352338,-7.149448807,-14.78260252,0,170.4575091,-56.30854322,5.715185454
"1bcu",5,156,0,20,12,0,33,96,2,0,16,0,0,0,0,2,4.089168597,2.820229898,-5.49351763,-18.16611169,0,70.43511912,-33.59352264,2.535724716
"1bma",8,158,0,22,14,0,42,88,0,1,5,0,0,0,0,11,-66.44533604,3.305164816,-0.785181394,-36.70090447,-2.079855169,87.51685879,-51.60123373,14.136013
"1bra",5,181,0,26,29,0,35,96,1,0,9,0,0,0,0,2,-280.3301509,2.578994139,-3.692057933,-12.27902312,-0.11886486,283.2153871,-24.72299019,2.841762493
"1bxo",17,455,0,3,37,0,117,315,4,13,22,0,0,0,0,10,-24.75717942,4.589636513,-5.745895368,-54.36933383,-0.008831369,12.49012747,-89.06157574,7.303839204
"1d09",21,223,14,0,15,79,37,99,0,14,5,0,0,0,6,7,-195.9718722,3.012079536,-18.20753872,-9.854850235,0,202.2648593,-28.59239416,7.078082971
"1d7j",1,64,0,0,3,6,19,37,1,1,9,0,0,0,0,3,-8.054368337,1.673817169,-0.54402998,-13.88253932,0,4.103321658,-16.03776857,1.246090257
"1det",14,230,0,5,24,0,61,154,4,6,10,0,1,0,0,7,34.21991718,0.370630966,-6.887641899,-5.207989968,-3.309513953,-39.24584761,-27.78452275,1.616960578
"1dhi",18,377,1,35,0,139,88,132,1,8,18,0,0,0,3,11,-66.79350796,-1.873862533,-13.91616024,-24.68349391,-1.047648708,64.18939544,-50.58004404,4.332750629
"1e1v",7,251,0,38,1,0,213,6,2,1,23,0,0,0,0,4,0.25631271,2.153221983,-1.510558713,-23.112957,-0.101009649,16.46495043,-39.89185495,2.402405864
"1e5a",1,51,0,0,0,2,50,0,0,1,4,0,0,0,0,1,-3.594871167,0.579677115,-0.281804598,-14.79908003,0,6.32026516,-12.44614552,0.700780483
"1e66",2,200,0,0,18,53,3,128,0,0,55,0,5,0,0,2,-9.322860613,3.682769011,-1.170508966,-55.7758269,-9.482088796,69.8165637,-52.67246063,4.291585849
"1ela",16,308,0,29,22,0,71,202,2,1,13,0,0,0,0,11,-64.90836023,-0.613196417,-1.346578914,-30.86805038,-0.269470909,63.2925271,-45.23018405,7.986700365
"1f4e",5,111,0,0,1,39,5,71,0,3,16,0,1,0,1,3,71.7215246,7.16790817,-1.637708333,-22.7895977,-2.744116066,-47.21121103,-30.37545452,7.85405185
"1f4f",14,257,2,0,7,59,0,203,0,11,27,0,0,1,1,9,103.514054,3.77655571,-7.236572278,-27.15487972,-0.509302812,-73.18661323,-50.34034824,5.268662268
