"Complex","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"10gs",-59.11801925,2.562390847,-4.35386064,-30.00416264,-1.440105497,52.59434027,-50.02749905,8.503744806,-8.841926757
"1a08",-220.816725,1.979754568,-12.45550945,-20.94996842,-0.145194398,208.1126085,-40.57699319,3.300778043,-7.764316934
"1a1b",-186.7003415,2.620250097,-12.31351345,-20.63794306,-0.605640225,179.0571407,-43.18796614,3.554819164,-8.841926757
"1a30",-57.40392777,10.46421224,-3.041919967,-29.54229284,0,63.267071,-49.86817297,17.26833743,-5.94066954
"1a69",-57.07282821,4.126258419,-3.214567636,-24.08516693,-0.19724341,39.84214048,-35.10844187,5.72669569,-7.322220596
"1ai5",3.350868887,1.84210857,-3.58093228,-16.84657429,-0.567241679,7.142225901,-31.8899956,1.512948939,-5.139369928
"1ajp",-10.42303,7.657078206,-3.13454144,-27.86102937,0,19.76558402,-13.64390711,7.304197715,-3.080858854
"1ajq",-23.30501339,0.372090575,-4.040833703,-24.93428313,-0.333936993,31.01242689,-24.03169824,0.53362109,-5.95448505
"1apw",-44.75345999,2.63497698,-3.619085999,-45.44227795,0,40.0496277,-63.82036647,12.02035896,-11.05240845
"1avn",-15.22041713,-2.530826233,-0.282909845,-2.18360728,-0.99213178,22.66902225,-10.93905731,-2.382883891,-5.388049118
"1b39",-125.293779,1.85800318,-15.02488038,-14.52211268,-0.093218291,154.0468584,-43.31832614,8.07070322,-9.560333306
"1b7h",-119.1232058,-0.40273143,-9.650280247,-48.33808538,0,197.6325212,-57.55199004,10.39815799,-11.08003947
"1b8o",-135.256479,3.735409568,-5.306686969,-26.25897429,-0.679309125,106.9671796,-38.70414526,11.39433668,-14.69970323
"1b9j",-114.1772778,1.346352338,-7.149448807,-14.78260252,0,170.4575091,-56.30854322,5.715185454,-8.234044293
"1bcu",4.089168597,2.820229898,-5.49351763,-18.16611169,0,70.43511912,-33.59352264,2.535724716,-4.531487463
"1bma",-66.44533604,3.305164816,-0.785181394,-36.70090447,-2.079855169,87.51685879,-51.60123373,14.136013,-6.341319346
"1bra",-280.3301509,2.578994139,-3.692057933,-12.27902312,-0.11886486,283.2153871,-24.72299019,2.841762493,-2.514422922
"1bxo",-24.75717942,4.589636513,-5.745895368,-54.36933383,-0.008831369,12.49012747,-89.06157574,7.303839204,-13.81551056
"1d09",-195.9718722,3.012079536,-18.20753872,-9.854850235,0,202.2648593,-28.59239416,7.078082971,-10.45834149
"1d7j",-8.054368337,1.673817169,-0.54402998,-13.88253932,0,4.103321658,-16.03776857,1.246090257,-4.559118484
"1det",34.21991718,0.370630966,-6.887641899,-5.207989968,-3.309513953,-39.24584761,-27.78452275,1.616960578,-5.94066954
"1dhi",-66.79350796,-1.873862533,-13.91616024,-24.68349391,-1.047648708,64.18939544,-50.58004404,4.332750629,-10.03006067
"1e1v",0.25631271,2.153221983,-1.510558713,-23.112957,-0.101009649,16.46495043,-39.89185495,2.402405864,-6.797231195
"1e5a",-3.594871167,0.579677115,-0.281804598,-14.79908003,0,6.32026516,-12.44614552,0.700780483,-10.55505007
"1e66",-9.322860613,3.682769011,-1.170508966,-55.7758269,-9.482088796,69.8165637,-52.67246063,4.291585849,-13.66353994
"1ela",-64.90836023,-0.613196417,-1.346578914,-30.86805038,-0.269470909,63.2925271,-45.23018405,7.986700365,-8.786664715
"1f4e",71.7215246,7.16790817,-1.637708333,-22.7895977,-2.744116066,-47.21121103,-30.37545452,7.85405185,-4.089391125
"1f4f",103.514054,3.77655571,-7.236572278,-27.15487972,-0.509302812,-73.18661323,-50.34034824,5.268662268,-6.382765878
"1f4g",-5.075973218,5.999774216,-11.03431771,-31.66241027,-0.797703581,-1.934696746,-59.37234535,10.80200028,-8.952450842
"1f5k",-216.5297152,2.632755514,-7.652747762,-10.93560861,0,211.7666404,-23.39150628,3.85165863,-5.167000949
"1fcx",-33.63523666,2.778075369,-4.389554765,-79.957604,-1.801642755,37.08996683,-65.49484005,5.681612901,-9.933352091
"1fcz",-36.23802533,2.307063378,-4.71851558,-76.78030144,-1.409480728,33.80019777,-63.81935723,2.928781941,-12.73790073
"1fd0",-39.07393564,3.459078152,-4.824090198,-74.2400134,-1.810129998,39.3700236,-65.16980227,6.360243536,-11.60502887
"1fh7",-120.1507261,1.804810041,-5.170245726,-22.10681245,0,91.40834835,-22.48054665,9.942748982,-7.239327532
"1fh8",-116.3831367,0.524469591,-4.621357913,-21.35777323,0,107.1833326,-28.16581102,7.260519272,-9.518886774
"1fh9",-169.5915836,4.378723377,-5.954342556,-19.82583329,0,116.3569984,-21.27146541,10.7843109,-8.883373289
"1fkb",-54.85489785,4.385692973,-2.802906275,-54.34350272,0,45.55769984,-66.9106989,10.36150513,-13.40104524
"1fki",-20.23532104,-2.804530646,-0.618261851,-39.64639103,0,16.71092089,-44.63177664,4.956986096,-9.670857391
"1fkn",-70.299878,3.240663241,-11.5829364,-49.18292803,-0.000254789,46.77707617,-73.88700221,42.04935243,-12.15764929
"1flr",-3.954769935,3.11665894,-2.205423893,-31.75464263,-7.91019712,34.13958678,-42.29953165,4.356533055,-13.81551056
"1ftm",-54.72877114,3.587183132,-5.96328996,-19.69843599,-0.092018074,21.13854621,-27.67171249,5.246486337,-10.51360353
"1fzj",-191.6732942,5.734767717,-11.40976589,-59.88966879,-2.092121116,118.0729779,-93.4238312,15.04560357,-11.19056355
"1fzk",-142.7659379,8.051420985,-7.113684772,-53.64418392,-3.743082598,104.3271929,-86.39018414,32.96399368,-11.60502887
"1g7f",-66.47456173,3.530254595,-12.31400616,-25.2037251,-0.495141583,158.43307,-44.08607909,15.15690937,-7.557084275
