"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"11gs",11,184,4,14,9,71,22,75,3,6,33,0,1,0,3,0,-12.44,3.95,-5.1,-51.68,-0.63,-0.62,-57.72,12.03,-8.040627145
"1a0q",9,124,0,3,15,0,94,21,1,2,35,0,0,0,3,10,-85.76,1.14,-6.47,-33.31,-0.13,95.18,-45.05,1.79,-10.45834149
"1a1c",10,144,0,15,9,52,58,20,1,10,18,2,0,0,3,15,-247.39,-2.54,-13.48,-22.99,-0.44,232.44,-39.66,2.85,-8.841926757
"1a1e",9,142,0,17,6,52,58,18,1,10,18,1,0,0,2,14,-208.53,1.51,-14.15,-21.17,-0.46,193.71,-39,2.11,-8.289306335
"1a42",8,98,0,0,3,7,41,55,1,1,10,1,0,1,0,8,-0.65,3.79,-2.95,-32.24,-0.27,-14.49,-37.95,2.91,-13.66353994
"1a4k",1,87,0,14,14,0,33,27,0,1,29,0,0,0,1,6,-11.7,6.77,-5.17,-39.07,-0.01,15.5,-55.56,6.24,-11.05240845
"1a4r",12,192,23,2,30,51,6,92,2,8,15,0,0,2,1,10,5.68,3.27,-10.48,-9.39,-2.12,7.1,-49.79,4.18,-9.201130032
"1a4w",7,146,0,36,28,0,13,76,3,2,23,0,0,0,1,13,-182.45,0.64,-6.48,-41.29,-0.01,177.68,-63.75,17.28,-8.17878225
"1a7x",5,157,0,0,37,8,52,65,2,3,40,0,0,0,0,14,-35.95,-0.45,-2.09,-63.34,0,34.54,-96.03,10.69,-13.40104524
"1a94",11,215,0,37,39,0,66,84,7,4,29,0,0,0,2,29,-50.88,5.27,-7.9,-66.26,0,64.79,-100.73,21.51,-10.84517579
"1a99",8,110,0,7,10,16,64,21,3,0,20,3,0,0,2,5,-153.19,1.24,-3.01,-21.28,0,133.11,-20.28,1.3,-7.874841018
"1a9m",8,172,0,20,29,0,63,68,5,3,16,0,0,0,0,20,-24.32,11.68,-6.13,-67.95,0,28.47,-83.32,19.4,-9.560333306
