PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1yqj,-10.09030992,1.179442534,-0.277383168,-53.30633147,-1.962358293,23.90558207,-67.24823288,3.129956792,-11.24582559
1g54,3.203276029,0.522844539,-1.881347444,-17.81722927,-0.672905493,-6.350009925,-31.88867792,1.976196057,-12.18528031
1g53,1.352967283,0.202427521,-2.077774181,-20.16883728,-0.6100463,-3.249393302,-32.48238899,3.719634992,-12.48922154
1g52,-1.552547484,0.732660269,-2.192671254,-22.32905581,-0.823205404,-3.536947485,-31.95237287,2.100309481,-13.17999707
1yqy,14.12608193,7.37636329,-2.125254384,-31.77725812,-0.543980655,10.0175526,-46.91827292,8.039626258,-10.52741905
1kc7,95.63422177,1.737077559,-9.498224319,-3.77489518,0,-55.6469716,-15.65122002,2.697424261,-7.626161828
1d7i,-10.97523457,0.301896627,-0.242620366,-18.37297064,0,9.035821018,-18.32496851,0.476991493,-4.973583801
1ogg,-60.18282777,2.504636231,-2.380194753,-52.52807286,0,44.19916968,-63.22318966,5.37189635,-7.17024998
1pgp,-189.1964013,2.586607704,-14.48975592,-6.94976802,0,183.6442057,-29.9904571,10.03049569,-7.874841018
1yc1,10.81372035,2.646389384,-5.970194159,-36.16063776,-0.783966983,-8.001968118,-53.98270164,4.577463409,-8.524170014
1a9m,-17.03083923,7.498946147,-5.344885516,-71.78497167,0,20.75451775,-83.78971798,12.30227939,-9.560333306
1hii,-53.23173779,4.46115178,-2.719782625,-80.18454683,0,54.86606421,-81.38090238,11.93852864,-10.05769169
1yc4,-16.90133059,1.711285578,-1.707648771,-30.19967586,-0.283069649,21.1962458,-43.23760761,3.139138903,-9.049159416
1hn2,-4.870821914,2.063822891,0,-28.97734504,-6.739175457,17.64953043,-37.87711568,1.442995363,-8.289306335
2er6,-59.21004601,-2.286313804,-7.079604899,-67.63908301,-0.214379229,75.83048218,-100.838514,29.39001929,-9.974798623
1ez9,-58.97117054,6.480326089,-4.583701053,-49.36896207,0,47.48219475,-52.84026748,6.986944667,-7.045910385
2aoc,-27.20395114,3.115796153,-9.256469862,-75.67402446,0,4.830251515,-98.45969173,22.72271561,-6.755784663
2hu6,-19.4994428,3.138670216,-0.70510379,-33.25915252,-1.821638475,32.69035496,-48.23405125,5.595293764,-5.263709523
2aog,-29.30044595,-0.550031784,-10.6697019,-76.64349882,0,8.032786188,-98.71298847,16.48120482,-8.67614063
1j14,-306.5900055,1.870632392,-7.108873714,-12.32464209,-0.255738212,310.6662025,-22.55364277,2.58647903,-6.203164241
1ik4,-76.21241589,3.756220324,-12.87234146,-4.26706863,0,71.27183449,-5.468197983,4.160598929,-10.23729332
2ca8,-68.07213304,1.222548565,-8.000022361,-15.01519402,0,47.38720616,-26.91719687,3.926769912,-6.43802792
1str,-61.78472804,1.440801547,-4.765937194,-33.31613221,-0.375380491,34.00244054,-56.98402804,12.04572396,-6.589998536
1sts,-60.37806734,11.33279477,-7.24032953,-38.10308975,-1.539351611,42.38669096,-68.44538338,34.24541827,-6.907755279
1qhc,-191.5513905,7.413327763,-18.5442121,-11.67230837,-2.817545271,180.1226323,-46.62779351,19.78508733,-10.45834149
1f9g,-12.89340812,-0.071793251,-1.704404266,-12.06150048,0,10.54009634,-18.72766506,0.692850916,-1.768385351
1w4o,-117.4128128,1.377599757,-14.53339323,-7.658307641,-1.54E-05,97.8268442,-32.64915212,5.31825353,-7.211696511
1v2r,-280.7679167,3.065661936,-8.116124642,-30.18545655,-1.981458449,283.3478062,-43.51263276,12.73728592,-4.904506248
1vyf,-63.84700207,0.82422991,-5.354358746,-57.26542464,0,58.03958894,-45.61927709,8.808771347,-11.121486
1vyg,-64.08883588,0.71661134,-5.168187338,-63.09534141,0,55.27532178,-45.93275419,20.56216186,-11.05240845
1upf,-17.01385489,0.245350213,-0.66237663,-6.2495502,-2.601636584,9.322531508,-19.62642907,0.230759998,-6.355134857
1caq,92.44761392,4.360980838,-0.724690559,-50.37870414,-1.749519689,-45.92616643,-66.57499119,11.04327221,-10.66557415
1o36,-43.51411127,6.226177226,-3.539242592,-25.42599891,-1.851408983,101.3987166,-40.78376066,10.31402031,-8.234044293
1i9m,3.635049789,4.639445639,-3.061669688,-18.21570879,-0.408352628,0.614887969,-30.25484505,6.549942422,-11.71555295
1i9l,4.95963698,0.539698389,-2.28836324,-19.26921427,-0.542861818,-4.362986652,-27.24429058,4.025524247,-11.71555295
1i9o,-1.350591897,1.447423938,-1.927908434,-17.59501925,-0.669323588,-1.759729065,-26.03796397,5.279916768,-11.63265989
1i9n,-0.91928312,2.292742609,-1.904807709,-18.12527993,-0.68698612,-4.744685652,-26.07665646,5.06000612,-11.96423214
