PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1yqj,1,272,0,11,21,10,109,122,0,1,50,0,1,0,1,5,-11.24582559
1mhw,13,337,0,8,93,21,38,190,5,2,29,0,1,0,0,21,-10.15440026
1r5y,10,230,10,13,18,49,95,55,4,0,22,0,1,0,0,2,-8.92481982
1g54,9,230,1,0,20,43,44,131,3,1,13,0,0,1,0,5,-12.18528031
1g53,8,221,0,0,19,25,46,139,3,1,17,0,0,0,0,5,-12.48922154
1g52,8,232,0,0,20,25,58,137,3,1,24,0,0,0,0,5,-13.17999707
1v48,15,331,0,32,5,0,108,201,2,7,16,0,2,0,2,7,-10.77609824
1yqy,12,256,4,19,12,80,19,134,3,3,22,1,1,0,2,6,-10.52741905
1kc7,10,158,13,9,3,44,82,17,0,8,8,0,0,0,4,3,-7.626161828
1d7i,3,63,0,0,6,13,15,32,0,1,8,0,0,0,0,2,-4.973583801
1ogg,10,279,8,0,15,10,149,107,3,4,23,0,0,0,0,16,-7.17024998
1pgp,19,265,1,2,8,139,15,119,1,12,3,0,0,0,5,11,-7.874841018
1yc1,15,291,15,11,0,163,98,19,2,2,28,0,0,0,2,6,-8.524170014
2j2u,3,195,0,37,30,0,65,66,0,1,37,0,0,0,0,5,-10.12676924
1a9m,20,440,0,27,44,0,167,222,5,4,37,0,0,0,0,20,-9.560333306
1hii,7,336,0,19,47,0,104,173,4,4,42,0,0,0,2,16,-10.05769169
1yc4,7,237,15,7,0,115,100,7,2,1,28,0,0,0,0,5,-9.049159416
1pu8,3,149,1,0,2,83,0,66,2,1,29,0,4,2,0,0,-4.282808273
1hn2,1,156,0,3,0,0,140,14,0,0,19,1,2,4,0,1,-8.289306335
2er6,25,458,0,27,69,17,150,220,9,3,42,0,0,0,3,30,-9.974798623
1ez9,12,225,0,0,3,64,24,146,6,2,37,0,0,0,0,29,-7.045910385
2aoc,23,471,0,43,51,0,162,238,8,4,35,0,0,0,2,30,-6.755784663
2hu6,3,192,3,6,43,50,23,70,1,2,31,1,1,0,0,5,-5.263709523
2aog,26,474,0,52,69,0,188,191,9,5,29,0,0,0,2,30,-8.67614063
1j14,8,167,0,9,60,0,29,77,4,0,18,0,0,0,0,2,-6.203164241
1ik4,19,235,10,10,13,98,79,44,1,10,2,0,0,0,3,4,-10.23729332
830c,9,235,11,19,26,88,40,60,2,1,30,2,0,0,1,7,-12.8207938
2ca8,17,229,7,18,7,21,40,153,3,7,14,0,0,0,4,11,-6.43802792
1mh5,8,288,0,0,11,0,225,60,1,5,60,0,1,0,2,14,-12.72408522
1str,14,356,0,10,1,0,250,109,2,7,27,0,0,1,0,22,-6.589998536
1sts,17,470,0,4,24,0,282,177,6,5,42,0,0,1,0,26,-6.907755279
1qhc,21,409,1,31,0,92,191,115,3,10,17,0,1,0,8,16,-10.45834149
1f9g,5,136,1,0,0,80,0,60,1,2,10,0,0,0,0,6,-1.768385351
1w4o,13,223,0,29,4,49,124,30,2,7,9,0,0,0,4,6,-7.211696511
1stc,4,340,0,21,22,3,197,101,2,1,45,0,0,1,1,4,-11.19056355
1v2r,11,287,0,15,95,0,29,159,5,2,24,1,0,0,0,11,-4.904506248
2evl,9,353,4,0,0,280,0,78,4,4,61,0,0,0,0,38,-9.256392074
1vyf,7,183,2,0,1,42,106,39,0,7,23,0,0,0,2,15,-11.121486
