PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg 
1gni,-7.13315,-5.29,-12.09,-139.292,-8.97564729542,-110.4349258,-9.767565964,-9.40836269,-8.468907972,-9.214945542
1ha2,-9.38686,-7.25,-7.15,-105.23,-9.97128972969,-71.17260086,-9.339285137,-9.822828007,-8.855742268,-9.339285137
1hk4,-7.87449,-8.13,-9.33,-82.346,-7.64408810232,-84.99145162,-8.386014909,-10.5964966,-9.311654116,-9.422178201
1nhu,-6.60796,-5.46,-8,-97.095,-10.1703478329,-86.36278418,-8.42746144,-10.22347781,-8.040627145,-8.897188799
2d3u,-8.67459,-8.77,-10.97,-109.121,-9.48805354823,-92.18780801,-9.380731669,-9.947167602,-8.689956141,-9.339285137
2d3z,-8.80834,-9.8,-11.29,-109.742,-9.29205069604,-95.25388661,-9.201130032,-9.726119433,-8.731402673,-9.214945542
1ai5,-7.01979,-9.83,-10.49,-65.688,-7.22653405623,-49.75134837,-7.764316934,-7.819578976,-7.239327532,-7.612346317
1ajp,-6.35536,-8.23,-4.34,-72.225,-7.5716432225,-59.60168734,-7.529453254,-7.211696511,-7.17024998,-7.308405085
1ajq,-5.06761,-8,-5.83,-57.659,-8.77664588051,-53.17460553,-6.949201811,-6.990648342,-6.755784663,-6.893939768
1e66,-12.13013,-7.57,-7.25,-116.394,-9.27974800034,-67.70744524,-10.0715072,-9.836643517,-9.919536581,-9.933352091
1gpk,-9.91459,-9.47,-8.64,-102.917,-8.91854222913,-62.06016302,-8.717587162,-8.468907972,-9.076790437,-8.759033694
1h23,-10.0317,-12.69,-14.03,-202.267,-10.1770209505,-117.3787258,-11.37016519,-11.32871866,-10.48597251,-11.06622396
1b7h,-7.9995,-10.28,-14.5,-209.712,-9.64846322209,-72.15374524,-10.16821577,-10.48597251,-10.18203128,-10.27873986
1b9j,-8.117,-10.93,-15.3,-180.199,-9.80742563786,-72.61261704,-9.767565964,-10.22347781,-9.670857391,-9.89190556
2rkm,-6.03311,-5.42,-11.43,-108.449,-10.1160645355,-53.73483852,-7.957734081,-7.626161828,-7.653792849,-7.750501423
