PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1ajp,7,84,0,16,0,4,40,31,0,4,21,0,1,0,0,2,-3.08
1ajq,6,68,0,16,0,3,33,22,0,4,16,0,0,0,0,2,-5.95
2g5u,2,37,0,10,0,0,29,0,0,1,9,0,0,0,0,3,-11.73
1ndy,7,119,0,4,10,16,16,80,2,2,30,1,0,0,0,7,-8.52
1ha2,1,67,15,0,0,53,0,0,0,0,36,0,0,0,0,5,-7.65
1ndz,9,185,11,20,9,35,22,97,3,2,59,1,3,1,3,11,-11.2
1ndw,10,111,2,4,0,39,11,65,2,2,28,1,1,2,0,7,-7.23
2f80,11,169,0,19,46,0,61,54,3,6,27,0,0,0,0,14,-11.3
1.00E+66,0,110,0,0,11,39,0,60,1,0,55,0,5,0,0,2,-13.66
1sl3,3,168,0,54,29,0,25,63,2,1,36,0,1,0,0,10,-16.37
2f01,9,129,0,0,9,0,109,20,2,6,27,0,0,0,0,5,-17.96
4tln,9,102,0,13,0,54,2,42,3,1,8,0,0,0,3,5,-5.14
1d7j,3,43,0,0,3,6,12,25,1,2,10,0,0,0,0,3,-4.56
1zoe,0,52,0,16,0,0,31,5,0,0,10,0,0,0,0,1,-10.22
1sv3,1,40,0,0,11,10,0,20,0,1,19,0,0,0,0,2,-6.55
6rnt,13,140,0,0,15,0,69,69,2,9,8,1,2,0,3,7,-3.27
2i0d,6,157,0,17,38,0,41,67,2,6,25,1,0,0,0,15,-16.72
2aov,4,117,2,0,5,63,1,50,4,0,32,0,1,2,0,3,-9.73
2aou,1,117,3,0,4,80,1,30,2,0,49,1,4,2,0,7,-10.68
1g7q,20,320,8,0,0,291,40,1,5,9,24,0,0,0,1,24,-8.37
2er9,19,249,0,16,53,0,57,142,6,4,41,0,0,0,0,34,-10.22
1u2y,8,87,0,0,20,9,30,36,3,2,4,0,0,0,0,6,-2.4
2j78,15,156,0,0,0,0,72,99,5,5,10,0,0,0,0,6,-8.87
1slg,8,160,0,7,0,0,153,8,1,5,21,1,0,1,0,26,-5.39
1ai5,5,74,0,12,0,0,31,36,0,2,22,0,1,0,0,3,-5.14
2g8r,3,75,0,16,8,3,24,27,0,2,11,0,0,0,1,6,-5.51
1b9j,21,258,2,46,23,32,124,52,7,5,31,0,0,0,1,18,-8.23
1a1b,11,165,0,20,13,52,62,29,1,11,22,2,0,0,2,19,-8.84
8cpa,13,188,0,6,0,4,29,162,1,7,27,0,1,0,9,12,-12.64
1a69,8,170,0,27,11,45,51,44,2,4,14,0,2,0,0,5,-7.32
2qwb,9,153,0,1,1,0,99,61,2,6,6,0,0,0,3,10,-3.79
2b7d,10,203,0,18,70,0,15,110,7,2,28,0,0,0,1,12,-12.02
1tmn,7,126,0,7,12,39,9,66,4,0,21,0,0,0,6,19,-10.09
2brm,4,90,0,22,7,0,56,9,1,1,27,0,0,0,0,6,-8.14
3pcj,1,64,0,3,0,0,42,20,0,3,15,0,0,0,0,2,-9.97
2qwd,8,163,0,1,7,0,93,70,2,6,6,0,0,0,5,9,-6.7
2qwe,15,203,0,23,10,0,101,84,5,4,10,0,0,0,11,13,-10.33
1ttm,3,80,0,0,8,5,37,33,1,2,10,0,0,0,0,3,-10.15
2brb,1,77,0,18,4,0,43,13,0,2,24,0,0,0,0,6,-6.71
3std,5,124,6,0,0,43,41,39,2,2,58,1,1,2,0,6,-15.35
1hfs,8,172,2,10,51,41,33,43,2,3,50,1,2,4,4,18,-12.02
2fai,4,66,10,0,0,52,0,8,2,1,21,0,0,1,0,4,-8.62
1nny,21,243,14,0,33,97,10,110,3,13,27,0,0,0,4,17,-10.58
1hi4,17,172,0,8,7,43,58,73,1,10,17,2,2,0,3,8,-6.2
1df8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.4
1s39,6,108,2,8,5,25,43,31,3,0,27,0,2,0,0,1,-10.64
1nc1,7,148,0,18,23,26,35,53,3,3,34,1,2,0,1,6,-8.46
1loq,15,155,0,11,10,0,48,101,2,8,10,0,0,0,1,6,-5.11
2d3z,5,81,4,0,14,41,0,27,0,3,29,0,0,0,0,5,-9.17
1tyr,1,30,0,8,0,0,23,0,0,0,14,0,0,0,1,5,-9.67
1mq6,2,146,0,8,62,0,19,59,1,0,37,0,1,2,0,8,-15.4
1u1b,10,209,1,23,5,38,74,78,3,5,18,0,1,0,8,16,-10.78
2d3u,4,76,3,0,15,39,0,23,0,2,31,0,2,0,0,5,-9.56
1g7f,19,174,10,3,22,42,15,101,3,11,25,0,0,1,2,16,-7.56
1fki,2,99,0,0,6,14,40,41,0,2,34,0,0,0,0,0,-9.67
1ftm,13,184,6,25,2,54,87,23,4,8,18,1,0,0,2,5,-10.51
1flr,5,157,0,7,15,0,87,53,1,3,41,0,6,0,0,3,-13.82
1u33,11,179,0,0,20,27,53,90,5,3,14,0,0,0,0,18,-6.36
2d1o,12,170,5,24,67,33,19,34,5,2,27,0,0,0,1,20,-10.64
1uwt,12,157,0,0,0,0,65,104,4,5,11,0,0,0,0,6,-8.25
1b7h,23,285,3,47,33,47,109,69,9,6,21,2,0,0,3,19,-11.08
1apw,13,161,0,3,38,0,53,80,5,4,17,0,0,0,0,15,-11.05
1fd0,7,143,27,6,5,84,10,18,0,3,59,0,0,1,1,4,-11.61
1o3p,9,163,0,53,26,10,59,24,3,0,25,0,0,0,0,6,-9.2
1gpk,4,84,2,0,28,12,2,44,0,3,22,0,0,0,0,1,-7.42
1dhi,11,168,9,39,0,56,44,31,2,4,21,0,0,0,4,11,-10.03
4tmn,10,186,0,16,0,81,46,53,3,5,29,0,2,0,5,14,-14.05
1rnt,14,189,0,5,29,0,91,78,3,8,15,0,2,1,2,7,-7.17
1zvx,9,126,3,13,27,55,11,26,1,3,29,1,2,0,5,7,-12.74
1bma,3,76,0,30,9,0,11,29,1,2,8,0,0,0,0,11,-6.34
1o0h,12,191,0,8,6,61,58,70,1,8,17,1,1,0,5,9,-8.18
2fdp,13,227,0,7,65,0,64,104,5,4,45,0,0,1,2,15,-10.49
1b8o,16,199,1,33,7,15,43,116,6,3,20,0,0,1,1,5,-14.7
1if7,8,113,2,0,15,5,38,61,1,2,16,1,0,1,0,7,-14.53
2flb,7,157,0,11,60,0,8,85,4,1,24,1,0,1,0,5,-7.93
1re8,12,197,0,31,24,6,71,77,3,3,54,1,1,1,2,9,-13.15
1vfn,4,94,0,37,0,0,22,39,3,1,12,0,0,0,0,0,-7.74
2b1v,4,69,11,0,0,57,0,5,2,1,21,0,0,1,0,4,-7.93
1olu,8,142,0,4,46,1,34,65,1,4,16,0,0,0,3,12,-6.09
2h3e,22,197,19,0,14,71,42,73,2,15,6,0,0,0,3,7,-7.87
2rkm,13,197,2,21,30,40,58,59,4,2,19,0,0,0,3,14,-5.39
1om1,3,83,0,11,7,0,59,9,0,3,35,0,0,0,1,2,-9.35
1ols,11,174,0,4,49,0,33,99,2,7,22,0,0,0,5,12,-8.04
1d09,14,169,19,0,10,63,38,53,0,14,6,0,0,0,6,7,-10.46
1q7a,2,86,0,0,23,17,0,48,0,1,30,1,2,1,0,6,-9.93
1elb,3,92,0,6,16,0,13,60,1,0,15,0,0,0,0,14,-9.88
1ela,6,146,0,0,70,0,3,79,4,1,13,0,0,0,1,11,-8.79
1x1z,16,170,0,11,10,0,54,111,3,8,12,0,0,0,1,7,-15.28
1sqa,13,180,0,14,66,0,5,108,6,0,15,1,0,1,1,8,-12.72
2cer,15,156,0,2,0,1,55,113,5,4,19,0,1,0,0,8,-12.74
1k9s,11,183,0,45,6,22,28,93,3,0,20,0,1,0,0,6,-9.01
2ceq,14,155,0,0,0,0,81,88,4,5,20,0,1,1,0,5,-10.06
4tim,8,119,0,18,23,12,18,56,0,7,5,0,0,0,3,5,-2.98
2cet,13,152,0,0,0,1,62,102,5,3,28,0,1,1,0,8,-11.08
5er1,11,156,0,15,32,0,61,59,4,2,37,0,0,0,5,19,-8.32
1ppm,12,186,0,4,42,0,46,106,2,6,26,0,0,0,0,17,-8.01
2usn,3,95,0,25,5,17,33,18,2,3,24,0,2,0,0,8,-8.99
1kv5,10,108,0,14,22,1,31,50,0,9,5,0,0,0,3,3,-5.83
1y6q,7,150,0,23,20,21,37,56,5,1,26,0,2,0,2,6,-16.16
1jqd,11,153,7,7,40,47,26,37,3,3,17,0,0,0,1,11,-7.13
1kv1,4,92,0,3,16,26,36,15,3,1,23,0,0,0,0,3,-8.21
1hk4,9,131,35,0,0,101,0,4,2,2,16,0,1,0,4,7,-7.34
1pr5,6,154,0,33,5,10,36,76,3,1,23,0,0,0,0,6,-5.42
2bok,4,138,0,31,34,0,19,58,3,1,35,4,0,0,0,7,-9.05
1o3f,8,171,0,13,69,0,11,86,4,0,30,1,0,1,0,5,-11
1gni,3,68,6,0,0,48,0,17,0,3,39,0,0,0,2,15,-11.15
1ydt,3,126,0,9,39,0,32,49,1,1,34,1,0,0,2,8,-10.11
1fzk,24,337,1,1,0,281,75,3,6,9,59,1,1,0,0,25,-11.61
1jys,2,64,0,16,18,1,12,19,1,1,10,0,0,0,0,1,-4.86
2drc,11,183,3,41,0,73,46,31,2,5,26,0,0,0,3,11,-13.66
1y1m,9,110,0,19,0,30,57,13,3,4,17,1,0,0,2,2,-2.51
1bra,4,91,0,7,45,0,10,33,4,0,8,0,0,0,0,2,-2.51
1fcx,6,118,24,6,5,62,10,17,0,3,47,0,0,1,1,4,-9.93
1fcz,7,108,19,6,5,61,9,15,0,3,52,0,0,1,1,4,-12.74
2g94,13,211,0,23,66,0,44,91,4,9,37,0,0,0,0,20,-13.15
1f5k,6,97,0,24,36,0,2,41,4,0,13,0,0,0,0,2,-5.17
2hdq,4,62,0,3,6,0,24,33,0,5,18,0,1,0,2,1,-1.93
1pxo,4,82,0,6,18,0,42,20,3,2,18,0,0,0,0,3,-12.02
10gs,18,188,5,19,6,70,39,67,3,7,28,0,1,0,3,14,-8.84
1e5a,0,14,0,0,0,0,14,0,0,1,2,0,0,0,0,1,-10.56
1bcu,0,110,0,25,26,0,21,38,1,0,24,0,0,0,0,2,-4.53
2ayr,3,119,16,0,3,81,0,22,1,0,47,0,0,2,1,9,-12.83
3pch,5,68,0,0,1,0,42,30,1,3,13,0,0,0,1,2,-7.46
1utp,5,84,0,6,32,0,2,49,3,0,12,0,0,0,1,5,-1.99
1v16,10,146,0,5,38,0,28,85,1,8,20,0,0,0,4,9,-5.35
3pce,2,66,0,3,0,0,48,17,0,0,13,0,0,0,0,3,-2.76
1q8t,2,65,0,19,3,0,36,9,0,2,23,0,0,0,1,4,-6.58
1jaq,9,157,7,18,51,57,12,21,3,2,12,0,0,0,1,9,-6.19
1zs0,8,110,4,7,25,47,15,20,0,3,31,1,2,0,4,7,-8.5
1m2q,4,99,0,7,6,0,58,32,1,2,28,0,0,0,0,3,-8.43
1p1q,15,176,5,25,2,50,76,33,4,9,15,0,0,0,2,5,-6.76
1det,10,128,0,5,26,0,40,67,3,4,11,0,0,0,0,7,-5.94
2std,0,62,3,0,0,16,22,21,0,0,35,0,0,1,0,4,-13.61
1nja,11,134,11,14,3,3,71,43,2,7,5,0,0,0,1,7,-8.72
1jq9,8,157,43,0,33,54,0,35,3,0,23,0,0,0,1,24,-11.67
1nje,12,132,3,6,0,24,53,58,2,8,4,0,0,0,3,7,-5.25
1tsy,14,145,3,9,0,20,80,47,2,6,4,0,0,0,2,6,-6.85
1fkb,6,128,0,0,33,15,39,47,3,2,32,0,0,0,0,9,-13.4
1v2o,12,176,0,17,80,0,10,81,5,2,19,0,0,0,0,11,-6.53
4er2,18,220,0,23,53,2,70,90,5,4,26,0,0,0,2,30,-12.85
1fzj,18,344,18,0,0,256,87,1,10,8,57,0,0,1,1,32,-11.19
1pz5,9,213,0,6,43,0,103,70,2,4,37,1,0,0,2,30,-7.46
3gss,14,214,6,19,3,86,42,72,2,7,41,0,1,0,3,19,-8.04
1e1v,2,109,0,22,22,7,48,12,1,1,16,0,1,0,0,4,-6.8
2bzz,18,281,0,20,0,57,112,110,1,14,27,2,2,0,5,22,-8.88
1nfy,6,194,0,37,49,0,50,64,2,0,38,0,1,0,0,6,-12.28
1j16,3,114,0,10,50,0,14,43,3,0,14,0,0,0,0,2,-5.31
2cgr,9,183,0,0,35,0,136,21,1,3,39,0,1,2,1,6,-10.06
1is0,13,203,0,12,15,46,84,59,1,10,29,1,0,0,5,19,-9.67
2fzc,12,142,1,0,8,93,25,27,1,8,5,0,0,0,4,9,-3.73
2bak,3,146,0,12,15,19,60,43,0,2,51,1,0,0,2,10,-10.26
2baj,3,101,4,9,17,28,30,16,2,1,30,0,0,0,0,4,-11.61
1xd1,21,249,0,3,44,32,57,134,6,5,19,0,0,0,2,34,-10.94
1a30,9,150,0,10,34,0,50,65,4,4,14,0,0,0,1,14,-5.94
1xgj,8,134,6,33,12,45,7,39,0,4,15,0,0,2,1,6,-8.29
1b39,15,191,0,15,34,10,66,81,3,6,10,0,0,0,7,11,-9.56
1pb9,12,123,0,21,6,0,55,53,4,4,13,0,0,0,1,1,-5
1bxo,13,199,0,4,44,7,56,101,4,6,26,0,0,0,0,10,-13.82
2azr,11,121,12,1,14,43,10,52,0,8,17,0,0,0,3,4,-5.03
1j17,0,140,0,41,26,0,32,41,0,0,44,0,1,1,0,4,-7.21
1zc9,9,114,6,0,11,12,5,89,4,4,11,0,0,0,1,7,-4.45
1nvq,6,131,0,17,20,0,68,32,4,1,28,0,0,0,1,5,-11.4
1k4g,8,132,5,11,18,28,42,36,5,3,21,0,0,0,0,5,-8.08
2j77,10,140,0,0,0,0,75,75,3,3,11,1,0,0,3,5,-6.76
1avn,3,67,0,0,9,0,32,29,2,1,1,0,0,1,0,3,-5.39
1h23,7,136,4,10,35,34,2,58,2,4,42,3,2,0,0,15,-11.54
6std,3,106,4,0,0,25,27,53,0,1,43,0,0,1,0,4,-11.94
2bz6,12,184,0,15,67,0,9,105,5,2,34,0,0,0,1,10,-9.8
7cpa,14,218,0,12,0,3,39,178,0,7,34,0,0,0,9,15,-19.29
1vzq,9,158,0,11,69,0,3,84,6,1,30,0,0,0,1,7,-10.28
2d0k,11,161,4,25,1,74,38,30,2,4,25,0,0,0,3,10,-6.94
1a08,13,169,0,15,15,51,66,35,1,10,23,1,0,0,3,19,-7.76
1fkn,14,248,0,17,64,0,93,88,5,7,24,0,0,0,2,30,-12.16
1pbq,6,84,1,8,0,8,41,32,0,5,20,0,2,0,1,2,-8.66
1fh7,12,194,0,0,0,0,48,158,3,4,14,2,0,0,2,7,-7.24
2gss,2,74,0,0,1,28,23,24,0,2,18,0,1,0,1,6,-6.82
1fh9,15,218,0,0,1,0,65,167,6,4,14,0,0,0,2,8,-8.88
1fh8,13,152,0,0,0,0,30,135,4,3,10,2,0,0,2,6,-9.52
1l2s,7,104,6,31,9,42,10,13,0,4,14,0,0,1,0,4,-6.34
1lol,12,147,0,18,29,0,27,85,1,7,8,0,0,0,1,6,-8.83
1f4e,7,71,3,0,8,14,2,51,0,3,16,0,0,0,1,3,-4.09
1f4g,8,158,5,10,20,31,34,66,0,7,38,0,0,1,3,12,-8.95
1f4f,6,132,5,0,9,49,0,75,0,5,32,0,0,1,4,9,-6.38
2ctc,9,99,0,0,0,5,32,71,1,2,18,0,0,0,5,4,-5.37
1syh,13,182,9,26,4,54,76,26,3,7,25,1,0,0,2,4,-8.72
1m0q,9,134,6,0,8,12,23,94,0,8,16,0,1,0,2,7,-5.37
1nhu,4,65,2,0,15,30,0,22,0,2,20,0,0,0,0,8,-7.82
1m0n,12,170,15,0,13,18,22,114,0,9,16,1,0,1,2,7,-3.07
1trd,11,136,0,24,25,0,41,57,1,10,2,0,0,0,2,4,-7.46
2c02,7,154,0,8,0,37,54,62,1,7,17,0,1,0,5,9,-5.58
1n2v,7,73,0,8,6,11,29,26,2,0,17,0,0,0,0,3,-5.64
