PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg ,Experimental
3D4Z,-7.1883,-7.64,-7.94,-70.801,-6.693035,-68.4101,-7.211,-7.639,-7.142,-7.336,-6.755784663
2QMJ,-7.6703,-6.38,-11.27,-121.042,-9.481519,-101.559,-8.482,-8.717,-7.93,-8.372,-5.816329945
3EBP,-10.224,-7.88,-6.4,-115.039,-10.0762,-85.9854,-9.684,-10.41,-8.938,-9.684,-8.16496674
2W66,-7.8083,-9,-10.03,-91.465,-7.509319,-62.4546,-7.888,-8.316,-8.095,-8.109,-5.595281776
2X8Z,-3.7732,-7.22,-8.52,-62.682,-7.41078,9.654022,-6.534,-7.004,-6.672,-6.741,-10.9971464
2CBJ,-9.9269,-10,-10.99,-135.648,-8.544453,-70.1886,-9.242,-9.615,-9.629,-9.491,-11.42542723
2XY9,-7.4816,-7.94,-10.85,-173.282,-10.82108,-7.04531,-9.864,-10.27,-9.809,-9.988,-12.6964542
2D3U,-8.9462,-9.24,-11.18,-110.275,-9.645967,-95.6064,-9.463,-10.03,-8.745,-9.408,-9.560333306
3F3E,-6.2264,-5.52,-4.41,-81.063,-6.909939,-25.3942,-7.612,-8.109,-7.57,-7.764,-10.63794313
1XD0,-8.9303,-9.12,-16.49,-186.348,-8.240091,-80.8073,-9.988,-10.29,-9.587,-9.96,-9.836643517
2WBG,-7.5375,-7.71,-11.01,-120.715,-8.651695,-82.569,-8.247,-9.173,-8.303,-8.579,-6.147902198
2ZX6,-8.8403,-8.89,-12.5,-120.584,-9.432421,-97.3874,-8.731,-8.662,-8.828,-8.745,-14.64444119
3UDH,-7.3488,-8.3,-8.37,-81.544,-8.493095,-58.9508,-7.736,-8.054,-7.488,-7.764,-3.937420509
2PQ9,-9.1992,-10.17,-12.55,-148.844,-9.057404,-68.5791,-9.864,-10.95,-9.864,-10.22,-11.20437906
1F8D,-6.459,-7.99,-9.21,-72.94,-7.875279,-49.2199,-7.363,-7.529,-7.543,-7.474,-4.69727359
3GE7,-10.17,-11.9,-14.33,-132.95,-9.068359,-111.761,-9.477,-9.643,-9.118,-9.408,-12.01949419
3GCS,-12.683,-11.44,-10.75,-166.241,-11.33794,-112.784,-10.72,-11.41,-10.49,-10.87,-10.01624515
1Q8U,-8.9661,-10.59,-11.91,-112.436,-8.737779,-82.1286,-8.828,-8.98,-9.104,-8.966,-6.576183026
2ZJW,-8.7243,-8.06,-10.63,-84.141,-7.718976,-75.8469,-8.8,-9.104,-7.971,-8.62,-10.63794313
2PWW,-11.579,-11.6,-9.55,-203.233,-11.38819,-136.736,-11.97,-13.17,-11.95,-12.36,-10.11295373
3F80,-5.6691,-3.91,-4.45,-57.075,-7.234567,-1.77558,-6.493,-6.424,-6.382,-6.438,-5.830145455
2HB1,-5.6006,-8.34,-10.18,-86.689,-6.25044,-70.5347,-7.211,-7.916,-7.253,-7.46,-5.249894012
1OS0,-8.0265,-7.55,-10.57,-135.225,-10.31128,-65.4188,-9.587,-10.32,-9.187,-9.698,-8.330752866
2FVD,-8.7156,-9.37,-9.99,-130.354,-11.04911,-86.2823,-9.049,-9.159,-8.772,-8.993,-11.770815
1W3L,-7.2836,-6.2,-12.92,-118.514,-8.186749,-72.6786,-8.026,-8.33,-7.791,-8.054,-8.67614063
3IMC,-5.8341,-7.34,-5.89,-76.857,-5.882541,-51.8139,-7.253,-7.266,-7.294,-7.266,-4.089391125
3B3S,-2.9299,-4.47,-5.43,-41.505,-5.369653,-6.72308,-6.907,-7.197,-6.88,-6.99,-3.522955192
2V7A,-10.384,-11.9,-12.97,-160,-10.20222,-109.129,-9.809,-10.49,-9.643,-9.988,-11.46687376
3JVS,-7.6118,-4.59,-4.22,-121.704,-8.388308,-78.2634,-9.035,-10.27,-9.118,-9.477,-9.035343905
2ZCR,-8.9284,-8.6,-12.53,-101.403,-10.70026,-49.0875,-10.43,-10.92,-9.739,-10.37,-9.491255753
1OYT,-11.241,-12.11,-14.21,-166.288,-10.93098,-78.3748,-9.974,-10.15,-9.988,-10.03,-10.00242964
3U9Q,-5.2767,-5.12,-9.18,-87.993,-6.808853,-76.6613,-7.791,-7.778,-7.308,-7.626,-6.051193624
3MYG,-7.8277,-9.02,-9.22,-139.238,-9.31359,-95.0402,-8.593,-9.712,-8.938,-9.076,-14.7825963
1O5B,-5.6611,-7.37,-6.66,-77.086,-8.818869,-58.0455,-7.405,-8.095,-7.805,-7.778,-7.971549592
2WEG,-5.5609,-6.53,-4.27,-53.09,-9.372984,-38.4542,-6.811,-7.501,-6.852,-7.059,-8.980081863
2YKI,-15.597,-17.16,-18.62,-185.4,-10.3731,-142.784,-12.61,-13.35,-11.3,-12.42,-13.06947299
3BFU,-7.3083,-7.83,-9.47,-86.924,-8.833585,-80.1801,-7.418,-7.819,-7.336,-7.529,-8.66232512
3G2Z,-5.8906,-6.59,-3.97,-42.72,-7.091673,-41.5452,-6.672,-6.7,-6.949,-6.769,-3.260460492
3FV1,-9.5412,-9.67,-10.09,-142.038,-9.117611,-109.551,-8.841,-9.477,-8.814,-9.049,-12.84842482
2Y5H,-9.199,-10.96,-15.05,-163.357,-11.16321,-87.0251,-9.159,-9.201,-9.422,-9.27,-7.999180613
1LOR,-7.632,-10.4,-12.45,-90.977,-7.721685,-50.8002,-8.192,-8.869,-8.178,-8.413,-15.27995468
3GY4,-5.0869,-9.15,-8.14,-67.768,-6.244791,-48.4578,-7.101,-7.225,-7.28,-7.197,-7.045910385
2IWX,-10.702,-9.16,-8.09,-96.653,-10.88602,-93.8469,-8.855,-9.214,-9.062,-9.049,-9.228761053
2YMD,-6.7027,-11.24,-12.62,-88.328,-8.236245,-43.7199,-8.399,-8.634,-7.916,-8.316,-4.365701336
3BPC,-5.1078,-6.02,-8.81,-90.402,-6.560829,-52.4693,-6.935,-7.059,-7.059,-7.018,-6.631445068
3NW9,-12.839,-9.66,-12.5,-211.519,-9.94843,-112.992,-11.34,-12.04,-11.1,-11.49,-12.4339595
1IGJ,-9.3017,-7.69,-8.96,-134.523,-11.11076,-107.673,-9.878,-11.05,-9.242,-10.05,-13.81551056
