PDB,VINA,GlideSP,HMS,DSX,RFScore
1e66,-12.13013,-7.57,-9.836643517,-116.394,-9.27974800034
10gs,-7.37179,-8.88,-10.54123456,-135.583,-9.93182191872
1a08,-4.22348,-8.27,-8.620878588,-126.178,-8.96487437617
1a1b,-4.66979,-7.96,-8.814295736,-123.594,-8.75164565464
1a30,-6.57445,-9.53,-8.344568377,-116.025,-8.28574786495
1a69,-8.67085,-7.83,-8.303121845,-103.264,-7.45984963736
1ai5,-7.01979,-9.83,-7.819578976,-65.688,-7.22653405623
1ajp,-6.35536,-8.23,-7.211696511,-72.225,-7.5716432225
1ajq,-5.06761,-8,-6.990648342,-57.659,-8.77664588051
1apw,-8.46231,-11.12,-10.87280681,-177.353,-10.426799049
1avn,-2.68785,-5.86,-5.913038519,-17.975,-7.89161944575
1b39,-6.5096,-7.32,-9.062974926,-126.367,-7.48444389708
1b7h,-7.9995,-10.28,-10.48597251,-209.712,-9.64846322209
1b8o,-8.38505,-10.43,-9.090605947,-108.13,-10.8568096248
1b9j,-8.117,-10.93,-10.22347781,-180.199,-9.80742563786
1bcu,-7.34364,-6.47,-7.639977339,-80.094,-8.5764363275
1bma,-5.62703,-7.8,-10.26492434,-146.197,-10.6440165597
1bra,-4.06883,-7.78,-6.852493237,-60.794,-6.28788847305
1bxo,-11.87348,-14.52,-12.59974563,-183.232,-9.29839427887
1d09,-7.09793,-8.01,-7.791947955,-81.064,-7.44027072414
1d7j,-3.16168,-5.01,-5.982116072,-36.014,-5.94303648576
1det,-5.94258,-9.33,-7.584715296,-85.945,-7.84942861905
1df8,-6.6856,-9.93,-8.054442655,-103.045,-8.80042215841
1dhi,-8.24977,-10.64,-9.394547179,-120.035,-9.66251654861
1e1v,-6.48856,-6.99,-7.308405085,-93.781,-6.83798254286
1e5a,-2.25156,-2.19,-7.225512022,-16.733,-4.9220797442
1ela,-7.97656,-9.19,-10.27873986,-155.059,-9.32900423644
1elb,-5.41564,-4.23,-9.214945542,-101.676,-9.37414687771
1f4e,-6.5472,-6.64,-8.220228782,-73.11,-8.65375893812
1f4f,-8.32736,-9.02,-9.228761053,-110.396,-8.39737079785
1f4g,-9.07296,-9.51,-9.753750454,-153.448,-8.34201637867
1f5k,-5.20772,-8.99,-6.880124258,-66.442,-6.45252677204
1fcx,-15.57873,-16.26,-13.98129668,-184.697,-11.9265988021
1fcz,-14.60515,-15.73,-13.44249177,-170.433,-11.3651407512
1fd0,-16.03525,-16.39,-14.36813098,-184.189,-11.2672284296
1fh7,-7.13129,-8.25,-8.137335719,-101.078,-7.49768350434
1fh8,-7.0902,-7.85,-8.151151229,-108.16,-7.51974055553
1fh9,-8.11814,-6.76,-8.316937356,-104.385,-6.89849196343
1fkb,-10.60521,-9.2,-13.05565748,-170.998,-8.17680347547
1fki,-11.45228,-7.61,-10.66557415,-114.271,-8.91854027036
1fkn,-8.47772,-14.73,-12.2958044,-234.36,-10.7589420171
1flr,-11.33178,-10.94,-11.13530151,-118.613,-9.48693747255
