PDB,VINA,GlideSP,HMS,DSX,RFScore,Experimental
1f8d,-6.459,-7.99,-7.529,-72.94,-7.875279,-4.69727359
1igj,-9.3017,-7.69,-11.05,-134.523,-11.11076,-13.81551056
1jyq,-7.7716,-10.92,-11.3,-210.372,-11.14013,-12.01949419
1lbk,-5.4891,-7.96,-7.515,-101.323,-7.23359,-4.393332357
1lor,-7.632,-10.4,-8.869,-90.977,-7.721685,-15.27995468
1o5b,-5.6611,-7.37,-8.095,-77.086,-8.818869,-7.971549592
1os0,-8.0265,-7.55,-10.32,-135.225,-10.31128,-8.330752866
1oyt,-11.241,-12.11,-10.15,-166.288,-10.93098,-10.00242964
1q8u,-8.9661,-10.59,-8.98,-112.436,-8.737779,-6.576183026
1sln,-6.9592,-8.73,-10.11,-185.774,-9.343927,-9.17349901
1w3l,-7.2836,-6.2,-8.33,-118.514,-8.186749,-8.67614063
1w4o,-6.6107,-10.51,-8.095,-108.142,-7.026993,-7.211696511
1xd0,-8.9303,-9.12,-10.29,-186.348,-8.240091,-9.836643517
2cbj,-9.9269,-10,-9.615,-135.648,-8.544453,-11.42542723
2d3u,-8.9462,-9.24,-10.03,-110.275,-9.645967,-9.560333306
2fvd,-8.7156,-9.37,-9.159,-130.354,-11.04911,-11.770815
2hb1,-5.6006,-8.34,-7.916,-86.689,-6.25044,-5.249894012
2iwx,-10.702,-9.16,-9.214,-96.653,-10.88602,-9.228761053
2jdu,-5.9931,-4.97,-7.446,-57.684,-5.431174,-9.284023095
2obf,-11.113,-12.81,-10.49,-124.288,-10.77349,-12.22672684
2pq9,-9.1992,-10.17,-10.95,-148.844,-9.057404,-11.20437906
2pww,-11.579,-11.6,-13.17,-203.233,-11.38819,-10.11295373
2qmj,-7.6703,-6.38,-8.717,-121.042,-9.481519,-5.816329945
2v7a,-10.384,-11.9,-10.49,-160,-10.20222,-11.46687376
2vl4,-7.6241,-8.92,-7.805,-85.034,-7.587252,-8.303121845
2w66,-7.8083,-9,-8.316,-91.465,-7.509319,-5.595281776
2wbg,-7.5375,-7.71,-9.173,-120.715,-8.651695,-6.147902198
2weg,-5.5609,-6.53,-7.501,-53.09,-9.372984,-8.980081863
2x8z,-3.7732,-7.22,-7.004,-62.682,-7.41078,-10.9971464
2xb8,-10.502,-10.93,-9.739,-131.49,-7.988457,-10.48597251
2xy9,-7.4816,-7.94,-10.27,-173.282,-10.82108,-12.6964542
2y5h,-9.199,-10.96,-9.201,-163.357,-11.16321,-7.999180613
2yki,-15.597,-17.16,-13.35,-185.4,-10.3731,-13.06947299
2ymd,-6.7027,-11.24,-8.634,-88.328,-8.236245,-4.365701336
2zcr,-8.9284,-8.6,-10.92,-101.403,-10.70026,-9.491255753
2zjw,-8.7243,-8.06,-9.104,-84.141,-7.718976,-10.63794313
2zx6,-8.8403,-8.89,-8.662,-120.584,-9.432421,-14.64444119
3b3s,-2.9299,-4.47,-7.197,-41.505,-5.369653,-3.522955192
3bfu,-7.3083,-7.83,-7.819,-86.924,-8.833585,-8.66232512
3bpc,-5.1078,-6.02,-7.059,-90.402,-6.560829,-6.631445068
3cft,-4.0445,-4.63,-7.28,-38.442,-5.566555,-5.788698924
3cyx,-11.685,-13.45,-13.29,-230.703,-11.17114,-11.05240845
3d4z,-7.1883,-7.64,-7.639,-70.801,-6.693035,-6.755784663
3ebp,-10.224,-7.88,-10.41,-115.039,-10.0762,-8.16496674
3ehy,-4.5502,-4.16,-7.336,-101.741,-5.662661,-8.082073676
3f3e,-6.2264,-5.52,-8.109,-81.063,-6.909939,-10.63794313
3f80,-5.6691,-3.91,-6.424,-57.075,-7.234567,-5.830145455
3fv1,-9.5412,-9.67,-9.477,-142.038,-9.117611,-12.84842482
3g0w,-11.633,-11.84,-10.32,-130.888,-11.1627,-13.15236605
3g2z,-5.8906,-6.59,-6.7,-42.72,-7.091673,-3.260460492
3gcs,-12.683,-11.44,-11.41,-166.241,-11.33794,-10.01624515
3ge7,-10.17,-11.9,-9.643,-132.95,-9.068359,-12.01949419
3gy4,-5.0869,-9.15,-7.225,-67.768,-6.244791,-7.045910385
3i3b,-6.4966,-5.58,-7.363,-53.448,-7.308921,-3.080858854
3imc,-5.8341,-7.34,-7.266,-76.857,-5.882541,-4.089391125
3jvs,-7.6118,-4.59,-10.27,-121.704,-8.388308,-9.035343905
3myg,-7.8277,-9.02,-9.712,-139.238,-9.31359,-14.7825963
3nox,-7.5016,-6.13,-9.38,-89.113,-10.39001,-11.96423214
3nw9,-12.839,-9.66,-12.04,-211.519,-9.94843,-12.4339595
3su3,-11.449,-9.8,-11.53,-197.858,-11.4068,-12.61356114
3u9q,-5.2767,-5.12,-7.778,-87.993,-6.808853,-6.051193624
3udh,-7.3488,-8.3,-8.054,-81.544,-8.493095,-3.937420509
3uex,-6.0777,-2.67,-8.648,-94.944,-8.694221,-9.560333306
3zsx,-7.7413,-8.84,-9.864,-138.61,-8.98015,-4.531487463
