PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1f8d,22,331,0,1.98,1.7,0,54.96,41.36,1,5,14,0,0,0,4,9,-10.83967637,-2.730765703,-15.42374469,-19.05566119,0,30.38312461,-31.55318309,9.006913798,-4.7
1igj,15,458,0,0,5.92,0,58.56,35.52,1,0,26,0,0,0,0,7,-17.22444622,3.91271523,-0.46724499,-68.87849973,0,24.9055912,-49.92149695,4.698064111,-13.82
1jyq,35,639,0,8.01,6.53,17.66,41.1,26.71,3,17,33,2,1,0,4,20,-275.0567737,5.86327423,-26.00855279,-25.9214911,-3.796596949,243.19628,-42.16067232,15.26117034,-12.02
1lbk,17,349,0.82,2.19,6.83,14.75,19.67,55.74,3,8,10,0,0,0,4,11,5.273823763,2.081697754,-4.973701992,-14.89413825,0,-15.52616676,-36.16051908,5.380256452,-4.39
1lor,23,354,0,2.92,2.65,0,44.83,49.6,3,8,10,0,0,0,1,7,-10.39252871,5.306641328,-10.96070732,-13.46899708,-1.00E-11,12.75611601,-34.04075492,6.975032647,-15.28
1o5b,8,212,0,8.64,25.91,0,13.64,51.82,3,0,9,0,0,0,0,2,-190.7560573,2.029661226,-2.174108032,-26.72972921,-0.14821676,192.5667814,-32.83391884,2.957883147,-7.97
1os0,15,430,1.12,4.72,2.25,24.49,30.34,37.08,2,3,20,1,0,2,6,13,50.13889546,1.794034452,-2.86105909,-35.54531218,-3.518921406,-25.25181326,-50.17469544,7.786409524,-8.33
1oyt,18,433,0,5.1,18.4,0,9.53,66.96,3,0,33,0,0,0,0,5,-215.577344,2.355447792,-6.898073554,-41.59013192,-0.438617935,239.4985451,-55.72465633,6.579352625,-10
1q8u,18,424,0,6.11,4.3,0,56.11,33.48,1,1,28,0,0,0,1,2,19.28882572,0.544291798,-1.054824552,-42.29048218,-0.001093371,-8.343155095,-48.71407302,2.179227019,-8.28
1sln,21,465,2.67,4.32,18.52,22.84,18.72,32.92,3,3,28,0,1,1,5,14,-99.43805821,4.526535956,-2.21517094,-38.88666973,-1.4545117,116.2012936,-56.99116133,12.7737734,-9.17
1w3l,31,471,0,0,5.98,0,42.43,51.59,5,5,23,2,0,0,2,20,-46.92632958,1.661819739,-6.739499682,-29.0309988,0,47.68758614,-39.33123498,11.30142378,-8.68
1w4o,15,278,0,13.31,2.39,19.11,48.46,16.72,2,7,9,0,0,0,4,6,-118.4699101,1.467370965,-14.47145823,-8.035823882,-2.77E-05,98.49488399,-33.18872919,5.535982078,-7.21
1xd0,42,641,0,0.15,6.15,0,18.3,75.4,6,4,14,0,0,0,0,28,-36.36926921,3.867978931,-5.937640682,-52.35576535,0,83.10654829,-73.11918635,26.86536119,-9.84
2cbj,20,465,2.68,0,3.71,6.39,26.8,60.41,5,3,23,0,0,0,0,8,-26.48052479,1.874046029,-4.172766689,-27.60729297,-1.559776196,42.19853968,-54.44082647,9.038610584,-11.43
2d3u,15,366,3.41,0,5.77,61.68,0,29.13,0,2,33,0,2,0,0,5,-66.93561893,-0.603984798,-2.128614325,-42.30646025,-3.295957643,65.84016588,-46.17601635,2.941080542,-9.56
2fvd,15,462,0,2.73,12.16,6.92,56.39,21.8,2,1,24,0,0,0,0,7,4.26068023,0.403737652,-1.849337973,-31.40879579,-0.312320453,-3.183574528,-54.19272394,3.128222354,-9.44
2hb1,15,233,4.84,0.4,8.06,24.6,5.24,56.85,0,8,13,0,0,0,2,4,-117.7768403,1.75752352,-10.89054458,-22.58398338,-0.393864056,110.533363,-31.18038962,3.063129636,-5.25
2iwx,16,356,9.14,0,0,54.03,28.76,8.06,1,2,20,0,0,0,0,2,-28.2386234,1.032542626,-2.038649345,-38.87715312,-0.049517136,21.92272206,-47.59826121,2.984822303,-9.23
2jdu,9,186,0,2.56,18.46,0,0.51,78.46,1,2,6,0,0,0,0,4,-22.20036295,0.490889142,-2.294142562,-7.405817774,0,42.93450207,-18.54892737,2.73436507,-9.28
2obf,13,474,3.08,0,3.49,32.65,20.94,39.84,2,0,45,1,1,0,2,5,-68.82963406,-2.163235008,-2.37678541,-46.28236247,-2.055397435,69.69022129,-56.76365503,10.30148097,-12.23
2pq9,40,537,3.47,0,1.04,62.22,0,33.28,0,24,16,0,0,0,11,10,-189.300931,3.83404366,-41.42194523,-16.92282886,0,203.5909251,-28.35841629,9.868342867,-11.2
2pww,32,709,0,1.48,10.66,0,45.21,42.65,6,1,43,0,0,1,2,14,-145.2422611,2.71061193,-3.756932093,-66.51975629,-0.107016601,154.259278,-78.08023646,16.54137506,-10.11
2qmj,36,472,0,0,0.79,0,32.09,67.13,8,3,17,0,0,0,3,22,-176.3026254,6.5615982,-7.401022931,-45.04052961,0,168.2257933,-47.60281596,15.46878107,-5.82
2v7a,22,522,0,6.8,13.79,0.74,60.85,17.83,1,3,34,0,0,0,1,6,-31.26581048,0.203829097,-1.278145971,-43.65628528,-0.0001432,26.67830166,-59.81117185,2.678826931,-11.47
2vl4,17,289,0,0,0,6.86,42.48,50.65,6,2,18,2,0,0,2,5,-70.14104719,2.629688749,-6.120933576,-17.36476722,0,28.06335716,-22.0926992,4.929768714,-8.3
2w66,16,414,0,0,3.95,0,33.26,62.79,5,2,25,0,0,0,2,6,-78.72282247,4.476431476,-4.568585771,-23.39333917,0,72.41232271,-32.65868859,13.79876325,-5.6
2wbg,21,419,0,1.82,0,0.45,61.82,35.91,2,4,27,0,0,0,0,11,-57.06427936,5.746768136,-2.943823283,-35.89396578,0,46.78363536,-39.19734547,8.62273056,-6.15
2weg,12,178,0,0.53,10,3.16,44.21,42.11,2,1,5,0,0,0,0,2,12.75938528,0.428616657,-1.660555519,-9.61809739,-0.192272952,-18.14899517,-22.02229097,0.45352559,-8.98
