PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa,Exprerimental
1ajp,5.29522,-7.11,-3.63,16.823,-6.380174047,-6.9353863,-6.659076089,-6.493289962,-6.700522621,-25.5148007,-3.08
1ajq,-4.68158,-7.24,-5.01,-54.421,-7.368073223,-6.852493237,-6.92157079,-6.68670711,-6.811046705,-40.15415915,-5.95
2g5u,-3.43418,-4.39,-2.05,-35.907,-5.591044415,-6.424212409,-8.551801035,-6.562367515,-7.18406549,-40.29975888,-11.73
1ndy,-7.30306,-8.68,-8.81,-88.17,-10.98356282,-8.67614063,-9.270207584,-7.985365103,-8.648509609,-80.43560976,-8.52
1ha2,-8.46775,-7.04,-7.43,-92.217,-9.868904576,-9.076790437,-10.05769169,-8.67614063,-9.270207584,-63.60800574,-7.65
1ndz,-7.57735,-9.15,-9.74,-136.239,-12.20394507,-9.836643517,-10.32018639,-9.546517796,-9.90572107,-87.77683838,-11.2
1ndw,-6.56669,-7.62,-7.79,-72.674,-8.986496688,-7.999180613,-8.109704698,-7.266958553,-7.791947955,-62.34821358,-7.23
2f80,-8.4108,-9.6,-10.05,-185.951,-11.29646543,-10.11295373,-11.05240845,-9.89190556,-10.34781741,-127.7532978,-11.3
1.00E+66,-11.69349,-7.24,-6.19,-110.384,-11.76356738,-9.988614133,-9.767565964,-9.933352091,-9.89190556,-62.33803581,-13.66
1sl3,-10.58635,-11.14,-11.33,-191.641,-12.19505479,-9.670857391,-9.795196986,-9.753750454,-9.739934943,-92.92519377,-16.37
2f01,-7.72608,-13.62,-15.79,-106.598,-7.402779364,-8.095889187,-8.386014909,-7.833394486,-8.109704698,-91.30001562,-17.96
4tln,-1.98811,-5.03,-4.8,-46.65,-5.966149958,-6.230795262,-6.755784663,-6.548552004,-6.507105473,-16.98836356,-5.14
1d7j,-2.80113,-3.22,-4.15,-30.466,-5.982940221,-5.968300561,-5.816329945,-5.899223008,-5.899223008,-33.64845968,-4.56
1zoe,-6.62815,-5.42,-4.87,-59.343,-6.104264435,-7.501822233,-8.828111247,-7.874841018,-8.068258166,-84.27763545,-10.22
1sv3,-4.00034,-4.4,-2.85,-49.457,-5.679441188,-6.548552004,-6.976832832,-6.396581388,-6.645260578,-5.861964594,-6.55
6rnt,-5.41694,-6.51,-5.59,-77.386,-7.618342797,-6.589998536,-6.824862216,-6.382765878,-6.603814047,-43.2009358,-3.27
2i0d,-8.41223,-9.73,-8.89,-188.298,-11.11649399,-10.19584679,-11.19056355,-10.09913822,-10.49978802,-114.2042488,-16.72
2aov,-8.22352,-8.06,-7.53,-60.236,-7.520319733,-8.192597761,-9.118236968,-8.275490824,-8.524170014,-52.68816634,-9.73
2aou,-8.4414,-7.52,-4.89,-115.653,-10.72370245,-9.767565964,-10.63794313,-9.712303922,-10.04387618,-35.96496251,-10.68
4tim,-3.66255,-7.76,-7.65,-45.413,-6.238149031,-6.562367515,-7.004463853,-6.479474452,-6.68670711,-12.49197095,-2.98
1g7q,-7.2175,-10.27,-13.27,-151.889,-10.7117594,-9.574148817,-10.12676924,-9.89190556,-9.864274538,-90.73764456,-8.37
2er9,-8.25264,-14.27,-13.26,-258.329,-10.91975115,-10.52741905,-12.11620276,-11.06622396,-11.23201008,-127.2308915,-10.22
1u2y,-3.91046,-3.92,-4.45,-19.682,-6.62393031,-5.95448505,-6.18934873,-5.802514434,-5.982116072,-21.94553681,-2.4
2j78,-5.50192,-7.33,-9.18,-76.495,-7.778073502,-7.142618958,-7.709054891,-7.128803448,-7.336036106,-44.97924847,-8.87
1slg,-4.89573,-7.87,-7.18,-110.433,-10.24502817,-7.529453254,-8.275490824,-6.893939768,-7.570899786,-70.15724492,-5.39
1ai5,-5.55253,-7.14,-5,-57.129,-7.875426383,-7.377482638,-7.626161828,-7.018279363,-7.336036106,-34.47394423,-5.14
2g8r,-4.45694,-4.05,-2.42,-71.366,-7.016759398,-6.783415684,-6.838677726,-6.603814047,-6.741969152,-11.14622725,-5.51
1b9j,-7.8631,-10.3,-13.74,-182.84,-11.5945954,-9.532702285,-10.09913822,-9.546517796,-9.726119433,-20.61401092,-8.23
1a1b,-5.03929,-7.75,-11.1,-112.137,-7.823641262,-7.239327532,-8.192597761,-7.142618958,-7.529453254,-77.20919759,-8.84
8cpa,-5.5698,-5.46,-4.22,-113.81,-9.174722791,-8.91100431,-10.27873986,-8.938635331,-9.380731669,-12.82351857,-12.64
1a69,-8.07442,-7.04,-6.98,-92.255,-7.083179106,-7.474191212,-7.778132444,-7.336036106,-7.529453254,-58.21857376,-7.32
2qwb,-6.00758,-6.99,-5.61,-63.867,-6.556114803,-7.114987937,-7.460375701,-7.336036106,-7.308405085,-12.76526224,-3.79
2b7d,-8.36487,-8.95,-11.54,-155.265,-12.16734916,-9.339285137,-9.477440243,-9.201130032,-9.339285137,-21.72944193,-12.02
1tmn,-6.92576,-4.67,-6.33,-134.26,-10.37635611,-8.897188799,-10.3340019,-8.786664715,-9.339285137,-40.05763957,-10.09
2brm,-7.43501,-8.3,-8.68,-107.618,-9.939521354,-8.42746144,-9.394547179,-8.275490824,-8.703771652,-60.66701521,-8.14
3pcj,-4.70957,-6.47,-7.03,-44.147,-7.233184323,-6.9353863,-7.336036106,-6.68670711,-6.990648342,-28.34656452,-9.97
2qwd,-5.29954,-6.64,-6.08,-67.385,-6.830715893,-6.9353863,-7.18406549,-7.087356916,-7.073541406,3.065158057,-6.7
2qwe,-6.39502,-5.85,-8.3,-88.86,-7.915330418,-7.280774064,-7.515637744,-7.225512022,-7.336036106,9.676363372,-10.33
1ttm,-4.53335,-6.28,-4.36,-63.276,-9.344510163,-7.598530807,-8.42746144,-7.377482638,-7.805763465,-59.13947959,-10.15
2brb,-7.53356,-6.47,-6.97,-107.916,-7.898170625,-8.620878588,-9.795196986,-8.303121845,-8.91100431,-62.55118815,-6.71
1hfs,-9.91634,-12.42,-12.18,-276.81,-10.7596211,-12.39251297,-13.93985015,-12.00567867,-12.77934727,-102.2001702,-12.02
2fai,-8.01532,-9.34,-10.06,-115.225,-9.616651314,-9.297838606,-9.449809222,-8.772849204,-9.17349901,-96.2619369,-8.62
1nny,-9.36362,-9.68,-8.33,-191.278,-9.62549301,-10.74846721,-11.82607704,-10.81754477,-11.13530151,-86.38355022,-10.58
1hi4,-4.53015,-7.95,-7.44,-69.754,-7.824280624,-7.336036106,-7.653792849,-7.156434469,-7.377482638,-54.83237663,-6.2
1df8,-7.12198,-10.56,-10.58,-99.249,-7.372365899,-7.971549592,-8.17878225,-7.68142387,-7.943918571,-80.1226922,-13.4
1s39,-7.39535,-9.45,-9.05,-77.254,-7.251316932,-7.612346317,-8.330752866,-7.543268765,-7.833394486,-47.19814439,-10.64
1nc1,-3.37089,-9.94,-10.07,-110.417,-9.624796595,-8.800480225,-8.786664715,-8.551801035,-8.717587162,-83.04592203,-8.46
1loq,-7.18987,-9.81,-11.98,-90.933,-5.874317557,-7.847209997,-8.579432057,-7.874841018,-8.095889187,-47.97949474,-5.11
2d3z,-8.26059,-8.49,-7.85,-104.437,-9.503850499,-8.759033694,-9.297838606,-8.42746144,-8.828111247,-84.63800144,-9.17
1mq6,-9.29653,-8.41,-8.13,-175.073,-13.23253285,-9.739934943,-10.3340019,-10.04387618,-10.04387618,-106.693582,-15.4
1u1b,-7.36387,-8.37,-7.82,-155.361,-10.86861242,-8.386014909,-8.510354504,-8.026811634,-8.303121845,-48.32795504,-10.78
2d3u,-8.41725,-8.2,-7.9,-108.08,-9.430283761,-9.062974926,-9.643226369,-8.455092461,-9.049159415,-82.45728929,-9.56
1g7f,-6.72136,-7.44,-7.79,-140.983,-7.367268424,-8.565616546,-8.92481982,-8.386014909,-8.634694099,-81.25639234,-7.56
1fki,-11.21967,-7.79,-8.24,-112.172,-9.633437587,-9.228761053,-10.62412762,-9.090605947,-9.643226369,-90.68852755,-9.67
1ftm,-7.7056,-6.85,-6.26,-87.188,-7.093595522,-7.764316934,-8.123520208,-7.736685912,-7.874841018,-72.92873949,-10.51
1flr,-12.46032,-9.31,-9.88,-127.95,-9.577449868,-10.19584679,-11.02477743,-9.739934943,-10.32018639,-63.28237436,-13.82
1u33,-6.41301,-6.77,-10.89,-133.682,-7.033935139,-8.717587162,-8.993897373,-8.441276951,-8.717587162,-52.85567322,-6.36
2d1o,-6.78985,-9.21,-13.27,-172.249,-10.75256582,-9.435993711,-10.44452598,-8.952450842,-9.615595348,-110.3280397,-10.64
1uwt,-5.91065,-5.98,-8.2,-79.308,-7.121777793,-6.728153642,-7.073541406,-6.617629557,-6.811046705,-30.52141456,-8.25
1b7h,-7.40084,-10.26,-13.11,-177.528,-11.47356277,-9.546517796,-9.836643517,-9.463624732,-9.615595348,-37.43377165,-11.08
1apw,-7.84533,-9.81,-10.75,-164.91,-11.38067695,-8.607063078,-10.30637088,-9.256392074,-9.394547179,-113.7500593,-11.05
1fd0,-15.3954,-14.82,-18.77,-173.947,-11.55736167,-13.45630728,-14.18852934,-11.79844602,-13.15236605,-140.4499233,-11.61
1o3p,-7.25467,-6.06,-10.23,-102.698,-10.75000028,-8.220228782,-8.593247567,-8.717587162,-8.510354504,-11.02857387,-9.2
