PDB,VINA,GlideSP,DSX,RFScore,HMS,Exprerimental
1ajp,5.29522,-7.11,16.823,-6.91732971974,-6.659076089,-3.08
1ajq,-4.68158,-7.24,-54.421,-8.56501377149,-6.92157079,-5.95
2g5u,-3.43418,-4.39,-35.907,-6.05221845711,-8.551801035,-11.73
1ndy,-7.30306,-8.68,-88.17,-10.2819028894,-9.270207584,-8.52
1ha2,-8.46775,-7.04,-92.217,-10.458642621,-10.05769169,-7.65
1ndz,-7.57735,-9.15,-136.239,-10.1931633611,-10.32018639,-11.2
1ndw,-6.56669,-7.62,-72.674,-8.98591544847,-8.109704698,-7.23
2f80,-8.4108,-9.6,-185.951,-12.5487068566,-11.05240845,-11.3
1e66,-11.69349,-7.24,-110.384,-9.31105901295,-9.767565964,-13.66
1sl3,-10.58635,-11.14,-191.641,-10.7220434477,-9.795196986,-16.37
2f01,-7.72608,-13.62,-106.598,-9.2976612375,-8.386014909,-17.96
4tln,-1.98811,-5.03,-46.65,-7.29998804757,-6.755784663,-5.14
1d7j,-2.80113,-3.22,-30.466,-5.92410377189,-5.816329945,-4.56
1zoe,-6.62815,-5.42,-59.343,-8.68178656905,-8.828111247,-10.22
1sv3,-4.00034,-4.4,-49.457,-6.60047107219,-6.976832832,-6.55
6rnt,-5.41694,-6.51,-77.386,-7.20598478446,-6.824862216,-3.27
2i0d,-8.41223,-9.73,-188.298,-14.3272499635,-11.19056355,-16.72
2aov,-8.22352,-8.06,-60.236,-8.4241092054,-9.118236968,-9.73
2aou,-8.4414,-7.52,-115.653,-9.82056135839,-10.63794313,-10.68
4tim,-3.66255,-7.76,-45.413,-5.71409671529,-7.004463853,-2.98
1g7q,-7.2175,-10.27,-151.889,-7.99698504437,-10.12676924,-8.37
2er9,-8.25264,-14.27,-258.329,-10.3861462274,-12.11620276,-10.22
1u2y,-3.91046,-3.92,-19.682,-6.79139230194,-6.18934873,-2.4
2j78,-5.50192,-7.33,-76.495,-7.15818915905,-7.709054891,-8.87
1slg,-4.89573,-7.87,-110.433,-9.15700042982,-8.275490824,-5.39
1ai5,-5.55253,-7.14,-57.129,-7.56250755104,-7.626161828,-5.14
2g8r,-4.45694,-4.05,-71.366,-6.73045459807,-6.838677726,-5.51
1b9j,-7.8631,-10.3,-182.84,-9.90064300801,-10.09913822,-8.23
1a1b,-5.03929,-7.75,-112.137,-8.13966248088,-8.192597761,-8.84
8cpa,-5.5698,-5.46,-113.81,-8.66464916199,-10.27873986,-12.64
1a69,-8.07442,-7.04,-92.255,-7.49255831912,-7.778132444,-7.32
2qwb,-6.00758,-6.99,-63.867,-6.78719544218,-7.460375701,-3.79
2b7d,-8.36487,-8.95,-155.265,-10.9205256711,-9.477440243,-12.02
1tmn,-6.92576,-4.67,-134.26,-10.0657967857,-10.3340019,-10.09
2brm,-7.43501,-8.3,-107.618,-9.62586034886,-9.394547179,-8.14
3pcj,-4.70957,-6.47,-44.147,-7.56822691935,-7.336036106,-9.97
2qwd,-5.29954,-6.64,-67.385,-6.48608696366,-7.18406549,-6.7
2qwe,-6.39502,-5.85,-88.86,-8.21619838735,-7.515637744,-10.33
1ttm,-4.53335,-6.28,-63.276,-8.79869941209,-8.42746144,-10.15
2brb,-7.53356,-6.47,-107.916,-9.46270528518,-9.795196986,-6.71
1hfs,-9.91634,-12.42,-276.81,-10.8615242189,-13.93985015,-12.02
2fai,-8.01532,-9.34,-115.225,-11.8747439718,-9.449809222,-8.62
1nny,-9.36362,-9.68,-191.278,-9.41983919672,-11.82607704,-10.58
1hi4,-4.53015,-7.95,-69.754,-7.80220934841,-7.653792849,-6.2
1df8,-7.12198,-10.56,-99.249,-9.03561047531,-8.17878225,-13.4
1s39,-7.39535,-9.45,-77.254,-7.03260732478,-8.330752866,-10.64
1nc1,-3.37089,-9.94,-110.417,-9.39595267736,-8.786664715,-8.46
1loq,-7.18987,-9.81,-90.933,-6.91668728529,-8.579432057,-5.11
2d3z,-8.26059,-8.49,-104.437,-9.38033480187,-9.297838606,-9.17
1mq6,-9.29653,-8.41,-175.073,-10.1650542555,-10.3340019,-15.4
1u1b,-7.36387,-8.37,-155.361,-8.46291394406,-8.510354504,-10.78
2d3u,-8.41725,-8.2,-108.08,-9.50916019449,-9.643226369,-9.56
1g7f,-6.72136,-7.44,-140.983,-8.18965715847,-8.92481982,-7.56
1fki,-11.21967,-7.79,-112.172,-8.81725876246,-10.62412762,-9.67
1ftm,-7.7056,-6.85,-87.188,-8.55442071959,-8.123520208,-10.51
1flr,-12.46032,-9.31,-127.95,-9.44928368329,-11.02477743,-13.82
1u33,-6.41301,-6.77,-133.682,-7.60746454099,-8.993897373,-6.36
2d1o,-6.78985,-9.21,-172.249,-10.3026433528,-10.44452598,-10.64
1uwt,-5.91065,-5.98,-79.308,-7.06375468397,-7.073541406,-8.25
1b7h,-7.40084,-10.26,-177.528,-9.84019116058,-9.836643517,-11.08
1apw,-7.84533,-9.81,-164.91,-10.3564770139,-10.30637088,-11.05
1fd0,-15.3954,-14.82,-173.947,-11.2441967455,-14.18852934,-11.61
