PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1ajp,-2.925217198,7.431500836,-2.431454587,-27.56536457,0,11.67679097,-11.70105617,7.986932764,-3.080858854
1ajq,-10.25106469,0.143067265,-2.129594773,-24.89696474,-0.318298226,20.95857267,-23.65987666,0.302214295,-5.954485051
2g5u,1.437866652,0.196651455,0,-26.41123948,0,4.626772586,-20.1498101,0.841459494,-11.72936846
1ndy,-40.30872459,5.007508876,-4.390891562,-34.11353257,-1.77744596,36.00665177,-40.85917566,7.678896963,-8.524170014
1ha2,-28.94940831,3.478347902,-0.64658832,-36.54006901,-0.46258172,42.72808521,-43.21579141,2.503654484,-7.653792849
1ndz,-37.04354181,0.512984319,-4.062677066,-42.09205364,-2.903457119,53.88589238,-56.07398545,19.17690009,-11.20437906
1ndw,-32.2667837,3.820462555,-4.003396446,-26.98016305,-1.973676046,33.02723013,-33.97188697,7.745996247,-7.225512022
2f80,-15.68878651,4.333160543,-2.375879064,-57.39862197,-1.32E-06,4.60343141,-61.22660092,6.519899099,-11.30108764
1.00E+66,-0.224358413,1.389748111,-0.224879964,-55.49285992,-9.814093912,55.1149227,-53.08651443,1.300043979,-13.66
1sl3,-78.11624662,2.328966212,-0.753660062,-51.71562888,-2.496314581,103.2615129,-65.43382277,10.04148912,-16.37138001
2f01,-41.3543663,1.212118842,-3.453591843,-41.17640202,0,34.19219306,-40.71996736,0.723640763,-17.96016373
4tln,-34.05918306,9.818775164,-2.03196243,-14.30017079,0,36.74297794,-13.15880032,11.45008593,-5.139369928
1d7j,-8.937304527,1.62519888,-0.544598966,-13.94018795,0,3.714479266,-15.56604638,1.237324939,-4.559118484
1zoe,6.084084333,1.542614231,0,-58.35103384,-3.70E-09,6.405415903,-39.95871607,1.628234447,-10.22347781
1sv3,151.2919586,0.066028007,-0.258929971,-10.65723504,0,-128.3983156,-17.90547057,0.180699287,-6.548552005
6rnt,-22.75343211,2.131703273,-11.17407967,-3.816439667,-5.426339713,19.73366625,-21.89601414,5.456730406,-3.274276002
2i0d,2.069540937,6.390892422,-1.987334118,-55.5870589,-0.802040989,7.725268505,-72.01351666,6.73847972,-16.71676778
2aov,-4.416125964,-0.151259305,-2.709787355,-29.73834183,-1.495865012,24.59301239,-38.76979924,0.660969641,-9.726119433
2aou,0.85257043,4.799122982,-0.094667894,-47.75278522,-6.319314098,59.05940664,-46.50929532,10.12429612,-10.67938966
1g7q,-23.32235246,3.396900464,-6.236960773,-36.39631439,-0.11551736,43.03199146,-70.4724458,18.53625617,-8.372199398
2er9,-58.95659404,11.07412333,-3.516025652,-55.01925799,-0.072882248,64.11140829,-84.85166317,64.96549358,-10.22347781
1u2y,-26.13826223,1.155587199,-1.297840979,-9.94399404,0,32.87492051,-18.59594731,0.097437381,-2.403898837
2j78,-38.55229918,1.03418185,-3.760845795,-16.87615732,0,33.09864462,-19.92277258,5.041194737,-8.869557778
1slg,-39.94006663,4.013921395,-1.419955037,-27.06831582,-1.207721472,24.77765393,-32.635073,20.68339904,-5.388049118
1elb,-72.61825595,26.07865548,-0.837769218,-44.13364583,-4.53E-08,79.69124939,-22.99356228,39.69385212,-9.878090049
2g8r,44.1195448,10.53083031,-3.15143974,-10.2479106,-2.21E-05,-23.2761825,-29.1210475,11.71109521,-5.512388713
1b9j,-114.1772778,1.346352338,-7.149448807,-14.78260252,0,170.4575091,-56.30854322,5.715185454,-8.234044293
1a1b,-173.9093578,3.190835869,-11.30563474,-22.85345083,-0.592457509,170.3452731,-42.08440572,3.432211651,-8.841926757
8cpa,-8.85435057,1.969930248,-12.49955846,-26.01380752,-1.151402661,78.86589132,-45.14022086,10.34770265,-12.64119216
1a69,-39.50589796,3.268759839,-2.235956588,-22.9661711,-0.196083499,39.66771474,-36.25093919,4.134109152,-7.322220596
2qwb,79.81067265,9.677075218,-12.88735112,-13.50230701,0,-43.8606426,-32.00270909,14.78786524,-3.785449893
2b7d,-72.61042756,8.572851407,-8.514524723,-22.19978602,-1.175649241,114.9819672,-40.78387294,15.49895958,-12.01949419
1tmn,-40.71652179,6.491373729,-3.199593106,-39.7734393,0,79.58822673,-42.44768579,13.92006444,-10.08532271
2brm,-22.5782936,0.718861725,-0.927054724,-26.03956821,-1.12E-09,26.63688154,-38.4778418,3.227009609,-8.137335719
3pcj,-77.77372648,2.292692925,-2.29568085,-12.95130572,-0.325809513,88.58499166,-25.87772644,2.994065554,-9.974798623
2qwd,138.5940762,-1.125967407,-12.7227906,-13.08242422,0,-76.89977648,-31.69795994,10.15733371,-6.700522621
2qwe,-55.96785021,-0.975144864,-7.896867988,-12.09469558,0,109.3386593,-22.72773775,21.24595604,-10.3340019
