PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1ajp,3,96,0,23,0,1,40,35,0,2,36,0,1,1,0,2,-3.08
1ajq,5,59,0,17,0,7,30,10,0,2,15,0,1,1,0,2,-5.95
2g5u,0,27,0,3,0,0,24,0,0,0,8,0,0,0,0,3,-11.73
1ndy,5,114,0,3,13,14,43,46,2,2,38,0,0,0,0,7,-8.52
1ha2,1,53,7,0,0,47,0,0,1,1,28,0,0,1,0,5,-7.65
1ndz,8,159,3,5,22,36,9,92,3,2,59,1,1,0,0,11,-11.2
1ndw,6,106,0,1,0,13,44,54,3,2,33,1,1,2,0,7,-7.23
2f80,13,164,0,29,37,0,64,47,3,3,25,0,0,0,0,14,-11.3
1.00E+66,0,113,0,0,18,25,3,67,0,0,55,0,5,0,0,2,-13.66
1sl3,5,147,0,49,19,0,21,63,2,1,30,0,1,1,0,10,-16.37
2f01,8,120,0,1,11,0,99,17,2,5,22,0,0,0,0,5,-17.96
4tln,9,76,0,7,0,48,15,15,2,1,1,0,0,0,3,5,-5.14
1d7j,1,33,0,0,3,6,12,13,1,1,9,0,0,0,0,3,-4.56
1zoe,0,45,0,4,1,0,33,7,0,0,15,0,0,0,0,1,-10.22
1sv3,1,37,0,0,15,14,0,9,0,0,12,0,0,0,1,2,-6.55
6rnt,8,124,0,0,19,0,60,53,0,4,6,1,1,0,3,7,-3.27
2i0d,6,140,0,12,41,0,45,48,2,3,25,0,0,0,0,15,-16.72
2aov,6,78,1,0,2,31,1,49,1,0,14,0,1,1,0,3,-9.73
2aou,1,116,5,0,0,76,4,32,0,0,50,0,4,1,0,7,-10.68
4tim,11,102,0,20,17,0,22,54,0,6,6,0,0,0,3,5,-2.98
1g7q,20,318,2,0,0,283,53,0,5,9,36,0,0,0,2,24,-8.37
2er9,14,241,0,10,62,0,43,140,7,4,31,0,0,0,1,34,-10.22
1u2y,1,57,0,0,5,5,24,24,0,1,4,0,0,0,0,6,-2.4
2j78,18,167,0,0,0,0,83,102,4,4,18,0,0,0,0,6,-8.87
1slg,7,125,0,1,0,0,123,8,1,4,17,1,0,1,0,26,-5.39
1ai5,2,61,0,15,0,2,30,16,0,2,13,0,1,0,0,3,-5.14
2g8r,4,67,0,12,7,3,24,25,0,2,11,0,0,0,1,6,-5.51
1b9j,18,232,3,42,21,32,98,54,6,5,19,0,0,0,1,18,-8.23
1a1b,9,124,0,16,4,45,52,16,1,6,15,1,0,0,2,19,-8.84
8cpa,12,180,0,5,0,7,30,150,2,6,13,0,1,0,9,12,-12.64
1a69,7,156,0,32,6,20,51,54,4,1,14,0,0,0,0,5,-7.32
2qwb,13,117,0,0,0,0,74,56,2,4,7,0,0,0,2,10,-3.79
2b7d,10,186,0,9,70,0,6,111,4,0,25,1,0,1,1,12,-12.02
1tmn,13,149,0,12,0,56,54,40,2,3,10,0,0,0,6,19,-10.09
2brm,2,76,0,25,5,0,41,7,1,1,20,0,0,0,0,6,-8.14
3pcj,7,70,0,1,0,0,40,36,0,3,15,0,0,0,0,2,-9.97
2qwd,12,124,0,0,1,0,77,58,2,4,8,0,0,0,4,9,-6.7
2qwe,21,211,0,14,10,0,110,98,5,4,12,0,0,0,14,13,-10.33
1ttm,7,82,0,0,7,10,29,43,1,2,16,0,0,0,0,3,-10.15
2brb,1,67,0,22,3,0,37,6,0,2,22,0,0,0,0,6,-6.71
3std,3,105,6,0,0,67,32,3,1,2,47,0,1,2,0,6,-15.35
1hfs,6,176,2,8,47,47,31,47,2,3,50,1,3,2,4,18,-12.02
2fai,3,56,9,0,0,46,0,4,2,1,15,0,0,1,0,4,-8.62
1nny,18,211,17,0,23,81,11,97,4,8,31,0,2,0,3,17,-10.58
1hi4,10,182,0,6,5,32,64,85,1,7,19,3,2,0,3,8,-6.2
1df8,5,104,0,0,11,0,68,30,1,4,22,0,0,0,0,5,-13.4
1s39,6,117,0,7,7,27,50,32,3,2,28,0,2,0,0,1,-10.64
1nc1,6,70,1,3,4,24,20,24,1,1,11,0,0,0,0,6,-8.46
1loq,17,146,0,10,11,0,51,91,2,9,9,0,0,0,1,6,-5.11
2d3z,3,73,2,0,13,38,0,23,0,2,28,0,0,0,0,5,-9.17
1tyr,0,37,0,3,2,0,29,3,0,0,23,0,0,0,0,5,-9.67
1mq6,2,163,0,43,21,0,37,64,0,1,40,0,2,2,0,8,-15.4
1u1b,8,164,0,22,0,30,79,41,3,6,13,0,2,0,7,16,-10.78
2d3u,3,74,4,0,15,34,0,24,0,2,33,0,2,0,0,5,-9.56
1g7f,14,163,5,0,13,40,4,115,2,7,30,0,0,0,3,16,-7.56
1fki,2,93,0,0,6,11,37,41,0,3,25,0,0,0,0,0,-9.67
1ftm,15,155,2,23,2,50,73,20,2,9,15,0,0,0,2,5,-10.51
1flr,5,137,0,2,23,0,59,58,0,1,41,0,6,0,0,3,-13.82
1u33,11,191,0,3,19,30,54,96,4,4,19,0,0,0,0,18,-6.36
2d1o,10,151,1,22,64,21,14,39,4,2,23,0,0,0,1,20,-10.64
1uwt,11,174,0,0,0,0,73,112,3,3,17,0,0,0,0,6,-8.25
1b7h,19,231,10,40,13,33,107,47,8,3,20,1,0,0,3,19,-11.08
1apw,11,156,0,2,44,0,46,75,4,2,16,0,0,0,0,15,-11.05
1fd0,6,108,24,2,5,60,8,15,0,3,42,0,0,1,1,4,-11.61
1o3p,9,147,0,26,45,0,26,59,3,0,26,0,0,0,0,6,-9.2
1gpk,2,84,0,8,22,4,10,42,0,2,21,0,0,0,0,1,-7.42
1dhi,7,129,1,35,0,42,42,16,1,3,18,0,0,0,3,11,-10.03
4tmn,10,164,0,17,0,64,47,46,1,5,27,0,0,0,5,14,-14.05
1rnt,10,145,0,4,26,0,63,62,3,5,14,0,0,0,2,7,-7.17
1zvx,5,128,2,16,28,43,13,31,1,2,37,1,2,0,3,7,-12.74
1bma,4,79,0,22,14,0,9,38,0,1,5,0,0,0,0,11,-6.34
1o0h,9,161,0,8,0,47,45,70,1,7,12,0,1,0,5,9,-8.18
2fdp,12,185,0,7,62,0,49,79,2,3,32,0,0,1,4,15,-10.49
1b8o,14,172,1,34,0,20,50,81,6,3,15,0,0,1,1,5,-14.7
1if7,6,82,1,0,4,1,44,38,0,1,9,0,0,0,0,7,-14.53
2flb,8,147,0,27,48,0,10,70,1,0,17,0,0,1,0,5,-7.93
1re8,10,176,0,34,22,7,80,43,3,2,35,1,0,0,2,9,-13.15
1vfn,4,85,0,29,0,0,17,43,2,1,12,0,0,1,0,0,-7.74
2b1v,3,54,8,0,0,42,0,7,2,1,15,0,0,1,0,4,-7.93
1olu,13,139,0,11,41,0,23,77,2,7,13,0,0,0,4,12,-6.09
2h3e,26,190,16,0,16,82,41,61,2,12,7,0,0,0,3,7,-7.87
2rkm,11,170,1,22,25,29,41,63,6,2,14,0,0,0,3,14,-5.39
1om1,2,83,0,5,8,0,55,17,0,2,37,0,0,0,1,2,-9.35
1ols,13,172,0,11,43,0,32,99,2,7,19,0,0,0,4,12,-8.04
1d09,18,165,14,0,15,60,37,57,0,13,5,0,0,0,6,7,-10.46
1q7a,0,52,3,0,7,18,0,24,0,0,27,0,0,1,0,6,-9.93
1elb,11,135,0,32,12,0,23,79,1,1,29,0,0,0,0,14,-9.88
1ela,7,117,0,29,22,0,19,54,2,1,13,0,0,0,0,11,-8.79
1x1z,14,165,0,13,10,0,57,99,2,9,8,0,0,0,1,7,-15.28
1sqa,5,171,0,5,57,0,6,108,4,1,18,0,1,0,1,8,-12.72
2cer,14,173,0,1,0,0,71,115,5,3,27,0,1,0,0,8,-12.74
1k9s,8,165,0,36,4,25,55,53,4,0,12,0,0,0,0,6,-9.01
2ceq,15,169,0,0,0,0,93,91,2,3,25,0,1,0,0,5,-10.06
2cet,13,158,0,0,0,2,65,104,3,3,32,0,1,0,0,8,-11.08
5er1,5,126,0,14,35,0,49,33,3,1,27,0,0,0,5,19,-8.32
1ppm,11,162,0,2,35,0,49,87,2,4,22,0,0,0,0,17,-8.01
2usn,7,96,0,31,3,21,27,21,2,2,20,1,0,0,0,8,-8.99
1kv5,11,93,0,14,17,0,25,48,0,8,3,0,0,0,3,3,-5.83
1y6q,5,147,0,22,23,17,41,49,5,1,22,0,2,0,2,6,-16.16
1jqd,10,133,3,0,45,27,21,47,4,3,15,0,0,0,1,11,-7.13
1kv1,4,63,0,4,9,29,12,13,2,1,14,1,1,0,0,3,-8.21
1hk4,5,123,13,0,0,115,0,0,3,1,17,0,1,0,5,7,-7.34
1pr5,8,141,0,36,0,14,52,47,4,0,20,0,0,0,0,6,-5.42
2bok,4,141,0,30,28,9,17,61,2,1,37,2,0,0,0,7,-9.05
1o3f,10,147,0,6,59,0,6,86,3,0,25,1,0,1,0,5,-11
1gni,1,50,6,0,0,33,0,12,0,2,31,0,0,0,1,15,-11.15
1ydt,3,108,0,37,9,0,48,17,0,1,36,1,0,0,1,8,-10.11
1fzk,14,255,1,0,0,215,53,0,4,9,48,1,2,1,0,25,-11.61
1jys,3,53,0,6,18,0,7,25,0,1,11,0,0,0,0,1,-4.86
2drc,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,11,-13.66
1y1m,9,108,0,16,0,30,61,10,3,4,17,1,0,0,2,2,-2.51
1bra,3,95,0,26,29,0,13,30,1,0,9,0,0,0,0,2,-2.51
1fcx,6,102,22,2,4,57,8,15,0,3,42,0,0,1,1,4,-9.93
1fcz,4,90,16,2,4,48,7,17,0,3,40,0,0,1,1,4,-12.74
2g94,13,220,0,24,67,0,52,90,3,8,35,0,0,0,0,20,-13.15
1f5k,5,86,0,6,37,0,7,41,1,0,11,0,0,0,0,2,-5.17
2hdq,4,54,0,0,2,0,16,40,0,4,20,0,1,0,2,1,-1.93
1pxo,2,56,0,6,11,0,26,15,1,1,15,0,0,0,0,3,-12.02
10gs,11,153,4,13,11,41,22,73,3,6,21,0,0,0,2,14,-8.84
1e5a,1,19,0,0,0,0,20,0,0,1,4,0,0,0,0,1,-10.56
1bcu,1,67,0,20,12,0,8,28,1,0,16,0,0,0,0,2,-4.53
2ayr,6,103,17,0,1,78,0,13,1,1,38,0,0,2,1,9,-12.83
3pch,13,83,0,3,0,0,61,32,1,2,21,0,0,0,0,2,-7.46
