PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa,Experimental
2ymd,-6.85729,-10.78,-11.63,-88.485,-5.405462042,-8.316937356,-8.634694099,-7.847209997,-8.261675314,-35.89800435,-4.37
3u9q,-5.12466,-4.35,-7.57,-87.598,-6.016622736,-7.805763465,-7.764316934,-7.294589575,-7.626161828,-68.42194394,-9.16
2zx6,-8.21865,-8.87,-11.57,-122.48,-12.10921884,-8.759033694,-8.814295736,-8.91100431,-8.828111247,-97.30804273,-14.64
3f3e,-6.37285,-5.89,-4.58,-80.788,-8.407476661,-7.543268765,-7.985365103,-7.488006722,-7.66760836,-30.78193415,-10.64
3myg,-6.46866,-8.47,-9.62,-118.303,-11.86160178,-8.344568377,-9.449809222,-8.648509609,-8.814295736,-83.95362895,-14.78
2w66,-6.45187,-8.2,-9.67,-85.333,-6.411146109,-7.833394486,-8.234044293,-8.026811634,-8.026811634,-56.28357673,-5.6
2fvd,-8.51229,-9.2,-8.85,-128.076,-11.34813267,-8.841926757,-9.145867989,-8.551801035,-8.841926757,-87.08961784,-9.44
1jyq,-7.31428,-10.99,-16.39,-180.736,-10.95214192,-10.18203128,-10.84517579,-9.809012496,-10.27873986,-114.9756343,-12.02
1f8d,-5.77346,-7.52,-8.14,-65.198,-6.774314748,-7.239327532,-7.543268765,-7.43274468,-7.405113659,-32.48315612,-4.7
3nw9,-10.9122,-9.94,-11.8,-196.272,-12.12893974,-11.06622396,-11.770815,-10.81754477,-11.21819457,-105.1041068,-12.43
2xb8,-8.83524,-9.73,-11.13,-116.228,-8.786902959,-9.076790437,-9.325469627,-8.537985525,-8.980081863,-89.76611837,-10.49
1xd0,-8.90305,-8.35,-15.54,-229.847,-9.436241776,-10.80372926,-11.39779621,-10.472157,-10.90043783,-72.62356197,-9.84
2d3u,-8.41725,-8.19,-7.89,-108.08,-9.430283761,-9.311654116,-9.89190556,-8.66232512,-9.284023095,-82.37118929,-9.56
3uex,-5.25263,-2.01,-7.25,-81.854,-9.282072805,-8.938635331,-8.42746144,-7.41892917,-8.261675314,-91.23725681,-9.56
2wbg,-6.4784,-7.24,-10.14,-99.797,-7.316694124,-8.137335719,-9.187314521,-7.957734081,-8.42746144,-65.12253573,-6.15
1os0,-7.57516,-5.28,-10.44,-144.413,-9.217341382,-9.574148817,-10.472157,-9.201130032,-9.739934943,-42.04387847,-8.33
2iwx,-8.62953,-7.38,-5.41,-88.914,-9.514551336,-8.330752866,-8.92481982,-8.510354504,-8.593247567,-77.80591656,-9.23
3bpc,-4.45617,-5.71,-8.18,-70.884,-7.186743444,-6.617629557,-6.589998536,-6.645260578,-6.617629557,-45.21112272,-6.63
1o5b,-5.71186,-8.23,-8.79,-75.909,-7.699934053,-7.322220596,-7.985365103,-7.709054891,-7.66760836,-61.12694304,-7.97
2x8z,-4.57655,-5.96,-5.42,-71.307,-9.513386491,-6.9353863,-7.474191212,-7.018279363,-7.142618958,26.24235631,-11
3zsx,-7.39043,-7.46,-6.27,-129.779,-6.695303326,-8.607063078,-9.505071264,-8.565616546,-8.897188799,-73.87778354,-4.53
3b3s,-3.48959,-4.99,-4.65,-34.363,-4.686847054,-6.755784663,-6.893939768,-6.68670711,-6.769600173,-8.371077259,-3.52
2pq9,-2.77723,-9.09,-8.35,-130.807,-10.4052544,-9.670857391,-10.74846721,-9.65704188,-10.03006067,-75.72226816,-11.2
