PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa
2ymd,-6.85729,-10.78,-11.63,-88.485,-7.27664749664,-8.316937356,-8.634694099,-7.847209997,-8.261675314,-35.89800435
3u9q,-5.12466,-4.35,-7.57,-87.598,-7.14556884154,-7.805763465,-7.764316934,-7.294589575,-7.626161828,-68.42194394
2zx6,-8.21865,-8.87,-11.57,-122.48,-10.1665858007,-8.759033694,-8.814295736,-8.91100431,-8.828111247,-97.30804273
3f3e,-6.37285,-5.89,-4.58,-80.788,-7.89950702816,-7.543268765,-7.985365103,-7.488006722,-7.66760836,-30.78193415
3myg,-6.46866,-8.47,-9.62,-118.303,-9.81289352891,-8.344568377,-9.449809222,-8.648509609,-8.814295736,-83.95362895
2w66,-6.45187,-8.2,-9.67,-85.333,-7.15804574319,-7.833394486,-8.234044293,-8.026811634,-8.026811634,-56.28357673
2fvd,-8.51229,-9.2,-8.85,-128.076,-9.95713792676,-8.841926757,-9.145867989,-8.551801035,-8.841926757,-87.08961784
1jyq,-7.31428,-10.99,-16.39,-180.736,-8.52668773671,-10.18203128,-10.84517579,-9.809012496,-10.27873986,-114.9756343
1f8d,-5.77346,-7.52,-8.14,-65.198,-6.72323068612,-7.239327532,-7.543268765,-7.43274468,-7.405113659,-32.48315612
3nw9,-10.9122,-9.94,-11.8,-196.272,-11.059799591,-11.06622396,-11.770815,-10.81754477,-11.21819457,-105.1041068
2xb8,-8.83524,-9.73,-11.13,-116.228,-7.43234700398,-9.076790437,-9.325469627,-8.537985525,-8.980081863,-89.76611837
1xd0,-8.90305,-8.35,-15.54,-229.847,-7.66153740605,-10.80372926,-11.39779621,-10.472157,-10.90043783,-72.62356197
2d3u,-8.41725,-8.19,-7.89,-108.08,-9.50916019449,-9.311654116,-9.89190556,-8.66232512,-9.284023095,-82.37118929
3uex,-5.25263,-2.01,-7.25,-81.854,-9.08112708606,-8.938635331,-8.42746144,-7.41892917,-8.261675314,-91.23725681
2wbg,-6.4784,-7.24,-10.14,-99.797,-8.34397456934,-8.137335719,-9.187314521,-7.957734081,-8.42746144,-65.12253573
1os0,-7.57516,-5.28,-10.44,-144.413,-9.87550490377,-9.574148817,-10.472157,-9.201130032,-9.739934943,-42.04387847
2iwx,-8.62953,-7.38,-5.41,-88.914,-9.22124159926,-8.330752866,-8.92481982,-8.510354504,-8.593247567,-77.80591656
3bpc,-4.45617,-5.71,-8.18,-70.884,-6.96265409906,-6.617629557,-6.589998536,-6.645260578,-6.617629557,-45.21112272
1o5b,-5.71186,-8.23,-8.79,-75.909,-6.60795547626,-7.322220596,-7.985365103,-7.709054891,-7.66760836,-61.12694304
2x8z,-4.57655,-5.96,-5.42,-71.307,-9.45802497085,-6.9353863,-7.474191212,-7.018279363,-7.142618958,26.24235631
3zsx,-7.39043,-7.46,-6.27,-129.779,-8.57410281969,-8.607063078,-9.505071264,-8.565616546,-8.897188799,-73.87778354
3b3s,-3.48959,-4.99,-4.65,-34.363,-7.28417662654,-6.755784663,-6.893939768,-6.68670711,-6.769600173,-8.371077259
2pq9,-2.77723,-9.09,-8.35,-130.807,-8.30573431319,-9.670857391,-10.74846721,-9.65704188,-10.03006067,-75.72226816
1w3l,-7.74415,-5.31,-11.23,-122.475,-8.22496439362,-8.17878225,-8.579432057,-7.971549592,-8.234044293,-40.50675972
3cyx,-11.28341,-11.93,-8.99,-221.116,-11.8181222359,-11.70173744,-13.31815218,-11.88133908,-12.2958044,-149.1244889
3jvs,-7.52033,-4.4,-4.25,-115.406,-8.07098837937,-9.007712884,-10.25110883,-9.076790437,-9.449809222,-75.57638055
3gcs,-10.92496,-11.35,-10.94,-161.501,-11.313038053,-10.34781741,-11.16293253,-10.2096623,-10.56886558,-105.815336
1lor,-7.14527,-9.57,-12.36,-90.256,-6.83586631827,-7.93010306,-8.703771652,-7.957734081,-8.192597761,-47.68536637
2jdu,-5.62287,-5.21,-4.13,-59.141,-7.35663166731,-6.589998536,-7.446560191,-6.783415684,-6.9353863,-8.04379388
2zcr,-8.7322,-8.02,-11.87,-101.618,-9.15555346818,-10.18203128,-10.69320517,-9.532702285,-10.12676924,-47.58451124
2y5h,-7.63962,-9.85,-13.53,-146.412,-10.8228531466,-8.510354504,-8.620878588,-8.855742268,-8.66232512,-85.4430197
3d4z,-5.78696,-6.92,-7.92,-72.792,-7.59262328671,-7.363667127,-7.902472039,-7.336036106,-7.529453254,-54.26360602
3udh,-7.11374,-8.19,-8.25,-80.843,-7.37043678339,-7.750501423,-8.109704698,-7.488006722,-7.778132444,-59.41076402
1sln,-6.96917,-8.48,-11.9,-187.787,-9.89786303562,-9.546517796,-10.29255537,-9.256392074,-9.698488412,-76.5583866
3i3b,-5.04844,-5.66,-7.03,-51.893,-5.44326191599,-7.142618958,-7.653792849,-7.101172427,-7.294589575,8.188940018
3imc,-5.76948,-6.75,-5.08,-77.257,-6.24617364016,-7.101172427,-7.101172427,-7.142618958,-7.114987937,-45.08712106
3su3,-11.91146,-10.87,-9.9,-192.368,-9.27240524936,-10.61031211,-12.0333097,-11.48068927,-11.37016519,-135.8369585
3gy4,-5.78856,-8.38,-8.81,-75.77,-6.63705280549,-6.990648342,-7.128803448,-7.18406549,-7.101172427,-40.0028922
2cbj,-9.30992,-8.68,-7.41,-146.344,-7.87463250199,-9.270207584,-9.65704188,-9.684672901,-9.532702285,-62.0098147
2obf,-10.01331,-12.56,-14.21,-124.917,-10.8023633629,-9.947167602,-10.45834149,-9.380731669,-9.933352091,-91.25004191
2yki,-15.31229,-16.13,-17.52,-181.756,-9.78007520262,-12.47540603,-13.20762809,-11.19056355,-12.28198889,-128.9722214
2v7a,-9.51171,-9.69,-10.75,-147.107,-10.8219951812,-9.353100648,-10.09913822,-9.242576563,-9.560333306,-92.15220832
3nox,-6.32704,-6.58,-8.48,-96.864,-10.3011788758,-8.441276951,-9.325469627,-8.745218183,-8.841926757,-76.61349395
1w4o,-0.13361,-8.19,-8.39,-91.261,-5.06562453157,-7.253143043,-7.861025507,-7.225512022,-7.446560191,-49.90088747
3g2z,-3.97494,-5.35,-3.68,-37.157,-5.42072679843,-6.382765878,-6.493289962,-6.493289962,-6.451843431,-41.24172975
2zjw,-7.86869,-6.84,-11.28,-63.033,-7.45901374034,-8.137335719,-8.551801035,-7.474191212,-8.054442655,-66.51540363
3ehy,-5.12183,-4.68,-4.42,-99.933,-7.18364150349,-7.405113659,-7.68142387,-7.446560191,-7.515637744,-37.17154954
1q8u,-7.95571,-8.04,-9.12,-97.362,-9.77760201187,-8.703771652,-9.17349901,-8.41364593,-8.759033694,-70.20264059
3g0w,-10.93256,-11.26,-11.75,-129.714,-10.5297395904,-9.753750454,-10.0715072,-9.366916158,-9.739934943,-117.6680122
3ge7,-8.99468,-10.8,-12.32,-138.842,-10.0137017539,-9.532702285,-9.601779838,-9.297838606,-9.477440243,-83.52799344
1oyt,-10.60324,-10.9,-13.9,-158.012,-10.7206330031,-9.435993711,-9.587964327,-9.601779838,-9.546517796,-81.26001396
2weg,-4.5241,-5.73,-4.12,-61.811,-9.12628492825,-6.6728916,-7.322220596,-6.6728916,-6.893939768,-42.51597564
1lbk,-4.88545,-6.35,-5.97,-85.14,-7.59092404328,-6.949201811,-7.018279363,-7.004463853,-6.990648342,-50.36362125
3bfu,-6.11202,-7.46,-6.2,-82.087,-8.57066783152,-7.308405085,-7.722870402,-7.253143043,-7.43274468,-74.35461812
1igj,-8.25479,-6.78,-7.5,-134.545,-9.21547761587,-9.297838606,-10.63794313,-8.703771652,-9.546517796,-87.80771142
3ebp,-8.98529,-7.27,-6.52,-88.744,-7.65781220623,-8.938635331,-9.615595348,-8.386014909,-8.980081863,-78.02970555
3cft,-3.48664,-3.84,-3.09,-31.22,-5.90855189886,-6.18934873,-7.405113659,-6.051193624,-6.548552004,-26.99028239
3fv1,-9.64581,-8.87,-9.71,-135.8,-10.0494461436,-8.731402673,-9.380731669,-8.703771652,-8.938635331,-99.16621251
2hb1,-5.56891,-8.98,-11.84,-71.828,-6.69721078088,-6.92157079,-7.501822233,-6.949201811,-7.128803448,-59.13743672
