PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds
1f8d,-4.243510593,5.298435375,-15.49707865,-16.73412068,0,31.78761981,-33.09450212,7.326042202,7,158,0,0,1,0,88,76,2,6,13,0,0,0,4,9
1igj,-9.995771812,2.090496939,-0.134724905,-60.71892966,0,27.16089192,-46.20967395,4.526727346,0,85,0,0,8,0,50,27,0,0,21,0,0,0,0,7
1jyq,-248.8577514,1.34629913,-23.31383058,-23.81828499,-4.454304122,228.1945173,-44.07227954,11.70484379,20,271,0,39,22,59,84,87,3,16,40,2,1,0,4,20
1lbk,14.08273805,1.902063605,-4.081587357,-13.9788087,0,-18.59012394,-29.69790235,5.851549517,11,143,4,12,5,41,13,79,3,7,7,0,0,0,3,11
1lor,-16.74709657,5.493723518,-9.435736262,-12.75749971,0,14.96018091,-29.19893814,7.664904038,13,160,0,12,11,0,53,97,2,10,8,0,0,0,1,7
1o5b,-183.8028663,1.526086604,-2.152005637,-25.67328366,-0.000173125,179.73691,-30.76161089,2.734740997,3,99,0,5,52,0,3,42,2,0,13,0,0,0,0,2
1os0,64.58852756,3.266131482,-3.575620159,-36.33230647,-3.313784128,-23.09553038,-43.58129574,12.53488152,6,117,1,6,1,42,36,37,2,3,19,1,0,2,6,13
1oyt,-195.576039,3.135855914,-6.756288347,-35.75159229,-0.207669855,206.7496418,-52.85392196,4.978005974,4,124,0,33,28,0,15,52,2,1,24,0,0,0,0,5
1q8u,21.52403863,1.116100578,-0.938448483,-37.6670037,-7.31E-05,-10.54514056,-43.69211476,2.550844916,2,67,0,17,3,0,39,10,0,1,21,0,0,0,1,2
1sln,-98.10068639,4.285510014,-2.097811179,-38.94197986,-1.829476873,116.7791772,-56.65311949,13.99546552,6,139,6,16,36,38,26,23,3,3,34,0,1,0,5,14
