PDB,VINA,GlideSP,DSX,RFScore,HMS,Experimental
1f8d,-5.77346,-7.52,-65.198,-6.774314748,-7.543268765,-4.7
1igj,-8.25479,-6.78,-134.545,-10.12393956,-10.63794313,-13.82
1jyq,-7.31428,-10.99,-180.736,-10.95214192,-10.84517579,-12.02
1lbk,-4.88545,-6.35,-85.14,-6.370319024,-7.018279363,-4.39
1lor,-7.14527,-9.57,-90.256,-6.355710503,-8.703771652,-15.28
1o5b,-5.71186,-8.23,-75.909,-7.699934053,-7.985365103,-7.97
1os0,-7.57516,-5.28,-144.413,-9.217341382,-10.472157,-8.33
1oyt,-10.60324,-10.9,-158.012,-11.65811359,-9.587964327,-10
1q8u,-7.95571,-8.04,-97.362,-8.838443485,-9.17349901,-8.28
1sln,-6.96917,-8.48,-187.787,-10.23202731,-10.29255537,-9.17
1w3l,-7.74415,-5.31,-122.475,-8.564456557,-8.579432057,-8.68
1w4o,-0.13361,-8.19,-91.261,-6.276466346,-7.861025507,-7.21
1xd0,-8.90305,-8.35,-229.847,-9.436241776,-11.39779621,-9.84
2cbj,-9.30992,-8.68,-146.344,-9.545002464,-9.65704188,-11.43
2d3u,-8.41725,-8.19,-108.08,-9.430283761,-9.89190556,-9.56
2fvd,-8.51229,-9.2,-128.076,-11.34813267,-9.145867989,-9.44
2hb1,-5.56891,-8.98,-71.828,-5.812427195,-7.501822233,-5.25
2iwx,-8.62953,-7.38,-88.914,-9.514551336,-8.92481982,-9.23
2obf,-10.01331,-12.56,-124.917,-11.3037462,-10.45834149,-12.23
2pq9,-2.77723,-9.09,-130.807,-10.4052544,-10.74846721,-11.2
2v7a,-9.51171,-9.69,-147.107,-11.53073228,-10.09913822,-11.47
2w66,-6.45187,-8.2,-85.333,-6.411146109,-8.234044293,-5.6
2wbg,-6.4784,-7.24,-99.797,-7.316694124,-9.187314521,-6.15
2weg,-4.5241,-5.73,-61.811,-8.754467668,-7.322220596,-8.98
2x8z,-4.57655,-5.96,-71.307,-9.513386491,-7.474191212,-11
2xb8,-8.83524,-9.73,-116.228,-8.786902959,-9.325469627,-10.49
2y5h,-7.63962,-9.85,-146.412,-9.548414205,-8.620878588,-8
2yki,-15.31229,-16.13,-181.756,-12.23986969,-13.20762809,-13.07
2ymd,-6.85729,-10.78,-88.485,-5.405462042,-8.634694099,-4.37
2zcr,-8.7322,-8.02,-101.618,-10.16952384,-10.69320517,-9.49
2zjw,-7.86869,-6.84,-63.033,-9.87633705,-8.551801035,-10.64
2zx6,-8.21865,-8.87,-122.48,-12.10921884,-8.814295736,-14.64
3b3s,-3.48959,-4.99,-34.363,-4.686847054,-6.893939768,-3.52
3bfu,-6.11202,-7.46,-82.087,-8.710809733,-7.722870402,-8.66
3bpc,-4.45617,-5.71,-70.884,-7.186743444,-6.589998536,-6.63
3cft,-3.48664,-3.84,-31.22,-5.757482153,-7.405113659,-5.79
3cyx,-11.28341,-11.93,-221.116,-11.36238379,-13.31815218,-11.05
3d4z,-5.78696,-6.92,-72.792,-7.078637052,-7.902472039,-6.76
3ebp,-8.98529,-7.27,-88.744,-8.599039555,-9.615595348,-8.16
3ehy,-5.12183,-4.68,-99.933,-7.423676315,-7.68142387,-8.08
3f3e,-6.37285,-5.89,-80.788,-8.407476661,-7.985365103,-10.64
3fv1,-9.64581,-8.87,-135.8,-10.67275883,-9.380731669,-12.85
3g0w,-10.93256,-11.26,-129.714,-12.29922402,-10.0715072,-13.15
3g2z,-3.97494,-5.35,-37.157,-5.028879618,-6.493289962,-3.26
3gcs,-10.92496,-11.35,-161.501,-11.13952675,-11.16293253,-10.02
3ge7,-8.99468,-10.8,-138.842,-11.77116084,-9.601779838,-12.02
3gy4,-5.78856,-8.38,-75.77,-6.330981838,-7.128803448,-7.05
3i3b,-5.04844,-5.66,-51.893,-4.340718872,-7.653792849,-3.08
3imc,-5.76948,-6.75,-77.257,-4.928155285,-7.101172427,-4.09
3jvs,-7.52033,-4.4,-115.406,-8.186956848,-10.25110883,-9.04
3myg,-6.46866,-8.47,-118.303,-11.86160178,-9.449809222,-14.78
3nox,-6.32704,-6.58,-96.864,-11.65425169,-9.325469627,-11.96
3nw9,-10.9122,-9.94,-196.272,-12.12893974,-11.770815,-12.43
3su3,-11.91146,-10.87,-192.368,-11.38870791,-12.0333097,-12.61
3u9q,-5.12466,-4.35,-87.598,-6.016622736,-7.764316934,-9.16
3udh,-7.11374,-8.19,-80.843,-4.885169409,-8.109704698,-3.94
3uex,-5.25263,-2.01,-81.854,-9.282072805,-8.42746144,-9.56
3zsx,-7.39043,-7.46,-129.779,-6.695303326,-9.505071264,-4.53
